id,type,url,time,location,title,description,status,photos,price_value,price_currency,price_per_square_meter,price_period,main_photo,is_favorite,offer_type,property_type,date_added,search_url,total_offers,location_id,num_photos,neighborhoods,main_property_type
1652495,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-80m2-sofiya-zhk.-hipodruma/as1652495,вчера,"жк. Хиподрума, София","Тристаен, 80m²","Тухла, Необзаведен, ТЕЦ",1,"['https://homes.bg/2025-11-03_2/116287241', 'https://homes.bg/2025-11-03_2/116287242', 'https://homes.bg/2025-11-03_2/116287243', 'https://homes.bg/2025-11-03_2/116287244', 'https://homes.bg/2025-11-03_2/116287245', 'https://homes.bg/2025-11-03_2/116287246', 'https://homes.bg/2025-11-03_2/116287247', 'https://homes.bg/2025-11-03_2/116287248', 'https://homes.bg/2025-11-03_2/116287249', 'https://homes.bg/2025-11-03_2/116287250']",279000.0,EUR,"3,487 EUR/m²",,,False, продажба,PropertyType.TRISTAEN,2025-11-04 06:03:03.865584,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,10.0,['Хиподрума'],апартамент
1484933,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-160m2-sofiya-zhk.-hipodruma/as1484933,вчера,"жк. Хиподрума, София","Тристаен, 160m²","Тухла, Обзаведен, ТЕЦ",1,"['https://homes.bg/2025-11-04_1/116287444', 'https://homes.bg/2025-11-04_1/116287445', 'https://homes.bg/2025-11-04_1/116287446', 'https://homes.bg/2025-11-04_1/116287447', 'https://homes.bg/2025-11-04_1/116287448', 'https://homes.bg/2025-11-04_1/116287449', 'https://homes.bg/2025-11-04_1/116287450', 'https://homes.bg/2025-11-04_1/116287451', 'https://homes.bg/2025-11-04_1/116287452', 'https://homes.bg/2025-11-04_1/116287453']",320000.0,EUR,"2,000 EUR/m²",,,False, продажба,PropertyType.TRISTAEN,2025-11-04 06:03:03.865648,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,10.0,['Хиподрума'],апартамент
1650683,as,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-165m2-sofiya-zhk.-hipodruma/as1650683,вчера,"жк. Хиподрума, София","Четиристаен, 165m²","Тухла, ТЕЦ",1,"['https://homes.bg/2025-11-03_2/116287020', 'https://homes.bg/2025-11-03_2/116287021', 'https://homes.bg/2025-11-03_2/116287022', 'https://homes.bg/2025-11-03_2/116287023', 'https://homes.bg/2025-11-03_2/116287024', 'https://homes.bg/2025-11-03_2/116287025', 'https://homes.bg/2025-11-03_2/116287026', 'https://homes.bg/2025-11-03_2/116287027', 'https://homes.bg/2025-11-03_2/116287028', 'https://homes.bg/2025-11-03_2/116287029']",450000.0,EUR,"2,727 EUR/m²",,,False, продажба,PropertyType.CHETIRISTAEN,2025-11-04 06:03:03.865687,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,10.0,['Хиподрума'],апартамент
1644890,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-42m2-sofiya-zhk.-hipodruma/as1644890,вчера,"жк. Хиподрума, София","Двустаен, 42m²","Тухла, Обзаведен",1,"['https://homes.bg/2025-11-03_2/116286125', 'https://homes.bg/2025-11-03_2/116286126', 'https://homes.bg/2025-11-03_2/116286127', 'https://homes.bg/2025-11-03_2/116286128', 'https://homes.bg/2025-11-03_2/116286129', 'https://homes.bg/2025-11-03_2/116286130', 'https://homes.bg/2025-11-03_2/116286131', 'https://homes.bg/2025-11-03_2/116286132', 'https://homes.bg/2025-11-03_2/116286133', 'https://homes.bg/2025-11-03_2/116286134']",250000.0,EUR,"5,952 EUR/m²",,,False, продажба,PropertyType.DVUSTAEN,2025-11-04 06:03:03.865718,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,10.0,['Хиподрума'],апартамент
1640788,as,https://homes.bg/offer/apartament-za-prodazhba/mnogostaen-360m2-sofiya-zhk.-hipodruma/as1640788,вчера,"жк. Хиподрума, София","Многостаен, 360m²","Тухла, Полуобзаведен, ТЕЦ",1,['https://homes.bg/2025-11-03_2/116286226'],550000.0,EUR,"1,527 EUR/m²",,,False, продажба,PropertyType.MNOGOSTAEN,2025-11-04 06:03:03.865742,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,1.0,['Хиподрума'],апартамент
1634778,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-111m2-sofiya-zhk.-hipodruma/as1634778,вчера,"жк. Хиподрума, София","Тристаен, 111m²",Тухла,1,['https://homes.bg/2025-11-03_2/116285811'],380000.0,EUR,"3,423 EUR/m²",,,False, продажба,PropertyType.TRISTAEN,2025-11-04 06:03:03.865764,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,1.0,['Хиподрума'],апартамент
1645315,as,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-140m2-sofiya-zhk.-hipodruma/as1645315,вчера,"жк. Хиподрума, София","Четиристаен, 140m²","Тухла, Обзаведен",1,"['https://homes.bg/2025-11-03_2/116285471', 'https://homes.bg/2025-11-03_2/116285472', 'https://homes.bg/2025-11-03_2/116285473', 'https://homes.bg/2025-11-03_2/116285474', 'https://homes.bg/2025-11-03_2/116285475', 'https://homes.bg/2025-11-03_2/116285476', 'https://homes.bg/2025-11-03_2/116285477', 'https://homes.bg/2025-11-03_2/116285478', 'https://homes.bg/2025-11-03_2/116285479', 'https://homes.bg/2025-11-03_2/116285480']",470000.0,EUR,"3,357 EUR/m²",,,False, продажба,PropertyType.CHETIRISTAEN,2025-11-04 06:03:03.865794,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,10.0,['Хиподрума'],апартамент
1608084,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-112m2-sofiya-zhk.-hipodruma/as1608084,вчера,"жк. Хиподрума, София","Тристаен, 112m²","Тухла, Обзаведен, ТЕЦ",1,"['https://homes.bg/2025-11-03_2/116285342', 'https://homes.bg/2025-11-03_2/116285343', 'https://homes.bg/2025-11-03_2/116285344', 'https://homes.bg/2025-11-03_2/116285345', 'https://homes.bg/2025-11-03_2/116285346', 'https://homes.bg/2025-11-03_2/116285347', 'https://homes.bg/2025-11-03_2/116285348', 'https://homes.bg/2025-11-03_2/116285349', 'https://homes.bg/2025-11-03_2/116285350', 'https://homes.bg/2025-11-03_2/116285351']",330000.0,EUR,"2,946 EUR/m²",,,False, продажба,PropertyType.TRISTAEN,2025-11-04 06:03:03.865819,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,10.0,['Хиподрума'],апартамент
1602571,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-78m2-sofiya-zhk.-hipodruma/as1602571,вчера,"жк. Хиподрума, София","Тристаен, 78m²","ЕПК, Необзаведен, ТЕЦ",1,"['https://homes.bg/2025-11-03_2/116285299', 'https://homes.bg/2025-11-03_2/116285300', 'https://homes.bg/2025-11-03_2/116285301', 'https://homes.bg/2025-11-03_2/116285302']",195000.0,EUR,"2,500 EUR/m²",,,False, продажба,PropertyType.TRISTAEN,2025-11-04 06:03:03.865835,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,4.0,['Хиподрума'],апартамент
1565131,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-70m2-sofiya-zhk.-hipodruma/as1565131,вчера,"жк. Хиподрума, София","Двустаен, 70m²","Тухла, Обзаведен, ТЕЦ",1,"['https://homes.bg/2025-11-03_2/116285069', 'https://homes.bg/2025-11-03_2/116285070', 'https://homes.bg/2025-11-03_2/116285071', 'https://homes.bg/2025-11-03_2/116285072', 'https://homes.bg/2025-11-03_2/116285073', 'https://homes.bg/2025-11-03_2/116285074', 'https://homes.bg/2025-11-03_2/116285075', 'https://homes.bg/2025-11-03_2/116285076', 'https://homes.bg/2025-11-03_2/116285077', 'https://homes.bg/2025-11-03_2/116285078']",320000.0,EUR,"4,571 EUR/m²",,,False, продажба,PropertyType.DVUSTAEN,2025-11-04 06:03:03.865854,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,10.0,['Хиподрума'],апартамент
