title,description,city,neighborhood,price_value,price_currency,price_per_m2,details_url,num_photos,time,offer_type,ref_no,search_url,scraped_at
"Двустаен, 74m²",Тухла,София,кв. Хладилника,"239,986",EUR,,/offer/apartament-za-prodazhba/dvustaen-74m2-sofiya-kv.-hladilnika/as1539981,1,вчера,,1539981,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=527,2026-01-24T23:41:24.855666
"Многостаен, 255m²","Тухла, Необзаведен, ТЕЦ",София,кв. Хладилника,0,EUR,,/offer/apartament-za-prodazhba/mnogostaen-255m2-sofiya-kv.-hladilnika/as874803,10,,,874803,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=527,2026-01-24T23:41:24.855676
"Тристаен, 128m²","Тухла, Необзаведен",София,кв. Хладилника,"457,900",EUR,,/offer/apartament-za-prodazhba/tristaen-128m2-sofiya-kv.-hladilnika/as1391285,10,,,1391285,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=527,2026-01-24T23:41:24.855682
"Тристаен, 130m²","Тухла, Необзаведен",София,кв. Хладилника,"464,200",EUR,,/offer/apartament-za-prodazhba/tristaen-130m2-sofiya-kv.-hladilnika/as1391286,10,,,1391286,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=527,2026-01-24T23:41:24.855687
"Мезонет, 185m²","Тухла, Обзаведен, ТЕЦ",София,кв. Хладилника,"480,000",EUR,,/offer/apartament-za-prodazhba/mezonet-185m2-sofiya-kv.-hladilnika/as1660838,10,,,1660838,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=527,2026-01-24T23:41:24.855692
"Двустаен, 98m²","Тухла, Прокарва се",София,кв. Хладилника,"423,500",EUR,,/offer/apartament-za-prodazhba/dvustaen-98m2-sofiya-kv.-hladilnika/as1664245,9,,,1664245,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=527,2026-01-24T23:41:24.855697
"Двустаен, 70m²","Тухла, Необзаведен, Локално отопление",София,кв. Хладилника,"215,000",EUR,,/offer/apartament-za-prodazhba/dvustaen-70m2-sofiya-kv.-hladilnika/as1599659,7,,,1599659,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=527,2026-01-24T23:41:24.855709
"Гараж, 250m²",,София,кв. Хладилника,"129,000",EUR,,/offer/apartament-za-prodazhba/garazh-250m2-sofiya-kv.-hladilnika/as1651713,0,,,1651713,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=527,2026-01-24T23:41:24.855714
"Двустаен, 100m²","Тухла, Обзаведен, Електричество",София,кв. Хладилника,"335,000",EUR,,/offer/apartament-za-prodazhba/dvustaen-100m2-sofiya-kv.-hladilnika/as1648352,10,,,1648352,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=527,2026-01-24T23:41:24.855718
"Тристаен, 138m²",Тухла,София,кв. Хладилника,"400,000",EUR,,/offer/apartament-za-prodazhba/tristaen-138m2-sofiya-kv.-hladilnika/as1641169,3,,,1641169,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=527,2026-01-24T23:41:24.855722
