site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=423,2026-02-04 14:52:51.623158,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-48m2-sofiya-zhk.-izgrev/as1624851,,"199,900 €","София, жк. Изгрев","Двустаен, 48m²","ЕПК, ТЕЦ",48 кв.м,,,,7,1624851,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=423,2026-02-04 14:52:51.623158,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-63m2-sofiya-zhk.-izgrev/as1668851,,"370,734 €","София, жк. Изгрев","Двустаен, 63m²","Тухла, Необзаведен, ТЕЦ",63 кв.м,,,,4,1668851,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=423,2026-02-04 14:52:51.623158,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-83m2-sofiya-zhk.-izgrev/as1668850,,"469,812 €","София, жк. Изгрев","Тристаен, 83m²","Тухла, ТЕЦ",83 кв.м,,,,6,1668850,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=423,2026-02-04 14:52:51.623158,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-77m2-sofiya-zhk.-izgrev/as1656663,,"320,000 €","София, жк. Изгрев","Двустаен, 77m²","Тухла, Необзаведен",77 кв.м,,,,10,1656663,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=423,2026-02-04 14:52:51.623158,https://www.homes.bg/offer/apartament-za-prodazhba/mnogostaen-300m2-sofiya-zhk.-izgrev/as1455737,,"1,300,000 €","София, жк. Изгрев","Многостаен, 300m²","Тухла, Необзаведен, ТЕЦ",300 кв.м,,,,10,1455737,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=423,2026-02-04 14:52:51.623158,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-122m2-sofiya-zhk.-izgrev/as1183970,,0 €,"София, жк. Изгрев","Тристаен, 122m²","Тухла, Необзаведен, ТЕЦ",122 кв.м,,,,5,1183970,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=423,2026-02-04 14:52:51.623158,https://www.homes.bg/offer/apartament-za-prodazhba/chetiristaen-220m2-sofiya-zhk.-izgrev/as1076141,,"800,000 €","София, жк. Изгрев","Четиристаен, 220m²","Тухла, Необзаведен, ТЕЦ",220 кв.м,,,,10,1076141,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=423,2026-02-04 14:52:51.623158,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-131m2-sofiya-zhk.-izgrev/as1662156,,"670,000 €","София, жк. Изгрев","Тристаен, 131m²","Тухла, ТЕЦ",131 кв.м,,,,10,1662156,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=423,2026-02-04 14:52:51.623158,https://www.homes.bg/offer/apartament-za-prodazhba/chetiristaen-180m2-sofiya-zhk.-izgrev/as1649106,,"875,000 €","София, жк. Изгрев","Четиристаен, 180m²",ЕПК,180 кв.м,,,,10,1649106,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=423,2026-02-04 14:52:51.623158,https://www.homes.bg/offer/apartament-za-prodazhba/chetiristaen-207m2-sofiya-zhk.-izgrev/as1668453,,"1,070,000 €","София, жк. Изгрев","Четиристаен, 207m²","Тухла, Обзаведен, ТЕЦ",207 кв.м,,,,10,1668453,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=423,2026-02-04 14:52:51.623158,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-167m2-sofiya-zhk.-izgrev/as1592240,,"725,000 €","София, жк. Изгрев","Тристаен, 167m²","Тухла, Необзаведен, ТЕЦ",167 кв.м,,,,10,1592240,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=423,2026-02-04 14:52:51.623158,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-65m2-sofiya-zhk.-izgrev/as1668328,,"248,000 €","София, жк. Изгрев","Тристаен, 65m²","Тухла, Обзаведен, Електричество",65 кв.м,,,,8,1668328,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=423,2026-02-04 14:52:51.623158,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-90m2-sofiya-zhk.-izgrev/as1651075,,"267,990 €","София, жк. Изгрев","Тристаен, 90m²","ЕПК, Обзаведен, ТЕЦ",90 кв.м,,,,10,1651075,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=423,2026-02-04 14:52:51.623158,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-120m2-sofiya-zhk.-izgrev/as1654702,,"375,000 €","София, жк. Изгрев","Тристаен, 120m²","ЕПК, Необзаведен, ТЕЦ",120 кв.м,,,,10,1654702,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=423,2026-02-04 14:52:51.623158,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-122m2-sofiya-zhk.-izgrev/as1642574,,"579,000 €","София, жк. Изгрев","Тристаен, 122m²","Тухла, Обзаведен, ТЕЦ",122 кв.м,,,,10,1642574,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=423,2026-02-04 14:52:51.623158,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-90m2-sofiya-zhk.-izgrev/as1646986,,"268,000 €","София, жк. Изгрев","Тристаен, 90m²","ЕПК, Обзаведен, ТЕЦ",90 кв.м,,,,10,1646986,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=423,2026-02-04 14:52:51.623158,https://www.homes.bg/offer/apartament-za-prodazhba/mnogostaen-1m2-sofiya-zhk.-izgrev/as1661572,,0 €,"София, жк. Изгрев","Многостаен, 1m²",Тухла,1 кв.м,,,,10,1661572,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=423,2026-02-04 14:52:51.623158,https://www.homes.bg/offer/apartament-za-prodazhba/mnogostaen-63m2-sofiya-zhk.-izgrev/as1661573,,"308,700 €","София, жк. Изгрев","Многостаен, 63m²",Тухла,63 кв.м,,,,10,1661573,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=423,2026-02-04 14:52:51.623158,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-167m2-sofiya-zhk.-izgrev/as1585901,,"725,000 €","София, жк. Изгрев","Тристаен, 167m²","Тухла, Обзаведен, ТЕЦ",167 кв.м,,,,7,1585901,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=423,2026-02-04 14:52:51.623158,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-127m2-sofiya-zhk.-izgrev/as1600161,,"520,000 €","София, жк. Изгрев","Тристаен, 127m²","Тухла, Обзаведен, ТЕЦ",127 кв.м,,,,10,1600161,,
