title,description,city,neighborhood,price_value,price_currency,price_per_m2,details_url,num_photos,time,offer_type,ref_no,search_url,scraped_at
"Земеделска земя, 8962m²",Ливада,Враца,Източна Промишлена Зона,"179,240",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-8962m2-vraca-iztochna-promishlena-zona/la19785,1,днес,,19785,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:03.147320
"Земеделска земя, 1309m²","Категория 7, Лозе",Враца,с.Паволче,"5,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-1309m2-vraca-s.pavolche/la20519,1,днес,,20519,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:03.147335
"Земеделска земя, 8262m²","Категория 6, Овощна градина",Враца,с.Нефела,"80,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-8262m2-vraca-s.nefela/la35039,3,днес,,35039,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:03.147340
"Земеделска земя, 17699m²",,Враца,Източна Промишлена Зона,"88,495",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-17699m2-vraca-iztochna-promishlena-zona/la20102,1,днес,,20102,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:03.147345
"Земеделска земя, 8000m²","Категория 9, Нива",Враца,Източна Промишлена Зона,"40,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-8000m2-vraca-iztochna-promishlena-zona/la20109,1,днес,,20109,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:03.147349
"Земеделска земя, 16000m²","Категория 9, Нива",Любимец,с.Дъбовец,0,ЛЕВА,,/offer/zemya-za-prodazhba/zemedelska-zemya-16000m2-ljubimec-s.dybovec/la18207,1,днес,,18207,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:03.147354
"Земеделска земя, 800m²",,Кюстендил,жк. Герена,"2,500",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-800m2-kjustendil-zhk.-gerena/la19964,1,днес,,19964,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:03.147358
"Земеделска земя, 350000m²","Категория 5, Овощна градина",Пловдив,жк Южен,"1,200,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-350000m2-plovdiv-zhk-juzhen/la24375,9,днес,,24375,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:03.147363
"Земеделска земя, 24168m²",Ливада,Смолян,с.Смилян,"49,500",ЛЕВА,,/offer/zemya-za-prodazhba/zemedelska-zemya-24168m2-smolyan-s.smilyan/la22398,1,днес,,22398,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:03.147369
"Земеделска земя, 40000m²",Гора,Смолян,с.Смилян,"480,000",ЛЕВА,,/offer/zemya-za-prodazhba/zemedelska-zemya-40000m2-smolyan-s.smilyan/la20220,4,днес,,20220,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:03.147374
"Земеделска земя, 3333m²","Категория 6, Нива",Марица,с.Труд,"33,333",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-3333m2-marica-s.trud/la23357,1,днес,,23357,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:03.147379
"Земеделска земя, 9800m²",Нива,Варна,с.Слънчево,"91,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-9800m2-varna-s.slynchevo/la35673,1,вчера,,35673,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:03.147383
"Земеделска земя, 4000m²","Категория 5, Нива",Пловдив,с.Труд,"168,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-4000m2-plovdiv-s.trud/la34813,5,вчера,,34813,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:03.147389
"Земеделска земя, 895m²",Друго,Сливен,Вилна зона,"5,113",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-895m2-sliven-vilna-zona/la35009,1,вчера,,35009,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:03.147394
"Земеделска земя, 959m²","Категория 9, Нива",Сливен,с.Бяла,"5,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-959m2-sliven-s.byala/la34547,0,вчера,,34547,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:03.147400
