site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-02-13 18:10:29.416040,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-34000m2-slivo-pole-s.slivo-pole/la24288,,"75,300 €","Сливо Поле, с.Сливо Поле","Земеделска земя, 34000m²","Категория 4, Нива",34000 кв.м,,,,4,24288,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-02-13 18:10:29.416040,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-2500m2-sandanski-gr.sandanski/la35832,,"7,500 €","Сандански, гр.Сандански","Земеделска земя, 2500m²","Категория 5, Лозе",2500 кв.м,,,,10,35832,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-02-13 18:10:29.416040,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-24000m2-kyrdzhali-kv.-gorna-gledka/la35831,,0 €,"Кърджали, кв. Горна Гледка","Земеделска земя, 24000m²","Категория 8, Нива",24000 кв.м,,,,9,35831,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-02-13 18:10:29.416040,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-1655m2-kostinbrod-s.bezden/la34419,,"16,550 €","Костинброд, с.Безден","Земеделска земя, 1655m²","Категория 4, Ливада",1655 кв.м,,,,1,34419,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-02-13 18:10:29.416040,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-40000m2-smolyan-s.smilyan/la20220,,"245,000 €","Смолян, с.Смилян","Земеделска земя, 40000m²",Гора,40000 кв.м,,,,4,20220,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-02-13 18:10:29.416040,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-3333m2-marica-s.trud/la23357,,"33,333 €","Марица, с.Труд","Земеделска земя, 3333m²","Категория 6, Нива",3333 кв.м,,,,1,23357,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-02-13 18:10:29.416040,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-24168m2-smolyan-s.smilyan/la22398,,"26,000 €","Смолян, с.Смилян","Земеделска земя, 24168m²",Ливада,24168 кв.м,,,,1,22398,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-02-13 18:10:29.416040,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-2201m2-plovdiv-s.krumovo/la35830,,"143,065 €","Пловдив, с.Крумово","Земеделска земя, 2201m²","Категория 3, Нива",2201 кв.м,,,,1,35830,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-02-13 18:10:29.416040,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-2719m2-plovdiv-gr.asenovgrad/la35829,,"48,942 €","Пловдив, гр.Асеновград","Земеделска земя, 2719m²",Нива,2719 кв.м,,,,1,35829,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-02-13 18:10:29.416040,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-895m2-sliven-vilna-zona/la35009,,"5,113 €","Сливен, Вилна зона","Земеделска земя, 895m²",Друго,895 кв.м,,,,1,35009,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-02-13 18:10:29.416040,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-959m2-sliven-s.byala/la34547,,"5,000 €","Сливен, с.Бяла","Земеделска земя, 959m²","Категория 9, Нива",959 кв.м,,,,0,34547,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-02-13 18:10:29.416040,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-20000m2-shumen-s.vojvoda/la35215,,"52,000 €","Шумен, с.Войвода","Земеделска земя, 20000m²","Категория 4, Овощна градина",20000 кв.м,,,,2,35215,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-02-13 18:10:29.416040,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-18100m2-marica-s.zhelyazno/la20033,,"121,000 €","Марица, с.Желязно","Земеделска земя, 18100m²","Категория 4, Нива",18100 кв.м,,,,1,20033,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-02-13 18:10:29.416040,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-2503m2-plovdiv-zhk-juzhen/la34596,,"135,000 €","Пловдив, жк Южен","Земеделска земя, 2503m²",,2503 кв.м,,,,1,34596,,
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-02-13 18:10:29.416040,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-2600m2-plovdiv-s.orizari/la35090,,"156,000 €","Пловдив, с.Оризари","Земеделска земя, 2600m²",Нива,2600 кв.м,,,,0,35090,,
