price_text,title,location,description,details_url,photos_text,contact_info,agency_name,agency_url,search_url,scraped_at
3 420 000 €6 688 938.60 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Дебелец, област Велико Търново","Нива, кат. 3, с Аренден договор до 26.11.2026 г. и рента 80 €/год., 3800 дка, тел.: 0886646964",//www.imot.bg/obiava-1s176730699513177-prodava-zemedelska-zemya-oblast-veliko-tarnovo-gr-debelets,Повече детайли,0886646964,ЯНА ИНВЕСТ ЕООД,//yana_invest.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:06.841334
60 332.44 €118 000 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Тервел, област Добрич","Нива, кат. 3, с Аренден договор до 10.11.2025 г. и рента 51 €/год., 40 дка, Войниково, Адрес недвижими имоти- Добрич продава 40дк с изтичащ аренден договор в землището на с.Войниково Цена ..., тел.: 0888717813",//www.imot.bg/obiava-1s175636549416627-prodava-zemedelska-zemya-oblast-dobrich-gr-tervel-voynikovo,Повече детайли,0888717813,АДРЕС НЕДВИЖИМИ ИМОТИ - ДОБРИЧ,//address_dobrich.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:06.842243
283 500 €554 477.81 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Пловдив, област Пловдив","Нива, кат. 3, 15 дка, Агенция TRIVIUM ESTATE представя:  За продажба земеделска земя с площ 15.750 дка, разположена на тре ..., тел.: 0896748861",//www.imot.bg/obiava-1s176882482692772-prodava-zemedelska-zemya-oblast-plovdiv-gr-plovdiv,Повече детайли,0896748861,ТРИВИУМ ЕСТЕЙТ,//trivium.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:06.843139
58 500 €114 416.06 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Брестник, област Пловдив","Нива, кат. 3, 2.789 дка, местност Шарпавица, Земеделска земя 2789 кв.м. , с идент.   06447.5.576 Нивата е близо до околовръстното шосе и прелеза  ..., тел.: 0895 703 643",//www.imot.bg/obiava-1s138541016122644-prodava-zemedelska-zemya-oblast-plovdiv-s-brestnik-mestnost-sharpavitsa,Повече детайли,0895 703 643,КЕПРИ,//kepri.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:06.844016
104 000 €203 406.32 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Куртово, област Пловдив","Нива, кат. 3, 4.5 дка, Кръговото за Пловдив, Продавам земя 4500кв.м. на втора линия преди с.Крумово  Продавам земя/поземлен имот с площ от 4500кв ..., тел.: 0892970864",//www.imot.bg/obiava-1s176825963966493-prodava-zemedelska-zemya-oblast-plovdiv-s-kurtovo-kragovoto-za-plovdiv,Повече детайлии 9 снимки,0892970864,НЕУМОРНАТА ИМПЕРИЯ,//neumornata.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:06.845093
260 000 €508 515.80 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Ягодово, област Пловдив","Нива, кат. 3, 20 дка, Горен Вакъв, Агенция  Панорама  представя на Вашето внимание изгоден парцел   нива в местността Горен Вакъв, с. Я ..., тел.: 0885668383",//www.imot.bg/obiava-1s176693849299371-prodava-zemedelska-zemya-oblast-plovdiv-s-yagodovo-goren-vakav,Повече детайли,0885668383,ПАНОРАМА,//panorama.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:06.845967
56 145 €109 810.08 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Видраре, област София","Гори и храсти в земеделска земя, кат. 1, 197 дка, Гората се намира в село Видраре, община Правец. От общо 197 дка 147 дка са съседни и граничат с водн ..., тел.: 0888-966696",//www.imot.bg/obiava-1s151284042727607-prodava-zemedelska-zemya-oblast-sofiya-s-vidrare,Повече детайли,0888-966696,АРИСТО ЕООД,//aristo.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:06.846839
144 000 €281 639.52 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"град Стара Загора, Зора","Нива, кат. 3, 7770 дка, Явлена продава нива от 7,770 дка трета категория находяща се в местността ' Чанлъка' в землището на  ..., тел.: 0886426180",//www.imot.bg/obiava-1s156655360699782-prodava-zemedelska-zemya-grad-stara-zagora-zora,Повече детайлии 2 снимки,0886426180,ЯВЛЕНА - СТАРА ЗАГОРА,//yavlena_sz.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:06.847701
52 500 €102 681.08 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Банско, област Благоевград","Нива, кат. 1, 2 дка, www.unikalniimotibansko.com БЕЗ КОМИСИОННА ОТ КУПУВАЧА! Агенция 'Уникални Имоти Банско' предлага за  ..., тел.: 0899564900",//www.imot.bg/obiava-1s176278014476293-prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,Повече детайлии 2 снимки,0899564900,УНИКАЛНИ ИМОТИ БАНСКО,//unikalniimoti.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:06.848560
46 900 €91 728.43 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Благоевград, област Благоевград","Нива, кат. 3, 2 дка, Сити пропъртис предлага за продажба земеделски имот попадащ в зона за преотреждане с площ от 1876 кв ..., тел.: 0896505565",//www.imot.bg/obiava-1s163300812377315-prodava-zemedelska-zemya-oblast-blagoevgrad-gr-blagoevgrad,Повече детайлии 3 снимки,0896505565,СИТИ ПРОПЪРТИС,//cityproperties.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:06.849419
