price_text,title,location,description,info_text,details_url,photos_text,contact_info,agency_name,agency_url,ref_no,total_offers,price_per_m2,search_url,scraped_at
Цена при запитване,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Тетевен, област Ловеч","Нива, кат. 3, 74700 дка, Поземлен имот в землището на с. Гложене - община Тетевен.  Състоящ се от: 45.000 дка - ДЪРВОПРОИЗВОД ..., тел.: 0888839516","Нива, кат. 3, 74700 дка, Поземлен имот в землището на с. Гложене - община Тетевен.  Състоящ се от: 45.000 дка - ДЪРВОПРОИЗВОД ..., тел.: 0888839516",//www.imot.bg/obiava-1s176104338427563-prodava-zemedelska-zemya-oblast-lovech-gr-teteven,Повече детайли,0888839516,АНИМА-М,//anima_m.imot.bg,1,0,,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-02-02T18:12:26.869894
60 332.44 €118 000 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Тервел, област Добрич","Нива, кат. 3, с Аренден договор до 10.11.2025 г. и рента 51 €/год., 40 дка, Войниково, Адрес недвижими имоти- Добрич продава 40дк с изтичащ аренден договор в землището на с.Войниково Цена ..., тел.: 0888717813","Нива, кат. 3, с Аренден договор до 10.11.2025 г. и рента 51 €/год., 40 дка, Войниково, Адрес недвижими имоти- Добрич продава 40дк с изтичащ аренден договор в землището на с.Войниково Цена ..., тел.: 0888717813",//www.imot.bg/obiava-1s175636549416627-prodava-zemedelska-zemya-oblast-dobrich-gr-tervel-voynikovo,Повече детайли,0888717813,АДРЕС НЕДВИЖИМИ ИМОТИ - ДОБРИЧ,//address_dobrich.imot.bg,1,0,,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-02-02T18:12:26.871031
Цена при запитване,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Панагюрище, област Пазарджик","Гори и храсти в земеделска земя, кат. 1, 8 дка, м. Радулица, В землищата на гр.Панагюрище , в местността  Радулица   се продава залесен с почти само иглолистна д ..., тел.: 0899193182","Гори и храсти в земеделска земя, кат. 1, 8 дка, м. Радулица, В землищата на гр.Панагюрище , в местността  Радулица   се продава залесен с почти само иглолистна д ..., тел.: 0899193182",//www.imot.bg/obiava-1s176915078816962-prodava-zemedelska-zemya-oblast-pazardzhik-gr-panagyurishte-m-radulitsa,Повече детайли,0899193182,ВАРИАНТ,//variant_pan.imot.bg,1,0,,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-02-02T18:12:26.872199
283 500 €554 477.81 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Пловдив, област Пловдив","Нива, кат. 3, 15 дка, Агенция TRIVIUM ESTATE представя:  За продажба земеделска земя с площ 15.750 дка, разположена на тре ..., тел.: 0896748861","Нива, кат. 3, 15 дка, Агенция TRIVIUM ESTATE представя:  За продажба земеделска земя с площ 15.750 дка, разположена на тре ..., тел.: 0896748861",//www.imot.bg/obiava-1s176882482692772-prodava-zemedelska-zemya-oblast-plovdiv-gr-plovdiv,Повече детайли,0896748861,ТРИВИУМ ЕСТЕЙТ,//trivium.imot.bg,1,0,,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-02-02T18:12:26.873348
104 000 €203 406.32 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Куртово, област Пловдив","Нива, кат. 3, 4.5 дка, Кръговото за Пловдив, Продавам земя 4500кв.м. на втора линия преди с.Крумово  Продавам земя/поземлен имот с площ от 4500кв ..., тел.: 0892970864","Нива, кат. 3, 4.5 дка, Кръговото за Пловдив, Продавам земя 4500кв.м. на втора линия преди с.Крумово  Продавам земя/поземлен имот с площ от 4500кв ..., тел.: 0892970864",//www.imot.bg/obiava-1s176825963966493-prodava-zemedelska-zemya-oblast-plovdiv-s-kurtovo-kragovoto-za-plovdiv,Повече детайлии 9 снимки,0892970864,НЕУМОРНАТА ИМПЕРИЯ,//neumornata.imot.bg,1,0,23.11,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-02-02T18:12:26.874696
56 145 €109 810.08 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Видраре, област София","Гори и храсти в земеделска земя, кат. 1, 197 дка, Гората се намира в село Видраре, община Правец. От общо 197 дка 147 дка са съседни и граничат с водн ..., тел.: 0888-966696","Гори и храсти в земеделска земя, кат. 1, 197 дка, Гората се намира в село Видраре, община Правец. От общо 197 дка 147 дка са съседни и граничат с водн ..., тел.: 0888-966696",//www.imot.bg/obiava-1s151284042727607-prodava-zemedelska-zemya-oblast-sofiya-s-vidrare,Повече детайли,0888-966696,АРИСТО ЕООД,//aristo.imot.bg,1,0,,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-02-02T18:12:26.875799
240 000 €469 399.20 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Осмар, област Шумен","Овощна градина, кат. 3, 57 дка, Предлагаме на Вашето внимание един инвестиционен имот - Био сертифицирана овощна градина с площ 53 д ..., тел.: 0887804491","Овощна градина, кат. 3, 57 дка, Предлагаме на Вашето внимание един инвестиционен имот - Био сертифицирана овощна градина с площ 53 д ..., тел.: 0887804491",//www.imot.bg/obiava-1s171533604286635-prodava-zemedelska-zemya-oblast-shumen-s-osmar,Повече детайлии 17 снимки,0887804491,БИЛДИНГ ТАЙМ,//buildingtime.imot.bg,1,0,,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-02-02T18:12:26.877180
144 000 €281 639.52 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"град Стара Загора, Зора","Нива, кат. 3, 7770 дка, Явлена продава нива от 7,770 дка трета категория находяща се в местността ' Чанлъка' в землището на  ..., тел.: 0886426180","Нива, кат. 3, 7770 дка, Явлена продава нива от 7,770 дка трета категория находяща се в местността ' Чанлъка' в землището на  ..., тел.: 0886426180",//www.imot.bg/obiava-1s156655360699782-prodava-zemedelska-zemya-grad-stara-zagora-zora,Повече детайлии 2 снимки,0886426180,ЯВЛЕНА - СТАРА ЗАГОРА,//yavlena_sz.imot.bg,1,0,,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-02-02T18:12:26.878347
52 500 €102 681.08 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Банско, област Благоевград","Нива, кат. 1, 2 дка, www.unikalniimotibansko.com БЕЗ КОМИСИОННА ОТ КУПУВАЧА! Агенция 'Уникални Имоти Банско' предлага за  ..., тел.: 0899564900","Нива, кат. 1, 2 дка, www.unikalniimotibansko.com БЕЗ КОМИСИОННА ОТ КУПУВАЧА! Агенция 'Уникални Имоти Банско' предлага за  ..., тел.: 0899564900",//www.imot.bg/obiava-1s176278014476293-prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,Повече детайлии 2 снимки,0899564900,УНИКАЛНИ ИМОТИ БАНСКО,//unikalniimoti.imot.bg,1,0,,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-02-02T18:12:26.879479
46 900 €91 728.43 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Благоевград, област Благоевград","Нива, кат. 3, 2 дка, Сити пропъртис предлага за продажба земеделски имот попадащ в зона за преотреждане с площ от 1876 кв ..., тел.: 0896505565","Нива, кат. 3, 2 дка, Сити пропъртис предлага за продажба земеделски имот попадащ в зона за преотреждане с площ от 1876 кв ..., тел.: 0896505565",//www.imot.bg/obiava-1s163300812377315-prodava-zemedelska-zemya-oblast-blagoevgrad-gr-blagoevgrad,Повече детайлии 3 снимки,0896505565,СИТИ ПРОПЪРТИС,//cityproperties.imot.bg,1,0,,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-02-02T18:12:26.880582
