site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
imotbg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-02-13 18:11:40.604844,https://www.imot.bg/obiava-1s175792647669866-prodava-zemedelska-zemya-oblast-burgas-gr-chernomorets-akladi,https://premierburgas.imot.bg,169 450 €331 415.39 лв.,"гр. Черноморец, област Бургас",Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 1363 дка, Аклади, Имоти Премиер предлага на вашето внимание поземлен имот в град Черноморец, в живописната местност Ак ..., тел.: 0879500614","Нива, кат. 3, 1363 дка, Аклади, Имоти Премиер предлага на вашето внимание поземлен имот в град Черноморец, в живописната местност Ак ..., тел.: 0879500614","Нива, кат. 3, 1363 дка, Аклади, Имоти Премиер предлага на вашето внимание поземлен имот в град Черноморец, в живописната местност Ак ..., тел.: 0879500614",,ИМОТИ ПРЕМИЕР,2.0,1,600,
imotbg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-02-13 18:11:40.604844,https://www.imot.bg/obiava-1s175636549416627-prodava-zemedelska-zemya-oblast-dobrich-gr-tervel-voynikovo,https://address_dobrich.imot.bg,60 332.44 €118 000 лв.,"гр. Тервел, област Добрич",Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, с Аренден договор до 10.11.2025 г. и рента 51 €/год., 40 дка, Войниково, Адрес недвижими имоти- Добрич продава 40дк с изтичащ аренден договор в землището на с.Войниково Цена ..., тел.: 0888717813","Нива, кат. 3, с Аренден договор до 10.11.2025 г. и рента 51 €/год., 40 дка, Войниково, Адрес недвижими имоти- Добрич продава 40дк с изтичащ аренден договор в землището на с.Войниково Цена ..., тел.: 0888717813","Нива, кат. 3, с Аренден договор до 10.11.2025 г. и рента 51 €/год., 40 дка, Войниково, Адрес недвижими имоти- Добрич продава 40дк с изтичащ аренден договор в землището на с.Войниково Цена ..., тел.: 0888717813",,АДРЕС НЕДВИЖИМИ ИМОТИ - ДОБРИЧ,,1,600,
imotbg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-02-13 18:11:40.604844,https://www.imot.bg/obiava-1s176337648194164-prodava-zemedelska-zemya-oblast-dobrich-s-krushari,https://gekkohome.imot.bg,72 552.32 €141 900 лв.,"с. Крушари, област Добрич",Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, с Аренден договор до 12.12.2025 г. и рента 50 €/год., 43 дка, Гекко Хоум предлага за продажба земеделска земя във Добричка област, с. Крушари. Земята е 3-та катег ..., тел.: 0893717250","Нива, кат. 3, с Аренден договор до 12.12.2025 г. и рента 50 €/год., 43 дка, Гекко Хоум предлага за продажба земеделска земя във Добричка област, с. Крушари. Земята е 3-та катег ..., тел.: 0893717250","Нива, кат. 3, с Аренден договор до 12.12.2025 г. и рента 50 €/год., 43 дка, Гекко Хоум предлага за продажба земеделска земя във Добричка област, с. Крушари. Земята е 3-та катег ..., тел.: 0893717250",,ГЕККО ХОУМ,,1,600,
imotbg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-02-13 18:11:40.604844,https://www.imot.bg/obiava-1s176915078816962-prodava-zemedelska-zemya-oblast-pazardzhik-gr-panagyurishte-m-radulitsa,https://variant_pan.imot.bg,Цена при запитване,"гр. Панагюрище, област Пазарджик",Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Гори и храсти в земеделска земя, кат. 1, 8 дка, м. Радулица, В землищата на гр.Панагюрище , в местността  Радулица   се продава залесен с почти само иглолистна д ..., тел.: 0899193182","Гори и храсти в земеделска земя, кат. 1, 8 дка, м. Радулица, В землищата на гр.Панагюрище , в местността  Радулица   се продава залесен с почти само иглолистна д ..., тел.: 0899193182","Гори и храсти в земеделска земя, кат. 1, 8 дка, м. Радулица, В землищата на гр.Панагюрище , в местността  Радулица   се продава залесен с почти само иглолистна д ..., тел.: 0899193182",,ВАРИАНТ,,1,600,
imotbg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-02-13 18:11:40.604844,https://www.imot.bg/obiava-1s168934860560961-prodava-zemedelska-zemya-oblast-pernik-s-studena,https://elitkomers122.imot.bg,210 000 €410 724.30 лв.,"с. Студена, област Перник",Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Ливада, кат. 3, 7 дка, РЕАЛНА ОФЕРТА!!! НА ВНИМАНИЕТО ВИ ПРЕДЛАГАМЕ ЗЕМЕДЕЛСКА ЗЕМЯ РАВНА 7000кв.м, В НЕПОСРЕДСТВЕНА БЛИЗОС ..., тел.: 0878414123","Ливада, кат. 3, 7 дка, РЕАЛНА ОФЕРТА!!! НА ВНИМАНИЕТО ВИ ПРЕДЛАГАМЕ ЗЕМЕДЕЛСКА ЗЕМЯ РАВНА 7000кв.м, В НЕПОСРЕДСТВЕНА БЛИЗОС ..., тел.: 0878414123","Ливада, кат. 3, 7 дка, РЕАЛНА ОФЕРТА!!! НА ВНИМАНИЕТО ВИ ПРЕДЛАГАМЕ ЗЕМЕДЕЛСКА ЗЕМЯ РАВНА 7000кв.м, В НЕПОСРЕДСТВЕНА БЛИЗОС ..., тел.: 0878414123",,ЕЛИТ-КОМЕРС-122,,1,600,
imotbg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-02-13 18:11:40.604844,https://www.imot.bg/obiava-1s177090693789774-prodava-zemedelska-zemya-oblast-pleven-s-gorni-dabnik,https://andromeda.imot.bg,20 120 €39 351.30 лв.,"с. Горни Дъбник, област Плевен",Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 7.872 дка,  Парцел   нива на граница с регулация . ЛИЦЕ на главния път РУСЕ-СОФИЯ с,Горни Дъбник, обл. Плевен   ..., тел.: 0883598000","Нива, кат. 3, 7.872 дка,  Парцел   нива на граница с регулация . ЛИЦЕ на главния път РУСЕ-СОФИЯ с,Горни Дъбник, обл. Плевен   ..., тел.: 0883598000","Нива, кат. 3, 7.872 дка,  Парцел   нива на граница с регулация . ЛИЦЕ на главния път РУСЕ-СОФИЯ с,Горни Дъбник, обл. Плевен   ..., тел.: 0883598000",,АНДРОМЕДА ООД,,1,600,
imotbg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-02-13 18:11:40.604844,https://www.imot.bg/obiava-1s176882482692772-prodava-zemedelska-zemya-oblast-plovdiv-gr-plovdiv,https://trivium.imot.bg,283 500 €554 477.81 лв.,"гр. Пловдив, област Пловдив",Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 15 дка, Агенция TRIVIUM ESTATE представя:  За продажба земеделска земя с площ 15.750 дка, разположена на тре ..., тел.: 0896748861","Нива, кат. 3, 15 дка, Агенция TRIVIUM ESTATE представя:  За продажба земеделска земя с площ 15.750 дка, разположена на тре ..., тел.: 0896748861","Нива, кат. 3, 15 дка, Агенция TRIVIUM ESTATE представя:  За продажба земеделска земя с площ 15.750 дка, разположена на тре ..., тел.: 0896748861",,ТРИВИУМ ЕСТЕЙТ,,1,600,
imotbg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-02-13 18:11:40.604844,https://www.imot.bg/obiava-1s171396663908966-prodava-zemedelska-zemya-oblast-plovdiv-s-brestnik,https://rimex.imot.bg,38 000 €74 321.54 лв.,"с. Брестник, област Пловдив",Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Овощна градина, кат. 3, 2 дка, Оферта 81618. Околовръстен път юг, в землището на Брестник, местост Чиирите, земеделски имот 2 000 к ..., тел.: 0893 568 644","Овощна градина, кат. 3, 2 дка, Оферта 81618. Околовръстен път юг, в землището на Брестник, местост Чиирите, земеделски имот 2 000 к ..., тел.: 0893 568 644","Овощна градина, кат. 3, 2 дка, Оферта 81618. Околовръстен път юг, в землището на Брестник, местост Чиирите, земеделски имот 2 000 к ..., тел.: 0893 568 644",,РИМЕКС ИМОТИ,2.0,1,600,
imotbg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-02-13 18:11:40.604844,https://www.imot.bg/obiava-1s171533604286635-prodava-zemedelska-zemya-oblast-shumen-s-osmar,https://buildingtime.imot.bg,240 000 €469 399.20 лв.,"с. Осмар, област Шумен",Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Овощна градина, кат. 3, 57 дка, Предлагаме на Вашето внимание един инвестиционен имот - Био сертифицирана овощна градина с площ 53 д ..., тел.: 0887804491","Овощна градина, кат. 3, 57 дка, Предлагаме на Вашето внимание един инвестиционен имот - Био сертифицирана овощна градина с площ 53 д ..., тел.: 0887804491","Овощна градина, кат. 3, 57 дка, Предлагаме на Вашето внимание един инвестиционен имот - Био сертифицирана овощна градина с площ 53 д ..., тел.: 0887804491",,БИЛДИНГ ТАЙМ,17.0,1,600,
imotbg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-02-13 18:11:40.604844,https://www.imot.bg/obiava-1s156655360699782-prodava-zemedelska-zemya-grad-stara-zagora-zora,https://yavlena_sz.imot.bg,144 000 €281 639.52 лв.,"град Стара Загора, Зора",Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 7770 дка, Явлена продава нива от 7,770 дка трета категория находяща се в местността ' Чанлъка' в землището на  ..., тел.: 0886426180","Нива, кат. 3, 7770 дка, Явлена продава нива от 7,770 дка трета категория находяща се в местността ' Чанлъка' в землището на  ..., тел.: 0886426180","Нива, кат. 3, 7770 дка, Явлена продава нива от 7,770 дка трета категория находяща се в местността ' Чанлъка' в землището на  ..., тел.: 0886426180",,ЯВЛЕНА - СТАРА ЗАГОРА,2.0,1,600,
