price_text,title,location,description,details_url,photos_text,contact_info,agency_name,agency_url,search_url,scraped_at
153 456 €300 133.85 лв.,Продава 2-СТАЕН,"град Пловдив, Каменица 1","66 кв.м, 4-ти ет. от 4, 2025 г., LUXIMMO FINEST ESTATES: www.luximmo.bg Двустаен апартамент в сърцето на Пловдив - квартал 'Камен ..., тел.: 0882931568",//www.imot.bg/obiava-1b176529611847999-prodava-dvustaen-apartament-grad-plovdiv-kamenitsa-1,Повече детайлии 5 снимки,0882931568,ЛУКСИММО ПЛОВДИВ,//luximmoplovdiv.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/dvustaen?raioni=5982~5986~5988~5991~6360~,2026-01-21T06:04:53.718414
180 000 €352 049.40 лв.,Продава 2-СТАЕН,"град Пловдив, Каменица 1","95 кв.м, 2-ри ет. от 5, Въведен в експлоатация 2022 г., 🔝 ТОП ЛОКАЦИЯ! Нова сграда с Акт 16, луксозни общи части и асансьор!  Представяме Ви простор ..., тел.: 0877898622",//www.imot.bg/obiava-1b175439646044039-prodava-dvustaen-apartament-grad-plovdiv-kamenitsa-1,Повече детайлии 17 снимки,0877898622,ПРОГРЕС,//progressplovdiv.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/dvustaen?raioni=5982~5986~5988~5991~6360~,2026-01-21T06:04:53.719500
180 550 €353 125.11 лв.,Продава 2-СТАЕН,"град Пловдив, Каменица 1","72 кв.м, 5-ти ет. от 7, ТЕЦ, Въведен в експлоатация, LUXIMMO FINEST ESTATES: www.luximmo.bg  Представяме двустаен апартамент в престижния комплекс 'Камен ..., тел.: 0884134482",//www.imot.bg/obiava-1b176374086997640-prodava-dvustaen-apartament-grad-plovdiv-kamenitsa-1,Повече детайлии 6 снимки,0884134482,ЛУКСИММО ПЛОВДИВ,//luximmoplovdiv.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/dvustaen?raioni=5982~5986~5988~5991~6360~,2026-01-21T06:04:53.720572
96 447 €188 633.94 лв.,Продава 2-СТАЕН,"град Пловдив, Младежки Хълм","59 кв.м, 2-ри ет. от 7, Ще бъде въведен в експлоатация 2027 г., За повече информация обадете ни се на тел: 0882 817 466 или 032 586 956 и цитирайте референтния номе ..., тел.: 0882817466",//www.imot.bg/obiava-1b175224754734962-prodava-dvustaen-apartament-grad-plovdiv-mladezhki-halm,Повече детайлии 7 снимки,0882817466,БЪЛГЕРИАН ПРОПЕРТИС ПЛОВДИВ,//plvbulprop.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/dvustaen?raioni=5982~5986~5988~5991~6360~,2026-01-21T06:04:53.721633
139 900 €273 620.62 лв.,Продава 2-СТАЕН,"град Пловдив, Младежки Хълм","55 кв.м, ВМИ, 5-ти ет. от 7, Въведен в експлоатация 2025 г.,  Оф. 23155 Агенция Бг Дом Ви предлага чисто нов двустаен апартамент в модерна, луксозна сграда с акт ..., тел.: 0889900757",//www.imot.bg/obiava-1b175472187506192-prodava-dvustaen-apartament-grad-plovdiv-mladezhki-halm-vmi,Повече детайлии 12 снимки,0889900757,БГ ДОМ,//bgdom2007.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/dvustaen?raioni=5982~5986~5988~5991~6360~,2026-01-21T06:04:53.722698
155 000 €303 153.65 лв.,Продава 2-СТАЕН,"град Пловдив, Младежки Хълм","61 кв.м, 3-ти ет. от 4, Лок.отопл., Въведен в експлоатация 1960 - 1969 г., ДВУСТАЕН ОБЗАВЕДЕН ДО ВМИ!!!СТРАХОТНА ЛОКАЦИЯ  Двустаен апартамент на топ локация   до ВМИ, гр. Плов ..., тел.: 0876606117",//www.imot.bg/obiava-1b176649904731185-prodava-dvustaen-apartament-grad-plovdiv-mladezhki-halm,Повече детайлии 9 снимки,0876606117,НЮ ХОУМ ЛИВИНГ ЕООД,//newhome20.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/dvustaen?raioni=5982~5986~5988~5991~6360~,2026-01-21T06:04:53.723757
170 000 €332 491.10 лв.,Продава 2-СТАЕН,"град Пловдив, Младежки Хълм","67 кв.м, 3-ти ет. от 7, Въведен в експлоатация 2016 г., Офертата е Ексклузивна 31552 Двустаен в град Пловдив в център близо до ВМИ и второ РПУ цена 170 000  ..., тел.: 0896064030",//www.imot.bg/obiava-1b176348589461495-prodava-dvustaen-apartament-grad-plovdiv-mladezhki-halm,Повече детайлии 9 снимки,0896064030,ИМОТИ ММ,//imotimm.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/dvustaen?raioni=5982~5986~5988~5991~6360~,2026-01-21T06:04:53.724821
180 000 €352 049.40 лв.,Продава 2-СТАЕН,"град Пловдив, Младежки Хълм","55 кв.м, Медицински университет, 3-ти ет. от 6, Въведен в експлоатация 2023 г.,  Агенция за недвижими имоти 'Гаранти' представя на Вашето внимание НОВА ЕКСКЛУЗИВНА ОФЕРТА - обзадве ..., тел.: 0894665093",//www.imot.bg/obiava-1b176397734881720-prodava-dvustaen-apartament-grad-plovdiv-mladezhki-halm-meditsinski-universitet,Повече детайлии 7 снимки,0894665093,ГАРАНТИ,//garanti.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/dvustaen?raioni=5982~5986~5988~5991~6360~,2026-01-21T06:04:53.725883
229 000 €447 885.07 лв.,Продава 2-СТАЕН,"град Пловдив, Младежки Хълм","112 кв.м, 5-ти ет. от 6, Въведен в експлоатация 2020 г., Представяме на вашето внимание стилен двустаен апартамент, разположен в централната част на Пловдив, ..., тел.: 0887462100",//www.imot.bg/obiava-1b176761745759975-prodava-dvustaen-apartament-grad-plovdiv-mladezhki-halm,Повече детайлии 12 снимки,0887462100,ТОПБРОКЕР ПЛОВДИВ,//jupiter333.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/dvustaen?raioni=5982~5986~5988~5991~6360~,2026-01-21T06:04:53.726952
112 000 €219 052.96 лв.,Продава 2-СТАЕН,"град Пловдив, Център","38 кв.м, 1-ви ет. от 6, Въведен в експлоатация 2013 г., ОФЕРТА 10167  Двустаен обзаведен апартамент в СУПЕР ЦЕНТЪРА!  До Четвъртък пазара, Главната и Художе ..., тел.: 0899425558",//www.imot.bg/obiava-1b175994437088383-prodava-dvustaen-apartament-grad-plovdiv-tsentar,Повече детайлии 9 снимки,0899425558,АТЛАС НЕДВИЖИМИ ИМОТИ,//atlasimotibg.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/dvustaen?raioni=5982~5986~5988~5991~6360~,2026-01-21T06:04:53.728023
