price_text,title,location,description,info_text,details_url,photos_text,contact_info,agency_name,agency_url,ref_no,total_offers,price_per_m2,search_url,scraped_at
350 000 €684 540.50 лв.,Продава 4-СТАЕН,"град Пловдив, Център","121 кв.м, 5-ти ет. от 6, БИЛДИНГ БОКС има удоволствието да Ви представи четиристаен апартамент за продажба в Центъра на град  ..., тел.: 0879900984","121 кв.м, 5-ти ет. от 6, БИЛДИНГ БОКС има удоволствието да Ви представи четиристаен апартамент за продажба в Центъра на град  ..., тел.: 0879900984",//www.imot.bg/obiava-1d176951742624881-prodava-chetiristaen-apartament-grad-plovdiv-tsentar,Повече детайлии 11 снимки,0879900984,БИЛДИНГ БОКС,//buildingbox.imot.bg,1,0,2892.56,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-01T06:16:11.014802
360 000 €704 098.80 лв.,Продава 4-СТАЕН,"град Пловдив, Център","121 кв.м, 4-ти ет. от 6, Въведен в експлоатация, LUXIMMO FINEST ESTATES: www.luximmo.bg Представяме стилен многостаен апартамент в идеалния център на ..., тел.: 0882931568","121 кв.м, 4-ти ет. от 6, Въведен в експлоатация, LUXIMMO FINEST ESTATES: www.luximmo.bg Представяме стилен многостаен апартамент в идеалния център на ..., тел.: 0882931568",//www.imot.bg/obiava-1d176821208007057-prodava-chetiristaen-apartament-grad-plovdiv-tsentar,Повече детайлии 11 снимки,0882931568,ЛУКСИММО ПЛОВДИВ,//luximmoplovdiv.imot.bg,1,0,2975.21,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-01T06:16:11.015996
170 000 €332 491.10 лв.,Продава 4-СТАЕН,"град Пловдив, Мараша","85 кв.м, р-т Стадиона, 4-ти ет. от 6, Въведен в експлоатация 1960 - 1969 г., МОНОЛИТЕН АПАРТАМЕНТ С 4 СТАИ ДО РЕСТОРАНТ СТАДИОНА  ТОП МЯСТО, ВЪЗМОЖНО ПРЕУСТРОЙСТВО С ТРИ СПАЛНИ  ..., тел.: 0889992848","85 кв.м, р-т Стадиона, 4-ти ет. от 6, Въведен в експлоатация 1960 - 1969 г., МОНОЛИТЕН АПАРТАМЕНТ С 4 СТАИ ДО РЕСТОРАНТ СТАДИОНА  ТОП МЯСТО, ВЪЗМОЖНО ПРЕУСТРОЙСТВО С ТРИ СПАЛНИ  ..., тел.: 0889992848",//www.imot.bg/obiava-1d176354518274753-prodava-chetiristaen-apartament-grad-plovdiv-marasha-r-t-stadiona,Повече детайлии 6 снимки,0889992848,ЕЛЕМЕНТ,//element.imot.bg,1,0,2000.0,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-01T06:16:11.017185
189 500 €370 629.79 лв.,Продава 4-СТАЕН,"град Пловдив, Младежки Хълм","198 кв.м, 5-ти ет. от 6, Не е въведен в експлоатация, еКСКЛУЗОВНА ПФЕРТА! ПРОСТОРЕН, ПАНОРАМЕН мезонет в монолитна сграда от 1996 г., в тих и спокоен за ж ..., тел.: 0885615308","198 кв.м, 5-ти ет. от 6, Не е въведен в експлоатация, еКСКЛУЗОВНА ПФЕРТА! ПРОСТОРЕН, ПАНОРАМЕН мезонет в монолитна сграда от 1996 г., в тих и спокоен за ж ..., тел.: 0885615308",//www.imot.bg/obiava-1d160554564698547-prodava-chetiristaen-apartament-grad-plovdiv-mladezhki-halm,Повече детайлии 17 снимки,0885615308,ДОМЕА ЕООД,//domea.imot.bg,1,0,957.07,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-01T06:16:11.018373
184 999 €361 826.59 лв.,Продава 4-СТАЕН,"град Пловдив, Център","76 кв.м, 4-ти ет. от 5, Въведен в експлоатация 1980 - 1989 г., Предлагаме за продажба четиристаен апартамент в сърцето на гр. Пловдив - зад хотел Хилтън. Застроена ..., тел.: 0879332276","76 кв.м, 4-ти ет. от 5, Въведен в експлоатация 1980 - 1989 г., Предлагаме за продажба четиристаен апартамент в сърцето на гр. Пловдив - зад хотел Хилтън. Застроена ..., тел.: 0879332276",//www.imot.bg/obiava-1d176953580251112-prodava-chetiristaen-apartament-grad-plovdiv-tsentar,Повече детайлии 14 снимки,0879332276,ИМОТИ МЕРДЖАНОВА,//merdjanoff19.imot.bg,1,0,2434.2,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-01T06:16:11.019513
205 000 €400 945.15 лв.,Продава 4-СТАЕН,"град Пловдив, Център","94 кв.м, Торо Гранде, 7-ми ет. от 8, Въведен в експлоатация 1980 - 1989 г., Продава се апартамент в тухлена сграда, състоящ се от две спални, хол, трапезария, готварна, баня, т ..., тел.: 0887738582","94 кв.м, Торо Гранде, 7-ми ет. от 8, Въведен в експлоатация 1980 - 1989 г., Продава се апартамент в тухлена сграда, състоящ се от две спални, хол, трапезария, готварна, баня, т ..., тел.: 0887738582",//www.imot.bg/obiava-1d175283810457545-prodava-chetiristaen-apartament-grad-plovdiv-tsentar-toro-grande,Повече детайлии 15 снимки,0887738582,СЪН СИТИ-ПЛОВДИВ,//suncity.imot.bg,1,0,2180.85,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-01T06:16:11.020699
322 500 €630 755.18 лв.,Продава 4-СТАЕН,"град Пловдив, Център","150 кв.м, Гранда, 6-ти ет. от 6, Ще бъде въведен в експлоатация 2026 г., АТРАКТИВНО!!! Имотът се намира в района на Гранд-а, място, подходящо както за живеене, така и за инв ..., тел.: 0988746233","150 кв.м, Гранда, 6-ти ет. от 6, Ще бъде въведен в експлоатация 2026 г., АТРАКТИВНО!!! Имотът се намира в района на Гранд-а, място, подходящо както за живеене, така и за инв ..., тел.: 0988746233",//www.imot.bg/obiava-1d175579633895717-prodava-chetiristaen-apartament-grad-plovdiv-tsentar-granda,Повече детайлии 2 снимки,0988746233,НД ИМОТКОНСУЛТ,//ndimotconsult.imot.bg,1,0,2150.0,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-01T06:16:11.021724
340 000 €664 982.20 лв.,Продава 4-СТАЕН,"град Пловдив, Център","200 кв.м, Русин махала, 2-ри ет. от 3, Въведен в експлоатация, Имотът се   намира в един от най-предпочитаните централни райони   на град Пловдив - Русин махала .Л ..., тел.: 0988757390","200 кв.м, Русин махала, 2-ри ет. от 3, Въведен в експлоатация, Имотът се   намира в един от най-предпочитаните централни райони   на град Пловдив - Русин махала .Л ..., тел.: 0988757390",//www.imot.bg/obiava-1d175040588190572-prodava-chetiristaen-apartament-grad-plovdiv-tsentar-rusin-mahala,Повече детайлии 6 снимки,0988757390,УНИСТРОЙ 33 ЕООД,//unistroy33.imot.bg,1,0,1700.0,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-01T06:16:11.022903
610 000 €1 193 056.30 лв.,Продава 4-СТАЕН,"град Пловдив, Център","238 кв.м, Идеален Център, 5-ти ет. от 6, Въведен в експлоатация 2019 г., NL Consult Real Estate представя на вниманието Ви за покупка  Просторен четиристаен апартамент, разп ..., тел.: 0888962441","238 кв.м, Идеален Център, 5-ти ет. от 6, Въведен в експлоатация 2019 г., NL Consult Real Estate представя на вниманието Ви за покупка  Просторен четиристаен апартамент, разп ..., тел.: 0888962441",//www.imot.bg/obiava-1d176874275946931-prodava-chetiristaen-apartament-grad-plovdiv-tsentar-idealen-tsentar,Повече детайлии 8 снимки,0888962441,ЕН ЕЛ  КОНСУЛТ РИЪЛ ЕСТЕЙТ,//nlconsult.imot.bg,1,0,2563.03,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-01T06:16:11.024075
158 000 €309 021.14 лв.,Продава 4-СТАЕН,"град Пловдив, Каменица 1","95 кв.м, 8-ми ет. от 8, Въведен в експлоатация, Агенция '21 век недвижими имоти' продава голям,четиристаен апартамент с реална квадратура  и със сле ..., тел.: 0898774425","95 кв.м, 8-ми ет. от 8, Въведен в експлоатация, Агенция '21 век недвижими имоти' продава голям,четиристаен апартамент с реална квадратура  и със сле ..., тел.: 0898774425",//www.imot.bg/obiava-1d173469911244440-prodava-chetiristaen-apartament-grad-plovdiv-kamenitsa-1,Повече детайлии 12 снимки,0898774425,21 ВЕК,//vek21.imot.bg,1,0,1663.16,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-01T06:16:11.024998
