site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-04 14:54:35.649476,https://www.imot.bg/obiava-1d176277610765387-prodava-chetiristaen-apartament-grad-plovdiv-marasha-rayon-tsentralen,https://prime98.imot.bg,186 000 €363 784.38 лв.,"град Пловдив, Мараша",Продава 4-СТАЕН,"112 кв.м, Район Централен, 2-ри ет. от 4, Въведен в експлоатация, 🏠 ЕКСКЛУЗИВНО ОТ PRIME CONSULT!  Предлагаме четиристаен апартамент, заемащ цял етаж от къща, ..., тел.: 0887673111","112 кв.м, Район Централен, 2-ри ет. от 4, Въведен в експлоатация, 🏠 ЕКСКЛУЗИВНО ОТ PRIME CONSULT!  Предлагаме четиристаен апартамент, заемащ цял етаж от къща, ..., тел.: 0887673111","112 кв.м, Район Централен, 2-ри ет. от 4, Въведен в експлоатация, 🏠 ЕКСКЛУЗИВНО ОТ PRIME CONSULT!  Предлагаме четиристаен апартамент, заемащ цял етаж от къща, ..., тел.: 0887673111",4,ПРАЙМ КОНСУЛТ,9.0,1,87,
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-04 14:54:35.649476,https://www.imot.bg/obiava-1d176951742624881-prodava-chetiristaen-apartament-grad-plovdiv-tsentar,https://buildingbox.imot.bg,350 000 €684 540.50 лв.,"град Пловдив, Център",Продава 4-СТАЕН,"121 кв.м, 5-ти ет. от 6, БИЛДИНГ БОКС има удоволствието да Ви представи четиристаен апартамент за продажба в Центъра на град  ..., тел.: 0879900984","121 кв.м, 5-ти ет. от 6, БИЛДИНГ БОКС има удоволствието да Ви представи четиристаен апартамент за продажба в Центъра на град  ..., тел.: 0879900984","121 кв.м, 5-ти ет. от 6, БИЛДИНГ БОКС има удоволствието да Ви представи четиристаен апартамент за продажба в Центъра на град  ..., тел.: 0879900984",6,БИЛДИНГ БОКС,11.0,1,87,
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-04 14:54:35.649476,https://www.imot.bg/obiava-1d176821208007057-prodava-chetiristaen-apartament-grad-plovdiv-tsentar,https://luximmoplovdiv.imot.bg,360 000 €704 098.80 лв.,"град Пловдив, Център",Продава 4-СТАЕН,"121 кв.м, 4-ти ет. от 6, Въведен в експлоатация, LUXIMMO FINEST ESTATES: www.luximmo.bg Представяме стилен многостаен апартамент в идеалния център на ..., тел.: 0882931568","121 кв.м, 4-ти ет. от 6, Въведен в експлоатация, LUXIMMO FINEST ESTATES: www.luximmo.bg Представяме стилен многостаен апартамент в идеалния център на ..., тел.: 0882931568","121 кв.м, 4-ти ет. от 6, Въведен в експлоатация, LUXIMMO FINEST ESTATES: www.luximmo.bg Представяме стилен многостаен апартамент в идеалния център на ..., тел.: 0882931568",6,ЛУКСИММО ПЛОВДИВ,11.0,1,87,
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-04 14:54:35.649476,https://www.imot.bg/obiava-1d176354518274753-prodava-chetiristaen-apartament-grad-plovdiv-marasha-r-t-stadiona,https://element.imot.bg,170 000 €332 491.10 лв.,"град Пловдив, Мараша",Продава 4-СТАЕН,"85 кв.м, р-т Стадиона, 4-ти ет. от 6, Въведен в експлоатация 1960 - 1969 г., МОНОЛИТЕН АПАРТАМЕНТ С 4 СТАИ ДО РЕСТОРАНТ СТАДИОНА  ТОП МЯСТО, ВЪЗМОЖНО ПРЕУСТРОЙСТВО С ТРИ СПАЛНИ  ..., тел.: 0889992848","85 кв.м, р-т Стадиона, 4-ти ет. от 6, Въведен в експлоатация 1960 - 1969 г., МОНОЛИТЕН АПАРТАМЕНТ С 4 СТАИ ДО РЕСТОРАНТ СТАДИОНА  ТОП МЯСТО, ВЪЗМОЖНО ПРЕУСТРОЙСТВО С ТРИ СПАЛНИ  ..., тел.: 0889992848","85 кв.м, р-т Стадиона, 4-ти ет. от 6, Въведен в експлоатация 1960 - 1969 г., МОНОЛИТЕН АПАРТАМЕНТ С 4 СТАИ ДО РЕСТОРАНТ СТАДИОНА  ТОП МЯСТО, ВЪЗМОЖНО ПРЕУСТРОЙСТВО С ТРИ СПАЛНИ  ..., тел.: 0889992848",6,ЕЛЕМЕНТ,6.0,1,87,
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-04 14:54:35.649476,https://www.imot.bg/obiava-1d177006896099463-prodava-chetiristaen-apartament-grad-plovdiv-mladezhki-halm,https://yavlena_plovdiv1.imot.bg,350 000 €684 540.50 лв.,"град Пловдив, Младежки Хълм",Продава 4-СТАЕН,"128 кв.м, Лок.отопл., 2023 г., Предлагаме функционален и светъл апартамент с три спални, създаден за хора, които търсят повече от п ..., тел.: 0892550333","128 кв.м, Лок.отопл., 2023 г., Предлагаме функционален и светъл апартамент с три спални, създаден за хора, които търсят повече от п ..., тел.: 0892550333","128 кв.м, Лок.отопл., 2023 г., Предлагаме функционален и светъл апартамент с три спални, създаден за хора, които търсят повече от п ..., тел.: 0892550333",,ЯВЛЕНА - ОФИС ПЛОВДИВ,11.0,1,87,
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-04 14:54:35.649476,https://www.imot.bg/obiava-1d176953580251112-prodava-chetiristaen-apartament-grad-plovdiv-tsentar,https://merdjanoff19.imot.bg,187 999 €367 694.08 лв.,"град Пловдив, Център",Продава 4-СТАЕН,"76 кв.м, 4-ти ет. от 5, Въведен в експлоатация 1980 - 1989 г., Предлагаме за продажба четиристаен апартамент в сърцето на гр. Пловдив - зад хотел Хилтън. Застроена ..., тел.: 0879332276","76 кв.м, 4-ти ет. от 5, Въведен в експлоатация 1980 - 1989 г., Предлагаме за продажба четиристаен апартамент в сърцето на гр. Пловдив - зад хотел Хилтън. Застроена ..., тел.: 0879332276","76 кв.м, 4-ти ет. от 5, Въведен в експлоатация 1980 - 1989 г., Предлагаме за продажба четиристаен апартамент в сърцето на гр. Пловдив - зад хотел Хилтън. Застроена ..., тел.: 0879332276",5,ИМОТИ МЕРДЖАНОВА,14.0,1,87,
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-04 14:54:35.649476,https://www.imot.bg/obiava-1d175283810457545-prodava-chetiristaen-apartament-grad-plovdiv-tsentar-toro-grande,https://suncity.imot.bg,205 000 €400 945.15 лв.,"град Пловдив, Център",Продава 4-СТАЕН,"94 кв.м, Торо Гранде, 7-ми ет. от 8, Въведен в експлоатация 1980 - 1989 г., Продава се апартамент в тухлена сграда, състоящ се от две спални, хол, трапезария, готварна, баня, т ..., тел.: 0887738582","94 кв.м, Торо Гранде, 7-ми ет. от 8, Въведен в експлоатация 1980 - 1989 г., Продава се апартамент в тухлена сграда, състоящ се от две спални, хол, трапезария, готварна, баня, т ..., тел.: 0887738582","94 кв.м, Торо Гранде, 7-ми ет. от 8, Въведен в експлоатация 1980 - 1989 г., Продава се апартамент в тухлена сграда, състоящ се от две спални, хол, трапезария, готварна, баня, т ..., тел.: 0887738582",8,СЪН СИТИ-ПЛОВДИВ,15.0,1,87,
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-04 14:54:35.649476,https://www.imot.bg/obiava-1d175930343656704-prodava-chetiristaen-apartament-grad-plovdiv-tsentar,https://prime98.imot.bg,287 000 €561 323.21 лв.,"град Пловдив, Център",Продава 4-СТАЕН,"123 кв.м, 2-ри ет. от 3, Въведен в експлоатация, 🏡 Многостаен апартамент с 3 спални   Център, ул. Волга / Бунарджика  Предлагаме просторен мн ..., тел.: 0887673111","123 кв.м, 2-ри ет. от 3, Въведен в експлоатация, 🏡 Многостаен апартамент с 3 спални   Център, ул. Волга / Бунарджика  Предлагаме просторен мн ..., тел.: 0887673111","123 кв.м, 2-ри ет. от 3, Въведен в експлоатация, 🏡 Многостаен апартамент с 3 спални   Център, ул. Волга / Бунарджика  Предлагаме просторен мн ..., тел.: 0887673111",3,ПРАЙМ КОНСУЛТ,11.0,1,87,
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-04 14:54:35.649476,https://www.imot.bg/obiava-1d175579633895717-prodava-chetiristaen-apartament-grad-plovdiv-tsentar-granda,https://ndimotconsult.imot.bg,322 500 €630 755.18 лв.,"град Пловдив, Център",Продава 4-СТАЕН,"150 кв.м, Гранда, 6-ти ет. от 6, Ще бъде въведен в експлоатация 2026 г., АТРАКТИВНО!!! Имотът се намира в района на Гранд-а, място, подходящо както за живеене, така и за инв ..., тел.: 0988746233","150 кв.м, Гранда, 6-ти ет. от 6, Ще бъде въведен в експлоатация 2026 г., АТРАКТИВНО!!! Имотът се намира в района на Гранд-а, място, подходящо както за живеене, така и за инв ..., тел.: 0988746233","150 кв.м, Гранда, 6-ти ет. от 6, Ще бъде въведен в експлоатация 2026 г., АТРАКТИВНО!!! Имотът се намира в района на Гранд-а, място, подходящо както за живеене, така и за инв ..., тел.: 0988746233",6,НД ИМОТКОНСУЛТ,2.0,1,87,
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-04 14:54:35.649476,https://www.imot.bg/obiava-1d175040588190572-prodava-chetiristaen-apartament-grad-plovdiv-tsentar-rusin-mahala,https://unistroy33.imot.bg,340 000 €664 982.20 лв.,"град Пловдив, Център",Продава 4-СТАЕН,"200 кв.м, Русин махала, 2-ри ет. от 3, Въведен в експлоатация, Имотът се   намира в един от най-предпочитаните централни райони   на град Пловдив - Русин махала .Л ..., тел.: 0988757390","200 кв.м, Русин махала, 2-ри ет. от 3, Въведен в експлоатация, Имотът се   намира в един от най-предпочитаните централни райони   на град Пловдив - Русин махала .Л ..., тел.: 0988757390","200 кв.м, Русин махала, 2-ри ет. от 3, Въведен в експлоатация, Имотът се   намира в един от най-предпочитаните централни райони   на град Пловдив - Русин махала .Л ..., тел.: 0988757390",3,УНИСТРОЙ 33 ЕООД,6.0,1,87,
