price_text,title,location,description,details_url,photos_text,contact_info,agency_name,agency_url,search_url,scraped_at
349 900 €684 344.92 лв.,Продава 3-СТАЕН,"град София, Белите брези","174 кв.м, 1-ви ет. от 5, ТЕЦ, Въведен в експлоатация 2008 г., ПРОСТОР !!! ФУНКЦИОНАЛНОСТ !!! ТИШИНА !!!  🏢 Просторно ателие на две нива в кв. Белите брези ..., тел.: 0875363320",//www.imot.bg/obiava-1c176216324751326-prodava-tristaen-apartament-grad-sofiya-belite-brezi,Повече детайлии 7 снимки,0875363320,ИНКЛУЗИВ БЪЛГАРИЯ АД,//inclusive1973.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-19T16:18:14.345382
208 000 €406 812.64 лв.,Продава 3-СТАЕН,"град София, Дианабад","77 кв.м, 8-ми ет. от 8, Тристаен апартамент, разположен в престижния зелен квартал Дианабад.  Апартаментът се състои от 4 ст ..., тел.: 0892501735",//www.imot.bg/obiava-1c176781662378597-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 17 снимки,0892501735,ЯВЛЕНА ЦЕНТРАЛЕН ОФИС,//yavlena.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-19T16:18:14.346429
235 900 €461 380.30 лв.,Продава 3-СТАЕН,"град София, Дианабад","99 кв.м, ул. Крум Кюлявков, 6-ти ет. от 7, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., НАЙ ДОБРА ЦЕНА спрямо СТОЙНОСТ и КАЧЕСТВО, което получавате.    Инвест Пропъртис продава eдинствения ..., тел.: 0888771488",//www.imot.bg/obiava-1c175826493402252-prodava-tristaen-apartament-grad-sofiya-dianabad-ul-krum-kyulyavkov,Повече детайлии 12 снимки,0888771488,ИНВЕСТ ПРОПЪРТИС,//iproperties.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-19T16:18:14.347483
280 000 €547 632.40 лв.,Продава 3-СТАЕН,"град София, Дианабад","90 кв.м, 1-ви ет. от 16, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., 📌 Референтен номер: 2097000  ❗ Революшън Естейт представя тристаен апартамент  в ж.к. ..., тел.: 0899 500 900",//www.imot.bg/obiava-1c176587912817583-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 12 снимки,0899 500 900,РЕВОЛЮШЪН ЕСТЕЙТ,//revolutionestate.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-19T16:18:14.348521
298 000 €582 837.34 лв.,Продава 3-СТАЕН,"град София, Дианабад","84 кв.м, 7-ми ет. от 10, ТЕЦ, Не губете време - заповядайте на виртуална разходка, за да се убедите в уюта и качествата на този пр ..., тел.: 0892502008",//www.imot.bg/obiava-1c176810164567375-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 17 снимки,0892502008,ЯВЛЕНА ЦЕНТРАЛЕН ОФИС,//yavlena.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-19T16:18:14.349536
298 000 €582 837.34 лв.,Продава 3-СТАЕН,"град София, Дианабад","107 кв.м, ул. Васил Калчев, 3-ти ет. от 16, ТЕЦ, Въведен в експлоатация 1970 - 1979 г., Arco real estate представя ЕКСКЛУЗИВНО  Дом, в който всеки прозорец гледа към бъдещето. Всеки имот и ..., тел.: 0896667314",//www.imot.bg/obiava-1c176095043938610-prodava-tristaen-apartament-grad-sofiya-dianabad-ul-vasil-kalchev,Повече детайлии 17 снимки,0896667314,АРКО РИЪЛ ЕСТЕЙТ,//arcoimoti.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-19T16:18:14.350585
319 000 €623 909.77 лв.,Продава 3-СТАЕН,"град София, Дианабад","104 кв.м, 5-ти ет. от 5, ТЕЦ, Въведен в експлоатация 1970 - 1979 г., ЕКСКЛУЗИВНО! ПРОСТОРЕН, МНОГО СЛЪНЧЕВ И ТОПЪЛ АПАРТАМЕНТ НА ЗЕЛЕНО И СПОКОЙНО МЯСТО. 103кв.м. ЧИСТА  ..., тел.: 0877441443",//www.imot.bg/obiava-1c176514969141666-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 17 снимки,0877441443,ХОУМ ГРУП,//homegroup.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-19T16:18:14.351620
330 000 €645 423.90 лв.,Продава 3-СТАЕН,"град София, Дианабад","100 кв.м, 2-ри ет. от 4, ТЕЦ, Въведен в експлоатация 1998 г., Топъл тристаен обзаведен апартамент,чиста квадратура. Продажбата е без комисионна .,не се дължи ДДС, тел.: 0888466444",//www.imot.bg/obiava-1c176510373302682-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 10 снимки,0888466444,,,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-19T16:18:14.352693
448 000 €876 211.84 лв.,Продава 3-СТАЕН,"град София, Дианабад","213 кв.м, бул. Д-р Г. М. Димитров, 6-ти ет. от 6, Въведен в експлоатация 2004 г., Comfort Properties Group има удоволствието да Ви представи Тристаен Апартамент с просторна тераса и  ..., тел.: 0888004001",//www.imot.bg/obiava-1c175603175277150-prodava-tristaen-apartament-grad-sofiya-dianabad-bul-d-r-g-m-dimitrov,Повече детайлии 17 снимки,0888004001,КОМФОРТ ПРОПЕРТИС ГРУП,//comfortpropgroup.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-19T16:18:14.353729
525 000 €1 026 810.75 лв.,Продава 3-СТАЕН,"град София, Дианабад","122 кв.м, 4-ти ет. от 7, ТЕЦ, 2024 г., 'Явлена' предлага луксозен, обзаведен тристаен апартамент на ул. Тинтява. Имотът е с площ от ..., тел.: 0892538799",//www.imot.bg/obiava-1c176879174701497-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 13 снимки,0892538799,ЯВЛЕНА,//south_park.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-19T16:18:14.354793
