price_text,title,location,description,info_text,details_url,photos_text,contact_info,agency_name,agency_url,ref_no,total_offers,price_per_m2,search_url,scraped_at
244 900 €478 982.77 лв.,Продава 3-СТАЕН,"град София, Белите брези","78 кв.м, ул. Хайдушка гора, 5-ти ет. от 5, Газ, Въведен в експлоатация 2011 г., ТОП локация! ТОП имот! ТОП цена!  Продавам прекрасен светъл 4-стаен апаратмент в нова сграда в кв. Б ..., тел.: 0885983719","78 кв.м, ул. Хайдушка гора, 5-ти ет. от 5, Газ, Въведен в експлоатация 2011 г., ТОП локация! ТОП имот! ТОП цена!  Продавам прекрасен светъл 4-стаен апаратмент в нова сграда в кв. Б ..., тел.: 0885983719",//www.imot.bg/obiava-1c176839781150384-prodava-tristaen-apartament-grad-sofiya-belite-brezi-ul-haydushka-gora,Повече детайлии 13 снимки,0885983719,ДТ ТРЕЙД ЕООД,//dttrade.imot.bg,1,0,3139.74,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:11:50.073205
748 000 €1 462 960.84 лв.,Продава 3-СТАЕН,"град София, Белите брези","207 кв.м, 4-ти ет. от 5, Газ, Въведен в експлоатация, Референтен номер: 21449  DELUXE PROPERTIES Ви представя уникален тристаен апартамент с красива гледк ..., тел.: 0883 093 093","207 кв.м, 4-ти ет. от 5, Газ, Въведен в експлоатация, Референтен номер: 21449  DELUXE PROPERTIES Ви представя уникален тристаен апартамент с красива гледк ..., тел.: 0883 093 093",//www.imot.bg/obiava-1c172407438047637-prodava-tristaen-apartament-grad-sofiya-belite-brezi,Повече детайлии 12 снимки,0883 093 093,ДЕЛУКС ПРОПЪРТИС,//deluxeproperties.imot.bg,1,0,3613.53,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:11:50.074414
208 000 €406 812.64 лв.,Продава 3-СТАЕН,"град София, Дианабад","77 кв.м, 8-ми ет. от 8, Тристаен апартамент, разположен в престижния зелен квартал Дианабад.  Апартаментът се състои от 4 ст ..., тел.: 0892502379","77 кв.м, 8-ми ет. от 8, Тристаен апартамент, разположен в престижния зелен квартал Дианабад.  Апартаментът се състои от 4 ст ..., тел.: 0892502379",//www.imot.bg/obiava-1c176781662378597-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 17 снимки,0892502379,ЯВЛЕНА ЦЕНТРАЛЕН ОФИС,//yavlena.imot.bg,1,0,2701.3,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:11:50.075596
235 900 €461 380.30 лв.,Продава 3-СТАЕН,"град София, Дианабад","99 кв.м, ул. Крум Кюлявков, 6-ти ет. от 7, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., НАЙ ДОБРА ЦЕНА спрямо СТОЙНОСТ и КАЧЕСТВО, което получавате.    Инвест Пропъртис продава eдинствения ..., тел.: 0888771488","99 кв.м, ул. Крум Кюлявков, 6-ти ет. от 7, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., НАЙ ДОБРА ЦЕНА спрямо СТОЙНОСТ и КАЧЕСТВО, което получавате.    Инвест Пропъртис продава eдинствения ..., тел.: 0888771488",//www.imot.bg/obiava-1c175826493402252-prodava-tristaen-apartament-grad-sofiya-dianabad-ul-krum-kyulyavkov,Повече детайлии 12 снимки,0888771488,ИНВЕСТ ПРОПЪРТИС,//iproperties.imot.bg,1,0,2382.83,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:11:50.076793
279 000 €545 676.57 лв.,Продава 3-СТАЕН,"град София, Дианабад","74 кв.м, 7-ми ет. от 10, ТЕЦ, Не губете време - заповядайте на виртуална разходка, за да се убедите в уюта и качествата на този пр ..., тел.: 0892501660","74 кв.м, 7-ми ет. от 10, ТЕЦ, Не губете време - заповядайте на виртуална разходка, за да се убедите в уюта и качествата на този пр ..., тел.: 0892501660",//www.imot.bg/obiava-1c176810164567375-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 17 снимки,0892501660,ЯВЛЕНА ЦЕНТРАЛЕН ОФИС,//yavlena.imot.bg,1,0,3770.27,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:11:50.077967
296 000 €578 925.68 лв.,Продава 3-СТАЕН,"град София, Дианабад","85 кв.м, 8-ми ет. от 8, ТЕЦ, Въведен в експлоатация, 3 СПАЛНИ, 2 БАНИ с ТОАЛЕТНИ, СЛЕД ЛУКСОЗЕН РЕМОНТ  Агенция Хоумуърлд продава 4-стаен непреходен апар ..., тел.: 0888705170","85 кв.м, 8-ми ет. от 8, ТЕЦ, Въведен в експлоатация, 3 СПАЛНИ, 2 БАНИ с ТОАЛЕТНИ, СЛЕД ЛУКСОЗЕН РЕМОНТ  Агенция Хоумуърлд продава 4-стаен непреходен апар ..., тел.: 0888705170",//www.imot.bg/obiava-1c176902681802979-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 17 снимки,0888705170,ХОУМУЪРЛД,//homeworld.imot.bg,1,0,3482.35,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:11:50.079156
298 000 €582 837.34 лв.,Продава 3-СТАЕН,"град София, Дианабад","107 кв.м, ул. Васил Калчев, 3-ти ет. от 16, ТЕЦ, Въведен в експлоатация 1970 - 1979 г., Arco real estate представя ЕКСКЛУЗИВНО  Дом, в който всеки прозорец гледа към бъдещето. Всеки имот и ..., тел.: 0896667314","107 кв.м, ул. Васил Калчев, 3-ти ет. от 16, ТЕЦ, Въведен в експлоатация 1970 - 1979 г., Arco real estate представя ЕКСКЛУЗИВНО  Дом, в който всеки прозорец гледа към бъдещето. Всеки имот и ..., тел.: 0896667314",//www.imot.bg/obiava-1c176095043938610-prodava-tristaen-apartament-grad-sofiya-dianabad-ul-vasil-kalchev,Повече детайлии 17 снимки,0896667314,АРКО РИЪЛ ЕСТЕЙТ,//arcoimoti.imot.bg,1,0,2785.05,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:11:50.080356
308 210 €602 806.36 лв.,Продава 3-СТАЕН,"град София, Дианабад","110 кв.м, 2-ри ет. от 7, ТЕЦ, Ще бъде въведен в експлоатация 2026 г., Само 2800 /м2! ЮГ! Дневна 27 кв.м., + 2 Спални + 2 Бани! До метростанция 'ГМ Димитров'! Има Акт 15!  ..., тел.: 0879900430","110 кв.м, 2-ри ет. от 7, ТЕЦ, Ще бъде въведен в експлоатация 2026 г., Само 2800 /м2! ЮГ! Дневна 27 кв.м., + 2 Спални + 2 Бани! До метростанция 'ГМ Димитров'! Има Акт 15!  ..., тел.: 0879900430",//www.imot.bg/obiava-1c174541322398584-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 7 снимки,0879900430,НОВ ДОМ 1,//novdom1sf.imot.bg,1,0,2801.91,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:11:50.081548
310 000 €606 307.30 лв.,Продава 3-СТАЕН,"град София, Дианабад","124 кв.м, 5-ти ет. от 8, ТЕЦ, 1998 г., Явлена има удоволствието да предложи на Вашето внимание просторен и светъл тристаен апартамент, разп ..., тел.: 0892541082","124 кв.м, 5-ти ет. от 8, ТЕЦ, 1998 г., Явлена има удоволствието да предложи на Вашето внимание просторен и светъл тристаен апартамент, разп ..., тел.: 0892541082",//www.imot.bg/obiava-1c176948459764548-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 8 снимки,0892541082,ЯВЛЕНА ЦЕНТРАЛЕН ОФИС,//yavlena.imot.bg,1,0,2500.0,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:11:50.082725
319 000 €623 909.77 лв.,Продава 3-СТАЕН,"град София, Дианабад","104 кв.м, 5-ти ет. от 5, ТЕЦ, Въведен в експлоатация 1970 - 1979 г., ЕКСКЛУЗИВНО! ПРОСТОРЕН, МНОГО СЛЪНЧЕВ И ТОПЪЛ АПАРТАМЕНТ НА ЗЕЛЕНО И СПОКОЙНО МЯСТО. 103кв.м. ЧИСТА  ..., тел.: 0877441443","104 кв.м, 5-ти ет. от 5, ТЕЦ, Въведен в експлоатация 1970 - 1979 г., ЕКСКЛУЗИВНО! ПРОСТОРЕН, МНОГО СЛЪНЧЕВ И ТОПЪЛ АПАРТАМЕНТ НА ЗЕЛЕНО И СПОКОЙНО МЯСТО. 103кв.м. ЧИСТА  ..., тел.: 0877441443",//www.imot.bg/obiava-1c176514969141666-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 17 снимки,0877441443,ХОУМ ГРУП,//homegroup.imot.bg,1,0,3067.31,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:11:50.083929
