site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/dvustaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-02-14 18:03:02.166261,https://www.imot.bg/obiava-1b176312186634757-prodava-dvustaen-apartament-grad-sofiya-belite-brezi,https://cpgroup.imot.bg,159 900 €312 737.22 лв.,"град София, Белите брези",Продава 2-СТАЕН,"55 кв.м, 1-ви ет. от 12, Въведен в експлоатация, Отворени врати + търг   апартамент в кв. Бели брези, бл. 13 📅 20 и 21 февруари 📍 Соф ..., тел.: 0877 829 955","55 кв.м, 1-ви ет. от 12, Въведен в експлоатация, Отворени врати + търг   апартамент в кв. Бели брези, бл. 13 📅 20 и 21 февруари 📍 Соф ..., тел.: 0877 829 955","55 кв.м, 1-ви ет. от 12, Въведен в експлоатация, Отворени врати + търг   апартамент в кв. Бели брези, бл. 13 📅 20 и 21 февруари 📍 Соф ..., тел.: 0877 829 955",12,КАПИТАЛ ПРОПЪРТИ ГРУП,8.0,1,436,
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/dvustaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-02-14 18:03:02.166261,https://www.imot.bg/obiava-1b177080458867195-prodava-dvustaen-apartament-grad-sofiya-belite-brezi-ul-nishava,https://bulgariarealty.imot.bg,235 000 €459 620.05 лв.,"град София, Белите брези",Продава 2-СТАЕН,"71 кв.м, ул. Нишава, 7-ми ет. от 14, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., Продавам голям, непреходен, обзаведен двустаен апартамент в гр. София, кв.'Белите брези', ул.'Нишава ..., тел.: 0878 866 508","71 кв.м, ул. Нишава, 7-ми ет. от 14, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., Продавам голям, непреходен, обзаведен двустаен апартамент в гр. София, кв.'Белите брези', ул.'Нишава ..., тел.: 0878 866 508","71 кв.м, ул. Нишава, 7-ми ет. от 14, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., Продавам голям, непреходен, обзаведен двустаен апартамент в гр. София, кв.'Белите брези', ул.'Нишава ..., тел.: 0878 866 508",14,БЪЛГАРИЯ РИАЛТИ,17.0,1,436,
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/dvustaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-02-14 18:03:02.166261,https://www.imot.bg/obiava-1b177028733767783-prodava-dvustaen-apartament-grad-sofiya-belite-brezi,https://mitrev-g.imot.bg,235 000 €459 620.05 лв.,"град София, Белите брези",Продава 2-СТАЕН,"67 кв.м, 8-ми ет. от 10, ТЕЦ, Въведен в експлоатация 1980 - 1989 г.,    Агенция за недвижими имоти 'МИТРЕВ-Г' предлага за продажба голям двустаен апартамент, функционалн ..., тел.: 0886272553","67 кв.м, 8-ми ет. от 10, ТЕЦ, Въведен в експлоатация 1980 - 1989 г.,    Агенция за недвижими имоти 'МИТРЕВ-Г' предлага за продажба голям двустаен апартамент, функционалн ..., тел.: 0886272553","67 кв.м, 8-ми ет. от 10, ТЕЦ, Въведен в експлоатация 1980 - 1989 г.,    Агенция за недвижими имоти 'МИТРЕВ-Г' предлага за продажба голям двустаен апартамент, функционалн ..., тел.: 0886272553",10,МИТРЕВ-Г,10.0,1,436,
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/dvustaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-02-14 18:03:02.166261,https://www.imot.bg/obiava-1b176961603110288-prodava-dvustaen-apartament-grad-sofiya-belite-brezi,https://luximmo.imot.bg,239 000 €467 443.37 лв.,"град София, Белите брези",Продава 2-СТАЕН,"76 кв.м, 4-ти ет. от 4, Въведен в експлоатация, LUXIMMO FINEST ESTATES: www.luximmo.bg  Представяме двустаен апартамент в кв.  Белите брези , разпол ..., тел.: 0988154591","76 кв.м, 4-ти ет. от 4, Въведен в експлоатация, LUXIMMO FINEST ESTATES: www.luximmo.bg  Представяме двустаен апартамент в кв.  Белите брези , разпол ..., тел.: 0988154591","76 кв.м, 4-ти ет. от 4, Въведен в експлоатация, LUXIMMO FINEST ESTATES: www.luximmo.bg  Представяме двустаен апартамент в кв.  Белите брези , разпол ..., тел.: 0988154591",4,ЛУКСИММО,17.0,1,436,
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/dvustaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-02-14 18:03:02.166261,https://www.imot.bg/obiava-1b176303224858983-prodava-dvustaen-apartament-grad-sofiya-dianabad,https://evolut.imot.bg,165 000 €322 711.95 лв.,"град София, Дианабад",Продава 2-СТАЕН,"60 кв.м, 8-ми ет. от 8, ТЕЦ, Въведен в експлоатация 1970 - 1979 г., ТОП ЛОКАЦИЯ!!! НАЙ-НИСКА ЦЕНА ЗА РАЙОНА!!! ПАНОРАМА!!! Имаме удоволствието да Ви предсатавим класиче ..., тел.: 0878443777","60 кв.м, 8-ми ет. от 8, ТЕЦ, Въведен в експлоатация 1970 - 1979 г., ТОП ЛОКАЦИЯ!!! НАЙ-НИСКА ЦЕНА ЗА РАЙОНА!!! ПАНОРАМА!!! Имаме удоволствието да Ви предсатавим класиче ..., тел.: 0878443777","60 кв.м, 8-ми ет. от 8, ТЕЦ, Въведен в експлоатация 1970 - 1979 г., ТОП ЛОКАЦИЯ!!! НАЙ-НИСКА ЦЕНА ЗА РАЙОНА!!! ПАНОРАМА!!! Имаме удоволствието да Ви предсатавим класиче ..., тел.: 0878443777",8,ЕВОЛЮТ ОФИС ИНФИНИТИ,11.0,1,436,
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/dvustaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-02-14 18:03:02.166261,https://www.imot.bg/obiava-1b177072190313721-prodava-dvustaen-apartament-grad-sofiya-dianabad,https://yavlena.imot.bg,169 000 €330 535.27 лв.,"град София, Дианабад",Продава 2-СТАЕН,"57 кв.м, ТЕЦ, Отлична локация! Предлагам двустаен апартамент с площ 57 кв.м, разположен на 3-ти етаж от 8 в панелн ..., тел.: 0892507939","57 кв.м, ТЕЦ, Отлична локация! Предлагам двустаен апартамент с площ 57 кв.м, разположен на 3-ти етаж от 8 в панелн ..., тел.: 0892507939","57 кв.м, ТЕЦ, Отлична локация! Предлагам двустаен апартамент с площ 57 кв.м, разположен на 3-ти етаж от 8 в панелн ..., тел.: 0892507939",8,ЯВЛЕНА ЦЕНТРАЛЕН ОФИС,7.0,1,436,
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/dvustaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-02-14 18:03:02.166261,https://www.imot.bg/obiava-1b177021075085664-prodava-dvustaen-apartament-grad-sofiya-dianabad,https://svetlina.imot.bg,184 999 €361 826.59 лв.,"град София, Дианабад",Продава 2-СТАЕН,"60 кв.м, 5-ти ет. от 8, ТЕЦ, Въведен в експлоатация, 'Svetlina Real Estate' Ви предлага двустаен апартамент за продажба в кв. Дианабад.  Имотът е част от ..., тел.: 0893006908","60 кв.м, 5-ти ет. от 8, ТЕЦ, Въведен в експлоатация, 'Svetlina Real Estate' Ви предлага двустаен апартамент за продажба в кв. Дианабад.  Имотът е част от ..., тел.: 0893006908","60 кв.м, 5-ти ет. от 8, ТЕЦ, Въведен в експлоатация, 'Svetlina Real Estate' Ви предлага двустаен апартамент за продажба в кв. Дианабад.  Имотът е част от ..., тел.: 0893006908",8,СВЕТЛИНА,13.0,1,436,
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/dvustaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-02-14 18:03:02.166261,https://www.imot.bg/obiava-1b174437685070245-prodava-dvustaen-apartament-grad-sofiya-dianabad-bul-d-r-g-m-dimitrov,https://sbe.imot.bg,187 859 €367 420.27 лв.,"град София, Дианабад",Продава 2-СТАЕН,"63 кв.м, бул. Д-р Г. М. Димитров, 2-ри ет. от 7, ТЕЦ, Ще бъде въведен в експлоатация 2027 г., Строително инвенстиционна компания!!!  СОФИЯ БИЛДИНГ ЕСТЕЙТ  ЕООД Ви предлага двустайни, тристайни и ..., тел.: 0885 688 556","63 кв.м, бул. Д-р Г. М. Димитров, 2-ри ет. от 7, ТЕЦ, Ще бъде въведен в експлоатация 2027 г., Строително инвенстиционна компания!!!  СОФИЯ БИЛДИНГ ЕСТЕЙТ  ЕООД Ви предлага двустайни, тристайни и ..., тел.: 0885 688 556","63 кв.м, бул. Д-р Г. М. Димитров, 2-ри ет. от 7, ТЕЦ, Ще бъде въведен в експлоатация 2027 г., Строително инвенстиционна компания!!!  СОФИЯ БИЛДИНГ ЕСТЕЙТ  ЕООД Ви предлага двустайни, тристайни и ..., тел.: 0885 688 556",7,СОФИЯ БИЛДИНГ ЕСТЕЙТ ЕООД,3.0,1,436,
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/dvustaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-02-14 18:03:02.166261,https://www.imot.bg/obiava-1b177056893954169-prodava-dvustaen-apartament-grad-sofiya-dianabad,https://home2u3.imot.bg,215 000 €420 503.45 лв.,"град София, Дианабад",Продава 2-СТАЕН,"64 кв.м, 6-ти ет. от 8, Въведен в експлоатация 2024 г., ОБЗАВЕДЕН !!! ЮЖНО ИЗЛОЖЕНИЕ !!! НА 300 метра от Студентски парк !!! КОМУНИКАТИВНА ЛОКАЦИЯ !!!  Пред ..., тел.: 0875363330","64 кв.м, 6-ти ет. от 8, Въведен в експлоатация 2024 г., ОБЗАВЕДЕН !!! ЮЖНО ИЗЛОЖЕНИЕ !!! НА 300 метра от Студентски парк !!! КОМУНИКАТИВНА ЛОКАЦИЯ !!!  Пред ..., тел.: 0875363330","64 кв.м, 6-ти ет. от 8, Въведен в експлоатация 2024 г., ОБЗАВЕДЕН !!! ЮЖНО ИЗЛОЖЕНИЕ !!! НА 300 метра от Студентски парк !!! КОМУНИКАТИВНА ЛОКАЦИЯ !!!  Пред ..., тел.: 0875363330",8,ХОУМ ТУ Ю БЪЛГАРИЯ,7.0,1,436,
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/dvustaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-02-14 18:03:02.166261,https://www.imot.bg/obiava-1b173858605471196-prodava-dvustaen-apartament-grad-sofiya-dianabad,https://luximmo.imot.bg,212 600 €415 809.46 лв.,"град София, Дианабад",Продава 2-СТАЕН,"80 кв.м, 4-ти ет. от 15, ТЕЦ, Ще бъде въведен в експлоатация 2027 г., LUXIMMO FINEST ESTATES: www.luximmo.bg Ексклузивно представяме за продажба двустаен апартамент  4.32 ..., тел.: 0882817572","80 кв.м, 4-ти ет. от 15, ТЕЦ, Ще бъде въведен в експлоатация 2027 г., LUXIMMO FINEST ESTATES: www.luximmo.bg Ексклузивно представяме за продажба двустаен апартамент  4.32 ..., тел.: 0882817572","80 кв.м, 4-ти ет. от 15, ТЕЦ, Ще бъде въведен в експлоатация 2027 г., LUXIMMO FINEST ESTATES: www.luximmo.bg Ексклузивно представяме за продажба двустаен апартамент  4.32 ..., тел.: 0882817572",15,ЛУКСИММО,12.0,1,436,
