price_text,title,location,location_info,description,details_url,contact_info,ref_no,total_offers,time,num_photos,agency_name,agency_url,price_per_m2,search_url,scraped_at
"97 690 лв.49 948,10 €",Продава  Земеделска земя,"град Пазарджик, Запад","град Пазарджик, Запад
9.769 дка","Нива, кат. 4, , Предлагаме за продажба земеделска земя в гр. Пазарджик в местност 'ТАТАР ЕКИН' зад Крез с площ 9,769 ...",https://www.imoti.com/obiava/48631714/prodava-zemedelska-zemya-grad-pazardzhik-zapad,0888181889,48631714,380,13:10 26.07.2022,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:45.163886
"72 680 €142 149,72 лв.",Продава  Земеделска земя,"град Пазарджик, Запад","град Пазарджик, Запад
7.268 дка","Нива, кат. 4, , Земеделска земя в гр. Пазарджик в близост до мост Атлантик с обща площ от 7,268 дка. подходяща за см ...",https://www.imoti.com/obiava/67761796/prodava-zemedelska-zemya-grad-pazardzhik-zapad,0888181889,67761796,380,10:28 07.06.2022,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:45.164446
200 000 €391 166 лв.,Продава  Земеделска земя,"град Пловдив, Индустриална зона - Изток","град Пловдив, Индустриална зона - Изток
12.5 дка","Нива, кат. 4, , ПРОДАВА СЕ ИМОТ С ПЛОЩ ОТ 12500 КВ.М И ЛИЦЕ 70 МЕТРА НА ГЛАВЕН ПЪТ, С УДОБЕН ДОСТЪП ОТ И КЪМ ПЪТ Е80 ...",https://www.imoti.com/obiava/96777517/prodava-zemedelska-zemya-grad-plovdiv-industrialna-zona-iztok,0898333919,96777517,380,18:00 04.06.2019,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:45.164945
Цена при запитване,Продава  Земеделска земя,"град Русе, Дружба 3","град Русе, Дружба 3
4333 дка","Нива, кат. 4, с Аренден договор до 25.10.2019 г. и рента 60 лв./год., , Нива с лице на асфалтов път,близко до разклона за с.Червена вода,ток,вода,газ до нивата.",https://www.imoti.com/obiava/58846591/prodava-zemedelska-zemya-grad-ruse-druzhba-3,082/82-84-86,58846591,380,13:11 28.11.2024,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:45.165440
"29 600 €57 892,57 лв.",Продава  Земеделска земя,"град Смолян, в.з. Смолян","град Смолян, в.з. Смолян
4 дка","Нива, кат. 10, , ТЕЛ.:0879432468; 0301 69999/ПРЕДЛАГАМЕ ВИ ЗА ПРОДАЖБА НА ЖИВОПИСЕН ИМОТ ВЪВ ВИЛНАТА ЗОНА НА ГРАД СМО ...",https://www.imoti.com/obiava/69415588/prodava-zemedelska-zemya-grad-smolyan-v-z-smolyan,0301/69999  0879/,69415588,380,09:45 19.04.2019,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:45.165928
"25 000 €48 895,75 лв.Цената е с включено ДДС",Продава  Земеделска земя,"гр. Банско, област Благоевград","гр. Банско, област Благоевград
2 дка","Нива, кат. 5, , Прекрасен,слънчев имот, с невероятна гледка към Рила и Пирин.в местността 'Байова борика'землището н ...",https://www.imoti.com/obiava/89699421/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,0895539823,89699421,380,14:33 16.01.2026,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:45.166464
"35 000 €68 454,05 лв.",Продава  Земеделска земя,"гр. Банско, област Благоевград","гр. Банско, област Благоевград
1 дка","Нива, кат. 8, , www.unikalniimotibansko.com БЕЗ КОМИСИОННА ОТ КУПУВАЧА! Агенция 'Уникални Имоти Банско' предлага за  ...",https://www.imoti.com/obiava/98861259/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,0899564900,98861259,380,15:51 28.06.2022,1,Имоти,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:45.166970
"40 000 €78 233,20 лв.",Продава  Земеделска земя,"гр. Банско, област Благоевград","гр. Банско, област Благоевград
5 дка",,https://www.imoti.com/obiava/91448698/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,0895670590,91448698,380,15:46 15.02.2020,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:45.167471
"79 950 €156 368,61 лв.",Продава  Земеделска земя,"гр. Банско, област Благоевград","гр. Банско, област Благоевград
1.2 дка","Нива, кат. 8, , www.unikalniimotibansko.com БЕЗ КОМИСИОННА ОТ КУПУВАЧА! Предлага се за продажба земя с площ от 1,230 ...",https://www.imoti.com/obiava/58792903/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,0899564900,58792903,380,15:03 10.03.2021,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:45.167971
"136 370 €266 716,54 лв.",Продава  Земеделска земя,"гр. Банско, област Благоевград","гр. Банско, област Благоевград
2.1 дка","Нива, кат. 8, , www.unikalniimotibansko.com БЕЗ КОМИСИОННА ОТ КУПУВАЧА! Предлага се за продажба земя с площ от 2,098 ...",https://www.imoti.com/obiava/60120567/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,0899564900,60120567,380,14:55 10.03.2021,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:45.168499
