site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
imoticom,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-04 13:59:25.174699,https://www.imoti.com/obiava/48631714/prodava-zemedelska-zemya-grad-pazardzhik-zapad,,"97 690 лв.49 948,10 €","град Пазарджик, Запад",Продава  Земеделска земя,"Нива, кат. 4, , Предлагаме за продажба земеделска земя в гр. Пазарджик в местност 'ТАТАР ЕКИН' зад Крез с площ 9,769 ...",,,,,1,48631714,381,"Продава  Земеделска земя град Пазарджик, Запад"
imoticom,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-04 13:59:25.174699,https://www.imoti.com/obiava/67761796/prodava-zemedelska-zemya-grad-pazardzhik-zapad,,"72 680 €142 149,72 лв.","град Пазарджик, Запад",Продава  Земеделска земя,"Нива, кат. 4, , Земеделска земя в гр. Пазарджик в близост до мост Атлантик с обща площ от 7,268 дка. подходяща за см ...",,,,,1,67761796,381,"Продава  Земеделска земя град Пазарджик, Запад"
imoticom,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-04 13:59:25.174699,https://www.imoti.com/obiava/96777517/prodava-zemedelska-zemya-grad-plovdiv-industrialna-zona-iztok,,200 000 €391 166 лв.,"град Пловдив, Индустриална зона - Изток",Продава  Земеделска земя,"Нива, кат. 4, , ПРОДАВА СЕ ИМОТ С ПЛОЩ ОТ 12500 КВ.М И ЛИЦЕ 70 МЕТРА НА ГЛАВЕН ПЪТ, С УДОБЕН ДОСТЪП ОТ И КЪМ ПЪТ Е80 ...",,,,,1,96777517,381,"Продава  Земеделска земя град Пловдив, Индустриална зона - Изток"
imoticom,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-04 13:59:25.174699,https://www.imoti.com/obiava/58846591/prodava-zemedelska-zemya-grad-ruse-druzhba-3,,Цена при запитване,"град Русе, Дружба 3",Продава  Земеделска земя,"Нива, кат. 4, с Аренден договор до 25.10.2019 г. и рента 60 лв./год., , Нива с лице на асфалтов път,близко до разклона за с.Червена вода,ток,вода,газ до нивата.",,,,,1,58846591,381,"Продава  Земеделска земя град Русе, Дружба 3"
imoticom,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-04 13:59:25.174699,https://www.imoti.com/obiava/69415588/prodava-zemedelska-zemya-grad-smolyan-v-z-smolyan,,"29 600 €57 892,57 лв.","град Смолян, в.з. Смолян",Продава  Земеделска земя,"Нива, кат. 10, , ТЕЛ.:0879432468; 0301 69999/ПРЕДЛАГАМЕ ВИ ЗА ПРОДАЖБА НА ЖИВОПИСЕН ИМОТ ВЪВ ВИЛНАТА ЗОНА НА ГРАД СМО ...",,,,,1,69415588,381,"Продава  Земеделска земя град Смолян, в.з. Смолян"
imoticom,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-04 13:59:25.174699,https://www.imoti.com/obiava/89699421/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,,"25 000 €48 895,75 лв.Цената е с включено ДДС","гр. Банско, област Благоевград",Продава  Земеделска земя,"Нива, кат. 5, , Прекрасен,слънчев имот, с невероятна гледка към Рила и Пирин.в местността 'Байова борика'землището н ...",,,,,1,89699421,381,"Продава  Земеделска земя област Благоевград, гр. Банско"
imoticom,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-04 13:59:25.174699,https://www.imoti.com/obiava/98861259/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,,"35 000 €68 454,05 лв.","гр. Банско, област Благоевград",Продава  Земеделска земя,"Нива, кат. 8, , www.unikalniimotibansko.com БЕЗ КОМИСИОННА ОТ КУПУВАЧА! Агенция 'Уникални Имоти Банско' предлага за  ...",,,,Имоти,1,98861259,381,"Продава  Земеделска земя област Благоевград, гр. Банско"
imoticom,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-04 13:59:25.174699,https://www.imoti.com/obiava/91448698/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,,"40 000 €78 233,20 лв.","гр. Банско, област Благоевград",Продава  Земеделска земя,,,,,,1,91448698,381,"Продава  Земеделска земя област Благоевград, гр. Банско"
imoticom,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-04 13:59:25.174699,https://www.imoti.com/obiava/58792903/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,,"79 950 €156 368,61 лв.","гр. Банско, област Благоевград",Продава  Земеделска земя,"Нива, кат. 8, , www.unikalniimotibansko.com БЕЗ КОМИСИОННА ОТ КУПУВАЧА! Предлага се за продажба земя с площ от 1,230 ...",,,,,1,58792903,381,"Продава  Земеделска земя област Благоевград, гр. Банско"
imoticom,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-04 13:59:25.174699,https://www.imoti.com/obiava/60120567/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,,"136 370 €266 716,54 лв.","гр. Банско, област Благоевград",Продава  Земеделска земя,"Нива, кат. 8, , www.unikalniimotibansko.com БЕЗ КОМИСИОННА ОТ КУПУВАЧА! Предлага се за продажба земя с площ от 2,098 ...",,,,,1,60120567,381,"Продава  Земеделска земя област Благоевград, гр. Банско"
