price_text,title,location,location_info,description,details_url,contact_info,search_url,scraped_at
"179 000 €350 093,57 лв.Не се начислява ДДС",Продава  2-стаен,"град София, Белите брези","град София, Белите брези
56 кв.м","6-ти ет., ТЕЦ, UnitedArts Real Estate предлага на Вашето внимание двустаен апартамент в тухлена сграда на границата ...",https://www.imoti.com/obiava/22699838/prodava-2-staen-grad-sofiya-belite-brezi,00359882211412,https://www.imoti.com/prodazhbi/grad-sofiya/dvustaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-21T06:03:22.479547
"238 000 €465 487,54 лв.Не се начислява ДДС",Продава  2-стаен,"град София, Белите брези","град София, Белите брези
71 кв.м","Продавам голям, непреходен, обзаведен двустаен апартамент в гр. София, кв.'Белите брези', ул.'Нишава ...",https://www.imoti.com/obiava/61117075/prodava-2-staen-grad-sofiya-belite-brezi,0878 866 508,https://www.imoti.com/prodazhbi/grad-sofiya/dvustaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-21T06:03:22.479964
"165 000 €322 711,95 лв.Цената е с включено ДДС",Продава  2-стаен,"град София, Борово","град София, Борово
65 кв.м","1-ви ет., ТЕЦ, 🏡 Агенция Би Пи Си предлага   2-стаен апартамент, София, кв. Борово- Предимства ✅:   Ф ...",https://www.imoti.com/obiava/46176942/prodava-2-staen-grad-sofiya-borovo,0899898979,https://www.imoti.com/prodazhbi/grad-sofiya/dvustaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-21T06:03:22.480337
"165 000 €322 711,95 лв.Не се начислява ДДС",Продава  2-стаен,"град София, Борово","град София, Борово
65 кв.м","1-ви ет., ТЕЦ, 2-стаен апартамент в кв. Борово с ИЗЦЯЛО ЮЖНО ИЗЛОЖЕНИЕ което осигурява светлина и топлина през цели ...",https://www.imoti.com/obiava/37970626/prodava-2-staen-grad-sofiya-borovo,0888585124,https://www.imoti.com/prodazhbi/grad-sofiya/dvustaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-21T06:03:22.480691
"179 999 €352 047,44 лв.Не се начислява ДДС",Продава  2-стаен,"град София, Борово","град София, Борово
60 кв.м","6-ти ет., ТЕЦ, Титан Пропъртис - офис бул. България има удоволствието да Ви представи двустаен апартамент в ж.к. Бо ...",https://www.imoti.com/obiava/15619189/prodava-2-staen-grad-sofiya-borovo,0895671248,https://www.imoti.com/prodazhbi/grad-sofiya/dvustaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-21T06:03:22.481086
"226 900 €443 777,83 лв.Не се начислява ДДС",Продава  2-стаен,"град София, Борово","град София, Борово
63 кв.м","3-ти ет., ТЕЦ, Просторен двустаен на най-хубавото място в кв. Борово. На среден етаж в поддържана тухлена сграда на ...",https://www.imoti.com/obiava/11278126/prodava-2-staen-grad-sofiya-borovo,088 21 21 450,https://www.imoti.com/prodazhbi/grad-sofiya/dvustaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-21T06:03:22.481452
"230 000 €449 840,90 лв.Не се начислява ДДС",Продава  2-стаен,"град София, Борово","град София, Борово
65 кв.м","2-ри ет., ТЕЦ, LUXIMMO FINEST ESTATES: www.luximmo.bgИзберете артистичен двустаен апартамент с отличителен дизайн и ...",https://www.imoti.com/obiava/21919538/prodava-2-staen-grad-sofiya-borovo,0884604774,https://www.imoti.com/prodazhbi/grad-sofiya/dvustaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-21T06:03:22.481819
"226 600 €443 191,08 лв.Не се начислява ДДС",Продава  2-стаен,"град София, Гоце Делчев","град София, Гоце Делчев
75 кв.м","2-ри ет., ТЕЦ, Homespace предлага за продажба светъл и функционален двустаен апартамент, разположен в предпочитания ...",https://www.imoti.com/obiava/41030272/prodava-2-staen-grad-sofiya-gotse-delchev,0878264666,https://www.imoti.com/prodazhbi/grad-sofiya/dvustaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-21T06:03:22.482183
"280 000 €547 632,40 лв.Не се начислява ДДС",Продава  2-стаен,"град София, Гоце Делчев","град София, Гоце Делчев
72 кв.м","3-ти ет., ГАЗ, Лок.отопл., Готови документи за продажба!Манастирски ливади - изток, ул. Луи Айер 67! Прекрасен апартамент в нов ...",https://www.imoti.com/obiava/95519074/prodava-2-staen-grad-sofiya-gotse-delchev,0878212415,https://www.imoti.com/prodazhbi/grad-sofiya/dvustaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-21T06:03:22.482541
"355 000 €694 319,65 лв.Не се начислява ДДС",Продава  2-стаен,"град София, Гоце Делчев","град София, Гоце Делчев
82 кв.м","4-ти ет., ГАЗ, КЛАСА И ЛУКС! УЮТ И УДОБСТВО!ПЕРФЕКТЕН КАКТО ЗА ЖИВЕЕНЕ, ТАКА И ЗА ИНВЕСТИЦИЯ И ВИСОК НАЕМ!ЛУКСОЗНО  ...",https://www.imoti.com/obiava/40815054/prodava-2-staen-grad-sofiya-gotse-delchev,0886120639,https://www.imoti.com/prodazhbi/grad-sofiya/dvustaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-21T06:03:22.482908
