site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/dvustaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-02-04 18:11:44.515368,https://www.imoti.com/obiava/22699838/prodava-2-staen-grad-sofiya-belite-brezi,,"179 000 €350 093,57 лв.Не се начислява ДДС","град София, Белите брези",Продава  2-стаен,"6-ти ет., ТЕЦ, UnitedArts Real Estate предлага на Вашето внимание двустаен апартамент в тухлена сграда на границата ...",56 кв.м,6,,UnitedArts Real Estate,1,22699838,605,"Продава  2-стаен град София, Белите брези"
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/dvustaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-02-04 18:11:44.515368,https://www.imoti.com/obiava/58850753/prodava-2-staen-grad-sofiya-belite-brezi,,"235 000 €459 620,05 лв.Не се начислява ДДС","град София, Белите брези",Продава  2-стаен,"7-ми ет., ТЕЦ, Продавам голям, непреходен, обзаведен двустаен апартамент в гр. София, кв.'Белите брези', ул.'Нишава ...",71 кв.м,7,,,1,58850753,605,"Продава  2-стаен град София, Белите брези"
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/dvustaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-02-04 18:11:44.515368,https://www.imoti.com/obiava/30507900/prodava-2-staen-grad-sofiya-belite-brezi,,"239 000 €467 443,37 лв.Не се начислява ДДС","град София, Белите брези",Продава  2-стаен,"4-ти ет., LUXIMMO FINEST ESTATES: www.luximmo.bgПредставяме двустаен апартамент в кв.  Белите брези , разполож ...",76 кв.м,4,,LUXIMMO FINEST ESTATES,1,30507900,605,"Продава  2-стаен град София, Белите брези"
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/dvustaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-02-04 18:11:44.515368,https://www.imoti.com/obiava/87569869/prodava-2-staen-grad-sofiya-borovo,,"169 999 €332 489,14 лв.Цената е с включено ДДС","град София, Борово",Продава  2-стаен,"6-ти ет., ТЕЦ, ОТЛИЧНА ЛОКАЦИЯ ! ! ! ЮЖЕН ! ! ! ТОПЪЛ ! ! ! Представяме на вашето внимание двустаен апартамент, с и ...",60 кв.м,6,,,1,87569869,605,"Продава  2-стаен град София, Борово"
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/dvustaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-02-04 18:11:44.515368,https://www.imoti.com/obiava/42941707/prodava-2-staen-grad-sofiya-borovo,,"179 999 €352 047,44 лв.Не се начислява ДДС","град София, Борово",Продава  2-стаен,"6-ти ет., ТЕЦ, СВОБОДНО ПАРКИРАНЕ !!! СРЕЩУ ХЕПИ !!! ЗА РЕМОНТПредставяме ви имот, разположен в една от най-цененит ...",65 кв.м,6,,,1,42941707,605,"Продава  2-стаен град София, Борово"
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/dvustaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-02-04 18:11:44.515368,https://www.imoti.com/obiava/15619189/prodava-2-staen-grad-sofiya-borovo,,"179 999 €352 047,44 лв.Не се начислява ДДС","град София, Борово",Продава  2-стаен,"6-ти ет., ТЕЦ, Титан Пропъртис - офис бул. България има удоволствието да Ви представи двустаен апартамент в ж.к. Бо ...",60 кв.м,6,,Пропърти,1,15619189,605,"Продава  2-стаен град София, Борово"
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/dvustaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-02-04 18:11:44.515368,https://www.imoti.com/obiava/11278126/prodava-2-staen-grad-sofiya-borovo,,"226 900 €443 777,83 лв.Не се начислява ДДС","град София, Борово",Продава  2-стаен,"3-ти ет., ТЕЦ, Просторен двустаен на най-хубавото място в кв. Борово. На среден етаж в поддържана тухлена сграда на ...",63 кв.м,3,,,1,11278126,605,"Продава  2-стаен град София, Борово"
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/dvustaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-02-04 18:11:44.515368,https://www.imoti.com/obiava/38124419/prodava-2-staen-grad-sofiya-gotse-delchev,,"179 999 €352 047,44 лв.Не се начислява ДДС","град София, Гоце Делчев",Продава  2-стаен,"6-ти ет., СВОБОДНО ПАРКИРАНЕ !!! СРЕЩУ ХЕПИ !!! ЗА РЕМОНТПредставяме ви имот, разположен в една от най-цененит ...",65 кв.м,6,,,1,38124419,605,"Продава  2-стаен град София, Гоце Делчев"
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/dvustaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-02-04 18:11:44.515368,https://www.imoti.com/obiava/60145409/prodava-2-staen-grad-sofiya-gotse-delchev,,"220 000 €430 282,60 лв.Не се начислява ДДС","град София, Гоце Делчев",Продава  2-стаен,"2-ри ет., ТЕЦ, Двустаен апартамент с три помещения. Разпределение: коридор, кухня с усвоен балкон, хол с отворен ба ...",66 кв.м,2,,,1,60145409,605,"Продава  2-стаен град София, Гоце Делчев"
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/dvustaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-02-04 18:11:44.515368,https://www.imoti.com/obiava/41030272/prodava-2-staen-grad-sofiya-gotse-delchev,,"226 600 €443 191,08 лв.Не се начислява ДДС","град София, Гоце Делчев",Продава  2-стаен,"2-ри ет., ТЕЦ, КЛЮЧ В АГЕНЦИЯТА !Homespace предлага за продажба светъл и функционален двустаен апартамент, разполож ...",75 кв.м,2,,,1,41030272,605,"Продава  2-стаен град София, Гоце Делчев"
