price_text,title,location,location_info,description,details_url,contact_info,search_url,scraped_at
"1 100 €2 151,41 лв.Не се начислява ДДС",Дава под наем  2-стаен,"град София, Докторски паметник","град София, Докторски паметник
88 кв.м","2-ри ет., ТЕЦ, TWO ROOMS, LUXURY, FURNISHED according to a designer project, APARTMENT next to 'Doctor's Garden' an ...",https://www.imoti.com/obiava/36344858/dava-pod-naem-2-staen-grad-sofiya-doktorski-pametnik,0898778349,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:11.043977
"1 500 €2 933,74 лв.Не се начислява ДДС",Дава под наем  2-стаен,"град София, Докторски паметник","град София, Докторски паметник
93 кв.м","6-ти ет., ТЕЦ, Просторен и артистичен апартамент под наем до Докторски паметникПредставяме Ви изключително елеганте ...",https://www.imoti.com/obiava/35411269/dava-pod-naem-2-staen-grad-sofiya-doktorski-pametnik,089521-21-21,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:11.044348
"495 €968,14 лв.Цената е с включено ДДС",Дава под наем  2-стаен,"град София, Иван Вазов","град София, Иван Вазов
50 кв.м","5-ти ет., ТЕЦ, ТОП ЛОКАЦИЯ!АРТ ХАУС 94 има удоволствието да ви предложи 2 стаен  ОБЗАВЕДЕН апартамент под НАЕМ в кв ...",https://www.imoti.com/obiava/35812367/dava-pod-naem-2-staen-grad-sofiya-ivan-vazov,0887803064,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:11.044722
"500 €977,91 лв.Не се начислява ДДС",Дава под наем  2-стаен,"град София, Иван Вазов","град София, Иван Вазов
53 кв.м",,https://www.imoti.com/obiava/56589791/dava-pod-naem-2-staen-grad-sofiya-ivan-vazov,0898705214,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:11.045081
"820 €1 603,78 лв.Цената е с включено ДДС",Дава под наем  2-стаен,"град София, Изгрев","град София, Изгрев
73 кв.м","5-ти ет., ТЕЦ, Агенция SUPRIMMO: www.suprimmo.bgПредставяме Ви стилен и напълно обзаведен двустаен апартамент под н ...",https://www.imoti.com/obiava/24034631/dava-pod-naem-2-staen-grad-sofiya-izgrev,0884509595,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:11.045456
"430 €841,01 лв.Цената е с включено ДДС",Дава под наем  2-стаен,"град София, Изток","град София, Изток
60 кв.м","1-ви ет., ТЕЦ, РЕАЛНА ОФЕРТА, частично обзаведен двустаен, на ул.Люляковапградина със следното разпределение: корид ...",https://www.imoti.com/obiava/14992789/dava-pod-naem-2-staen-grad-sofiya-iztok,0878185260,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:11.045815
"599 €1 171,54 лв.Не се начислява ДДС",Дава под наем  2-стаен,"град София, Изток","град София, Изток
60 кв.м","2-ри ет., Предлагаме ви двустаен апартамент в тухлена сграда намираща се на ул. Академик Методи Попов, апартам ...",https://www.imoti.com/obiava/47686057/dava-pod-naem-2-staen-grad-sofiya-iztok,088 899 9861,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:11.046166
"630 €1 232,17 лв.Не се начислява ДДС",Дава под наем  2-стаен,"град София, Изток","град София, Изток
46 кв.м","2-ри ет., ТЕЦ, Агенция за недвижими имоти Peak Real Estate предлага светъл и уютен двустаен апартамент, разположен  ...",https://www.imoti.com/obiava/17478840/dava-pod-naem-2-staen-grad-sofiya-iztok,0882988975,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:11.046536
"550 €1 075,71 лв.Цената е без ДДС",Дава под наем  2-стаен,"град София, Изток","град София, Изток
60 кв.м","1-ви ет., ТЕЦ, Просторен двустаен апартамент в кв. Изток търси своите наематели.Апартаментът е ситуиран на 1ви жили ...",https://www.imoti.com/obiava/82619279/dava-pod-naem-2-staen-grad-sofiya-iztok,0888575769,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:11.046888
"664 €1 298,67 лв.Не се начислява ДДС",Дава под наем  2-стаен,"град София, Изток","град София, Изток
58 кв.м","3-ти ет., ТЕЦ, Агенция за недвижими имоти Vice Real Estate с удоволствие Ви представя двустаен апартамент под наем, ...",https://www.imoti.com/obiava/25251481/dava-pod-naem-2-staen-grad-sofiya-iztok,0892976004,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:11.047242
