site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
imoticom,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-02-07 06:13:02.069895,https://www.imoti.com/obiava/81270156/dava-pod-naem-2-staen-grad-sofiya-doktorski-pametnik,,"730 €1 427,76 лв.Не се начислява ДДС","град София, Докторски паметник",Дава под наем  2-стаен,"3-ти ет., ТЕЦ, РиълНет офис Партнърс дава под наем прекрасен двустаен апартамент в сграда в тих вътрешен двор до Са ...",58 кв.м,3,,,1,81270156,672,"Дава под наем  2-стаен град София, Докторски паметник"
imoticom,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-02-07 06:13:02.069895,https://www.imoti.com/obiava/36344858/dava-pod-naem-2-staen-grad-sofiya-doktorski-pametnik,,"1 100 €2 151,41 лв.Не се начислява ДДС","град София, Докторски паметник",Дава под наем  2-стаен,"2-ри ет., ТЕЦ, TWO ROOMS, LUXURY, FURNISHED according to a designer project, APARTMENT next to 'Doctor's Garden' an ...",88 кв.м,2,,,1,36344858,672,"Дава под наем  2-стаен град София, Докторски паметник"
imoticom,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-02-07 06:13:02.069895,https://www.imoti.com/obiava/35812367/dava-pod-naem-2-staen-grad-sofiya-ivan-vazov,,"499 €975,96 лв.Цената е с включено ДДС","град София, Иван Вазов",Дава под наем  2-стаен,"5-ти ет., ТЕЦ, ТОП ЛОКАЦИЯ!АРТ ХАУС 94 има удоволствието да ви предложи 2 стаен  ОБЗАВЕДЕН апартамент под НАЕМ в кв ...",50 кв.м,5,,,1,35812367,672,"Дава под наем  2-стаен град София, Иван Вазов"
imoticom,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-02-07 06:13:02.069895,https://www.imoti.com/obiava/56589791/dava-pod-naem-2-staen-grad-sofiya-ivan-vazov,,"500 €977,91 лв.Не се начислява ДДС","град София, Иван Вазов",Дава под наем  2-стаен,,53 кв.м,,,,1,56589791,672,"Дава под наем  2-стаен град София, Иван Вазов"
imoticom,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-02-07 06:13:02.069895,https://www.imoti.com/obiava/73559652/dava-pod-naem-2-staen-grad-sofiya-ivan-vazov,,"600 €1 173,50 лв.Не се начислява ДДС","град София, Иван Вазов",Дава под наем  2-стаен,"2-ри ет., ТЕЦ, Открийте мястото, където ще се чувствате у дома от първия момент.Титан Пропъртис- офис Хиподрума с р ...",73 кв.м,2,,Пропърти,1,73559652,672,"Дава под наем  2-стаен град София, Иван Вазов"
imoticom,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-02-07 06:13:02.069895,https://www.imoti.com/obiava/16407684/dava-pod-naem-2-staen-grad-sofiya-ivan-vazov,,"830 €1 623,34 лв.Цената е с включено ДДС","град София, Иван Вазов",Дава под наем  2-стаен,"3-ти ет., Стилен и модерен апартамент в сградата на РЕД ЕПЪЛ се предлага от фирма СОБСТВЕНИК! ТОП локация с из ...",65 кв.м,3,,,1,16407684,672,"Дава под наем  2-стаен град София, Иван Вазов"
imoticom,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-02-07 06:13:02.069895,https://www.imoti.com/obiava/94271124/dava-pod-naem-2-staen-grad-sofiya-izgrev,,"512 €1 001,38 лв.Не се начислява ДДС","град София, Изгрев",Дава под наем  2-стаен,"ID-814БЕЗ КОМИСИОННА!!Топ локация!ОГЛЕД ПО ВСЯКО ВРЕМЕ!Представяме ви уютен двустаен апартамент, раз ...",70 кв.м,,,,1,94271124,672,"Дава под наем  2-стаен град София, Изгрев"
imoticom,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-02-07 06:13:02.069895,https://www.imoti.com/obiava/69379303/dava-pod-naem-2-staen-grad-sofiya-iztok,,"550 €1 075,71 лв.Не се начислява ДДС","град София, Изток",Дава под наем  2-стаен,"3-ти ет., Aгенция за недвижими имоти Вайб Естейтс предлага на Вашето внимание уютен двустаен апартамент под на ...",78 кв.м,3,,имоти,1,69379303,672,"Дава под наем  2-стаен град София, Изток"
imoticom,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-02-07 06:13:02.069895,https://www.imoti.com/obiava/25251481/dava-pod-naem-2-staen-grad-sofiya-iztok,,"664 €1 298,67 лв.Не се начислява ДДС","град София, Изток",Дава под наем  2-стаен,"3-ти ет., ТЕЦ, Агенция за недвижими имоти Vice Real Estate с удоволствие Ви представя двустаен апартамент под наем, ...",58 кв.м,3,,Vice Real Estate,1,25251481,672,"Дава под наем  2-стаен град София, Изток"
imoticom,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-02-07 06:13:02.069895,https://www.imoti.com/obiava/53719777/dava-pod-naem-2-staen-grad-sofiya-iztok,,"699 €1 367,13 лв.Цената е с включено ДДС","град София, Изток",Дава под наем  2-стаен,"3-ти ет., Явлена   Фронт офис отдава под наем двустаен апартамент, разположен в квартал  Изток . Имотът се нам ...",67 кв.м,3,,,1,53719777,672,"Дава под наем  2-стаен град София, Изток"
