title,price_and_currency,location,details_url,property_type,area,agency,agency_url,floor,price_per_m2,description,reference_number,is_top_ad,num_photos,date_added,offer_type,price,currency,city,neighborhood,site,ref_no
"продава Четиристаен апартамент, 133 м2",266 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/chetiristaen/5973242/?sid=h892j0&page=1,PropertyType.CHETIRISTAEN, 133 м2,Брокер София,,Етаж: 5 от 6,Цена на /м2/:2 000EUR,"Брокер София предлага за продажба нов апартамент до мол Парадайс!Нова сграда с Акт 16 от 2023г.Качествено, луксозно строителство.Възможност за закупуване на паркомясто в...",,True,6,2025-01-10 06:02:13.177410,продава,266000,EUR,София,Хладилника,Site.IMOTINET,
"продава Двустаен апартамент, 80 м2",299 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/5983588/?sid=h892j0&page=1,PropertyType.DVUSTAEN, 80 м2,АДРЕС Недвижими имоти АД,,Етаж: 2 от 7,Цена на /м2/:3 738EUR,"Двустаен апартамент със застроена площ от 67,41 кв.м. Състои се от входно антре, хол с кухненски бокс, спалня, баня с тоалетна и тераса тераса. Апартаментът се предлага напълно обзаведен и готов за...",,True,15,2025-01-10 06:02:13.177875,продава,299000,EUR,София,Хладилника,Site.IMOTINET,
"продава Четиристаен апартамент, 86 м2",129 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/chetiristaen/5885595/?sid=h892j0&page=1,PropertyType.CHETIRISTAEN, 86 м2,Имоти Премиер,,Етаж: 0 от 5,Цена на /м2/:1 500EUR,"Имоти Премиер предлага на Вашето внимание имот със статут на апартамент в кв. Оборище.Намира се на полусутерен в тухлена сграда. Състои се от 4 помещения, два санитарни възела и има...",,False,2,2025-01-10 06:02:13.178390,продава,129000,EUR,София,Оборище,Site.IMOTINET,
"продава Двустаен апартамент, 64 м2",140 976EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/6010717/?sid=h892j0&page=1,PropertyType.DVUSTAEN, 64 м2,Титан Пропъртис,,Етаж: 2 от 6,Цена на /м2/:2 203EUR,"Титан Пропъртис има удоволствието да Ви представи двустайно жилище, в новострояща се малка бутикова сграда в кв. Оборище.Местоположението е изключително благоприятно, в близост са...",,False,10,2025-01-10 06:02:13.178845,продава,140976,EUR,София,Оборище,Site.IMOTINET,
"продава Двустаен апартамент, 64 м2",140 976EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5879021/?sid=h892j0&page=1,PropertyType.DVUSTAEN, 64 м2,Титан Пропъртис,,Етаж: 2 от 6,Цена на /м2/:2 203EUR,"Титан Пропъртис има удоволствието да Ви представи двустайно жилище, в новострояща се малка бутикова сграда в кв. Оборище.Местоположението е изключително благоприятно, в близост са...",,False,11,2025-01-10 06:02:13.179295,продава,140976,EUR,София,Оборище,Site.IMOTINET,
"продава Двустаен апартамент, 68 м2",143 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6003077/?sid=h892j0&page=1,PropertyType.DVUSTAEN, 68 м2,ЕКС НВД,,Етаж: 2 от 8,Цена на /м2/:2 103EUR,"Компания `ЕКС` представя на Вашето внимание двустаен апартамент в кв. Хладилника.МЕСТОПОЛОЖЕНИЕ: В близост до спирка на градски транспорт, училища, магазини от всякакъв тип....",,False,1,2025-01-10 06:02:13.179749,продава,143000,EUR,София,Хладилника,Site.IMOTINET,
"продава Двустаен апартамент, 68 м2",143 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6004974/?sid=h892j0&page=1,PropertyType.DVUSTAEN, 68 м2,АДРЕС Недвижими имоти АД,,Етаж: 2 от 18,Цена на /м2/:2 103EUR,"Двустаен апартамент с площ от 68 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса (тип лоджия).Този двустаен апартамент е чудесен избор за...",,False,4,2025-01-10 06:02:13.180196,продава,143000,EUR,София,Хладилника,Site.IMOTINET,
"продава Двустаен апартамент, 68 м2",144 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6001714/?sid=h892j0&page=1,PropertyType.DVUSTAEN, 68 м2,АДРЕС Недвижими имоти АД,,Етаж: 2 от 18,Цена на /м2/:2 118EUR,"Двустаен апартамент с площ от 68 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса (тип лоджия).Този двустаен апартамент е чудесен избор за хора,...",,False,4,2025-01-10 06:02:13.180676,продава,144000,EUR,София,Хладилника,Site.IMOTINET,
"продава Двустаен апартамент, 68 м2",144 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6003114/?sid=h892j0&page=1,PropertyType.DVUSTAEN, 68 м2,ЕКС НВД,,Етаж: 2 от 18,Цена на /м2/:2 118EUR,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!Компания `ЕКС` представя на Вашето внимание двустаен апартамент в кв. Хладилника.МЕСТОПОЛОЖЕНИЕ: В близост до спирка на градски транспорт,...",,False,1,2025-01-10 06:02:13.181145,продава,144000,EUR,София,Хладилника,Site.IMOTINET,
"продава Двустаен апартамент, 68 м2",146 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6004966/?sid=h892j0&page=1,PropertyType.DVUSTAEN, 68 м2,АДРЕС Недвижими имоти АД,,Етаж: 3 от 8,Цена на /м2/:2 147EUR,"Двустаен апартамент с площ от 68 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса .Този двустаен апартамент е чудесен избор за хора, които...",,False,4,2025-01-10 06:02:13.181759,продава,146000,EUR,София,Хладилника,Site.IMOTINET,
"продава Двустаен апартамент, 68 м2",147 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6001711/?sid=h892j0&page=1,PropertyType.DVUSTAEN, 68 м2,АДРЕС Недвижими имоти АД,,Етаж: 3 от 31,Цена на /м2/:2 162EUR,"Двустаен апартамент с площ от 68 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса .Този двустаен апартамент е чудесен избор за хора, които...",,False,4,2025-01-10 06:02:13.182225,продава,147000,EUR,София,Хладилника,Site.IMOTINET,
"продава Тристаен апартамент, 69 м2",150 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/tristaen/6006102/?sid=h892j0&page=1,PropertyType.TRISTAEN, 69 м2,ANTRE,,Етаж: 3 от 3,Цена на /м2/:2 174EUR,Представяме Ви етаж от къща в кв. Оборище!Имотът представлява жилище- втори жилищен етаж от къща с площ от 47 кв.м. разпределено както следва:- Антре- Кухня- Баня с...,,False,11,2025-01-10 06:02:13.182687,продава,150000,EUR,София,Оборище,Site.IMOTINET,
"продава Двустаен апартамент, 74 м2",155 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6001712/?sid=h892j0&page=1,PropertyType.DVUSTAEN, 74 м2,АДРЕС Недвижими имоти АД,,Етаж: 2 от 26,Цена на /м2/:2 095EUR,"Двустаен апартамент с площ от 74 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса (тип лоджия).Този двустаен апартамент е чудесен избор за...",,False,4,2025-01-10 06:02:13.183134,продава,155000,EUR,София,Хладилника,Site.IMOTINET,
"продава Двустаен апартамент, 74 м2",155 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6003120/?sid=h892j0&page=1,PropertyType.DVUSTAEN, 74 м2,ЕКС НВД,,Етаж: 2 от 18,Цена на /м2/:2 095EUR,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!Компания `ЕКС` представя на Вашето внимание двустаен апартамент в кв. Хладилника.МЕСТОПОЛОЖЕНИЕ: В близост до спирка на градски транспорт,...",,False,1,2025-01-10 06:02:13.183587,продава,155000,EUR,София,Хладилника,Site.IMOTINET,
"продава Двустаен апартамент, 74 м2",156 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6001713/?sid=h892j0&page=1,PropertyType.DVUSTAEN, 74 м2,АДРЕС Недвижими имоти АД,,Етаж: 2 от 25,Цена на /м2/:2 108EUR,"Двустаен апартамент с площ от 74 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса .Този двустаен апартамент е чудесен избор за хора, които...",,False,4,2025-01-10 06:02:13.184038,продава,156000,EUR,София,Хладилника,Site.IMOTINET,
"продава Двустаен апартамент, 67 м2",158 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5949552/?sid=h892j0&page=1,PropertyType.DVUSTAEN, 67 м2,АДРЕС Недвижими имоти АД,,Етаж: 8 от 14,Цена на /м2/:2 358EUR,"Двустаен тухлен апартамент със застроена площ 54 кв.м. в затворен комплекс Teatrаlna Park Residence. Разпределение: дневна с кухненски бокс и трапезария, спалня, баня с тоалетна, склад и тераса....",,False,4,2025-01-10 06:02:13.184479,продава,158000,EUR,София,Оборище,Site.IMOTINET,
"продава Двустаен апартамент, 74 м2",159 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6001709/?sid=h892j0&page=1,PropertyType.DVUSTAEN, 74 м2,АДРЕС Недвижими имоти АД,,Етаж: 3 от 35,Цена на /м2/:2 149EUR,"Двустаен апартамент с площ от 74 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса (тип лоджия).Този двустаен апартамент е чудесен избор за...",,False,4,2025-01-10 06:02:13.184954,продава,159000,EUR,София,Хладилника,Site.IMOTINET,
"продава Двустаен апартамент, 74 м2",159 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6001710/?sid=h892j0&page=1,PropertyType.DVUSTAEN, 74 м2,АДРЕС Недвижими имоти АД,,Етаж: 3 от 34,Цена на /м2/:2 149EUR,"Двустаен апартамент с площ от 74 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса (тип лоджия).Този двустаен апартамент е чудесен избор за...",,False,4,2025-01-10 06:02:13.185407,продава,159000,EUR,София,Хладилника,Site.IMOTINET,
