price_text,title,location,description,details_url,num_photos,agency,floor,price_per_m2,area,search_url,scraped_at
150 000€293 375BGN,"продаваДвустаен апартамент,62 м2","София, Суха Река",Референтен номер: 2098010Революшън Естейт представя Двустаен апартамент в ж.к. Сухата река.- Етаж: 10-ти от 14-ти.- Площ: 62 кв.м.- Разпределение:...,/bg/obiava/prodava/sofia/suha-reka/dvustaen/6168855/?sid=gFM8jD&page=1,4,продава,Етаж: 10 от 14,Цена на /м2/:2 419EUR/4 731.85BGN,62 м2,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,2026-01-24T18:36:25.586732
189 000€369 652BGN,"продаваДвустаен апартамент,65 м2","София, Редута",Продава се апартамент с потенциал за преустройство на тристаен в кв. „Редута“ – отличен избор за дом или инвестиция!Предлагаме на Вашето внимание светъл и функционален апартамент тип...,/bg/obiava/prodava/sofia/reduta/dvustaen/6177224/?sid=gFM8jD&page=1,17,продава,Етаж: 7 от 9,Цена на /м2/:2 908EUR/5 686.95BGN,65 м2,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,2026-01-24T18:36:25.587547
215 000€420 503BGN,"продаваТристаен апартамент,89 м2","София, Подуене","Нов панорамен тристаен мезонет до пл. Родина в сграда с Акт 16 от 2022 г. Намира се до ул. Черковна, на 200 м. от метростанция Подуяне. Завършен луксозно до ключ. Топ- локация в широк център само...",/bg/obiava/prodava/sofia/poduene/tristaen/6125730/?sid=gFM8jD&page=1,36,продава,Етаж: 8 от 9,Цена на /м2/:2 416EUR/4 724.76BGN,89 м2,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,2026-01-24T18:36:25.588310
244 997€479 172BGN,"продаваДвустаен апартамент,88 м2","София, Суха Река","Пред акт 16!Метро!Слънце и зеленина!Това не е просто жилище, а дом, подсигуряващ красив уют, окъпан в целодневна слънчева светлина, красива гкедка към синята...",/bg/obiava/prodava--v-stroej/sofia/suha-reka/dvustaen/6203511/?sid=gFM8jD&page=1,9,продава,Етаж: 5 от 10,Цена на /м2/:2 784EUR/5 445.14BGN,88 м2,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,2026-01-24T18:36:25.589100
115 000€224 920BGN,"продаваДвустаен апартамент,68 м2","София, Суха Река","Предлагаме за продажба двустаен апартамент в малка, бутикова сграда в кв.Сухата река.-Функционално разпределение - антре, просторна дневна с кухненски бокс, спалня, баня с тоалетна,...",/bg/obiava/prodava/sofia/suha-reka/dvustaen/6185297/?sid=gFM8jD&page=1,4,продава,Етаж: 2 от 4,Цена на /м2/:1 691EUR/3 307.65BGN,68 м2,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,2026-01-24T18:36:25.589856
115 000€224 920BGN,"продаваДвустаен апартамент,47 м2","София, Суха Река","Нов среден южен партерен имот със статут офис. Сграда с Акт 16 от 2024 г.ТЕЦ.Топ - локация в широк център, непосредствено до ул. Черковна. Сградата е на 200 метра от метростанция, 1040 м....",/bg/obiava/prodava/sofia/suha-reka/dvustaen/6044312/?sid=gFM8jD&page=1,6,продава,Етаж: 1 от 9,Цена на /м2/:2 447EUR/4 785.54BGN,47 м2,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,2026-01-24T18:36:25.590572
115 000€224 920BGN,"продаваДвустаен апартамент,47 м2","София, Подуене","Нов среден южен партерен имот със статут офис. Сграда с Акт 16 от 2024 г.ТЕЦ.Топ - локация в широк център, непосредствено до ул. Черковна. Сградата е на 200 метра от метростанция, 1040 м....",/bg/obiava/prodava/sofia/poduene/dvustaen/6044314/?sid=gFM8jD&page=1,16,продава,Етаж: 1 от 9,Цена на /м2/:2 447EUR/4 785.54BGN,47 м2,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,2026-01-24T18:36:25.591280
115 000€224 920BGN,"продаваДвустаен апартамент,47 м2","София, Оборище","Нов среден южен партерен имот със статут офис. Сграда с Акт 16 от 2024 г.ТЕЦ.Топ - локация в широк център, непосредствено до ул. Черковна. Сградата е на 200 метра от метростанция, 1040 м....",/bg/obiava/prodava/sofia/oborishte/dvustaen/6044316/?sid=gFM8jD&page=1,9,продава,Етаж: 1 от 9,Цена на /м2/:2 447EUR/4 785.54BGN,47 м2,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,2026-01-24T18:36:25.591973
120 000€234 700BGN,"продаваДвустаен апартамент,42 м2","София, Суха Река",Реф. № 0127183D Виртуална разходка из апартамента -> https://my.matterport.com/show/?m=Q72j4CwkyidАгенция за недвижими имоти BAS Properties предлага за продажба двустаен...,/bg/obiava/prodava/sofia/suha-reka/dvustaen/6195170/?sid=gFM8jD&page=1,8,продава,Етаж: 2 от 8,Цена на /м2/:2 857EUR/5 588.09BGN,42 м2,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,2026-01-24T18:36:25.592689
125 550€245 554BGN,"продаваДвустаен апартамент,59 м2","София, Суха Река","Двустаен апартамент състоящ се от: антре, дневна с кухненски бокс, спралня, баня с тоалетна и тераса. Към жилището има прилежащо мазе.Има възможност за закупуване на паркомясто.",/bg/obiava/prodava/sofia/suha-reka/dvustaen/6110135/?sid=gFM8jD&page=1,7,продава,Етаж: 2 от 5,Цена на /м2/:2 128EUR/4 161.94BGN,59 м2,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,2026-01-24T18:36:25.593395
