site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-13 06:20:15.096455,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-44987-tristaen-apartament-za-prodajba-v-plovdiv.html,,200000 €,гр. Пловдив / кв. Кършияка Пловдивска област /  България,Тристаен апартамент,,176.22 м,5,5,Luximmo,4,44987,145,Тристаен апартамент в нов комплекс до река Марица в Пловдив1 - LUXIMMO
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-13 06:20:15.096455,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-petstayni-apartamenti/luksozen-imot-44009-petstaen-apartament-za-prodajba-v-plovdiv.html,,Цена при запитване,гр. Пловдив / кв. Христо Смирненски Пловдивска област /  България,Петстаен апартамент,,373.59 м,6,7,Luximmo,15,44009,145,Премиум петстаен апартамент в престижен жилищен комплекс в Пловдив1 - LUXIMMO
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-13 06:20:15.096455,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-44141-tristaen-apartament-za-prodajba-v-plovdiv.html,,265000 €,гр. Пловдив / кв. Център Пловдивска област /  България,Тристаен апартамент,,105 м,3,7,Luximmo,2,44141,145,Тристаен апартамент до Художествена гимназия в центъра на Пловдив 1 - LUXIMMO
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-13 06:20:15.096455,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-40995-tristaen-apartament-za-prodajba-v-plovdiv.html,,383049 €,гр. Пловдив / кв. Кършияка Пловдивска област /  България,Тристаен апартамент,,128.11 м,2,7,Luximmo,8,40995,145,Изискан тристаен апартамент в нова сграда в кв. Кършияка 1 - LUXIMMO
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-13 06:20:15.096455,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-47862-dvustaen-apartament-za-prodajba-v-plovdiv.html,,109000 €,гр. Пловдив / кв. Кършияка Пловдивска област /  България,Двустаен апартамент,ЕКСКЛУЗИВНИ ПРАВА,70.77 м,6,7,Luximmo,6,47862,145,Двустаен апартамент в нова модерна сграда в кв. Кършияка1 - LUXIMMO
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-13 06:20:15.096455,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-47866-dvustaen-apartament-za-prodajba-v-plovdiv.html,,130000 €,гр. Пловдив / кв. Тракия Пловдивска област /  България,Двустаен апартамент,,72 м,9,10,Luximmo,10,47866,145,Нов двустаен апартамент в престижен комплекс в кв. Тракия1 - LUXIMMO
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-13 06:20:15.096455,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-47804-tristaen-apartament-za-prodajba-v-plovdiv.html,,401388 €,гр. Пловдив / кв. Център Пловдивска област /  България,Тристаен апартамент,,128.65 м,4,7,Luximmo,6,47804,145,Нов тристаен апартамент в нов комплекс в сърцето на Пловдив1 - LUXIMMO
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-13 06:20:15.096455,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-47814-tristaen-apartament-za-prodajba-v-plovdiv.html,,367500 €,гр. Пловдив / кв. Христо Смирненски Пловдивска област /  България,Тристаен апартамент,ЕКСКЛУЗИВНИ ПРАВА,147 м,3,7,Luximmo,12,47814,145,Просторен семеен апартамент в Royal Garden 2 – утвърден адрес в Пловдив1 - LUXIMMO
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-13 06:20:15.096455,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-chetiristayni-apartamenti/luksozen-imot-47843-chetiristaen-apartament-za-prodajba-v-plovdiv.html,,Цена при запитване,гр. Пловдив / кв. Христо Смирненски Пловдивска област /  България,Четиристаен апартамент,,143.98 м,3,3,Luximmo,5,47843,145,Многостаен апартамент в нов бутиков комплекс в кв. Христо Смирненски1 - LUXIMMO
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-13 06:20:15.096455,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-47788-dvustaen-apartament-za-prodajba-v-plovdiv.html,,148133 €,гр. Пловдив / кв. Център Пловдивска област /  България,Двустаен апартамент,,55.55 м,2,7,Luximmo,6,47788,145,Двустаен апартамент в нов луксозен комплекс в сърцето на Пловдив1 - LUXIMMO
