price_text,title,location,area_text,floor,description,details_url,ref_no,offer_type,agency_name,num_photos,total_offers,price_per_m2,search_url,scraped_at
1200 €,Тристаен апартамент,гр. Пловдив / кв. Христо Смирненски Пловдивска област / България,105 м,5,,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-47576-tristaen-apartament-pod-naem-v-plovdiv.html,47576,наем,Luximmo,0,0,11.43,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,2026-01-26T10:12:30.541369
650 €,Двустаен апартамент,гр. Пловдив / кв. Христо Смирненски Пловдивска област / България,75 м,3,,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-43149-dvustaen-apartament-pod-naem-v-plovdiv.html,43149,наем,Luximmo,0,0,8.67,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,2026-01-26T10:12:30.542567
700 €,Двустаен апартамент,гр. Пловдив / кв. Отдих и Култура Пловдивска област / България,72 м,2,,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-47318-dvustaen-apartament-pod-naem-v-plovdiv.html,47318,наем,Luximmo,0,0,9.72,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,2026-01-26T10:12:30.543628
650 €,Двустаен апартамент,гр. Пловдив / кв. Център Пловдивска област / България,67 м,2,,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-47280-dvustaen-apartament-pod-naem-v-plovdiv.html,47280,наем,Luximmo,0,0,9.7,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,2026-01-26T10:12:30.544968
715 €,Тристаен апартамент,гр. Пловдив / кв. Каменица 2 Пловдивска област / България,95 м,8,,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-41147-tristaen-apartament-pod-naem-v-plovdiv.html,41147,наем,Luximmo,0,0,7.53,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,2026-01-26T10:12:30.546240
780 €,Двустаен апартамент,гр. Пловдив / кв. Каменица 1 Пловдивска област / България,83.68 м,5,,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-40339-dvustaen-apartament-pod-naem-v-plovdiv.html,40339,наем,Luximmo,0,0,9.32,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,2026-01-26T10:12:30.547593
600 €,Двустаен апартамент,гр. Пловдив / кв. Христо Смирненски Пловдивска област / България,76.55 м,2,,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-46708-dvustaen-apartament-pod-naem-v-plovdiv.html,46708,наем,Luximmo,0,0,7.84,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,2026-01-26T10:12:30.548850
735 €,Двустаен апартамент,гр. Пловдив / кв. Христо Смирненски Пловдивска област / България,70 м,4,,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-41367-dvustaen-apartament-pod-naem-v-plovdiv.html,41367,наем,Luximmo,0,0,10.5,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,2026-01-26T10:12:30.550181
750 €,Тристаен апартамент,гр. Пловдив / кв. Сточна гара Пловдивска област / България,98 м,2,,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-46381-tristaen-apartament-pod-naem-v-plovdiv.html,46381,наем,Luximmo,0,0,7.65,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,2026-01-26T10:12:30.551345
665 €,Тристаен апартамент,гр. Пловдив / кв. Център Пловдивска област / България,107.22 м,5,,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-35333-tristaen-apartament-pod-naem-v-plovdiv.html,35333,наем,Luximmo,0,0,6.2,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,2026-01-26T10:12:30.552601
