site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-08 18:03:53.405271,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-chetiristayni-apartamenti/luksozen-imot-43445-chetiristaen-apartament-za-prodajba-v-sofiya.html,,430000 €,гр. София / кв. Горна баня Софийска област /  България,Четиристаен апартамент,ЕКСКЛУЗИВНИ ПРАВА,207.43 м,2,5,Luximmo,23,43445,1111,Ексклузивен апартамент с три спални в Gloria Palace Residence 1 - LUXIMMO
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-08 18:03:53.405271,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-mnogostayni-apartamenti/luksozen-imot-37942-mnogostaen-apartament-za-prodajba-v-sofiya.html,,502020 €,гр. София / кв. Бояна Софийска област /  България,Многостаен апартамент,,251.01 м,3,6,Luximmo,33,37942,1111,Многостаен апартамент за продажба в резиденция Berlin Park Boyana 1 - LUXIMMO
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-08 18:03:53.405271,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-petstayni-apartamenti/luksozen-imot-46046-petstaen-apartament-za-prodajba-v-sofiya.html,,1500000 €,гр. София / кв. Изгрев Софийска област /  България,Петстаен апартамент,ЕКСКЛУЗИВНИ ПРАВА,310 м,16,17,Luximmo,40,46046,1111,Дизайнерски обзаведен многостаен апартамент с панорамни гледки в Диамант 21 - LUXIMMO
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-08 18:03:53.405271,https://www.luximmo.bg/bulgaria/oblast-sofia/pancharevo/luksozni-imoti-chetiristayni-apartamenti/luksozen-imot-44494-chetiristaen-apartament-za-prodajba-v-pancharevo.html,,1950000 €,с. Панчарево Софийска област /  България,Четиристаен апартамент,ЕКСКЛУЗИВНИ ПРАВА,443 м,,4,Luximmo,39,44494,1111,Дизайнерски апартамент с три спални на езеро Панчарево 1 - LUXIMMO
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-08 18:03:53.405271,https://www.luximmo.bg/bulgaria/oblast-sofia/pancharevo/luksozni-imoti-tristayni-apartamenti/luksozen-imot-43316-tristaen-apartament-za-prodajba-v-pancharevo.html,,1200000 €,с. Панчарево Софийска област /  България,Тристаен апартамент,,300 м,2,4,Luximmo,37,43316,1111,Тристаен апартамент с фронтална гледка към Панчаревското езеро 1 - LUXIMMO
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-08 18:03:53.405271,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-44096-tristaen-apartament-za-prodajba-v-sofiya.html,,367260 €,гр. София / кв. Горна баня Софийска област /  България,Тристаен апартамент,,122.42 м,2,4,Luximmo,20,44096,1111,Нов западен тристаен апартамент в Gloria Palace Residence1 - LUXIMMO
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-08 18:03:53.405271,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-45320-tristaen-apartament-za-prodajba-v-sofiya.html,,480000 €,гр. София / кв. Лозенец Софийска област /  България,Тристаен апартамент,,110.88 м,2,6,Luximmo,30,45320,1111,Полуобзаведен тристаен апартамент на метри от Южен парк1 - LUXIMMO
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-08 18:03:53.405271,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-42464-dvustaen-apartament-za-prodajba-v-sofiya.html,,181666 €,гр. София / кв. Манастирски ливади - Изток Софийска област /  България,Двустаен апартамент,,63.24 м,1,5,Luximmo,7,42464,1111,Двустаен апартамент в модерен затворен комплекс1 - LUXIMMO
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-08 18:03:53.405271,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-39567-tristaen-apartament-za-prodajba-v-sofiya.html,,236522 €,гр. София / кв. Витоша Софийска област /  България,Тристаен апартамент,,110.01 м,2,6,Luximmo,12,39567,1111,Тристаен апартамент за продажба в бутикова сграда в кв. Витоша1 - LUXIMMO
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-08 18:03:53.405271,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-36260-tristaen-apartament-za-prodajba-v-sofiya.html,,680000 €,гр. София / кв. Манастирски ливади - Изток Софийска област /  България,Тристаен апартамент,,133.71 м,1,5,Luximmo,21,36260,1111,Луксозен тристаен апартамент с двор и гледки към Витоша във Флора Гардън1 - LUXIMMO
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-08 18:03:53.405271,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-35648-tristaen-apartament-za-prodajba-v-sofiya.html,,702702 €,гр. София / кв. Манастирски ливади - Запад Софийска област /  България,Тристаен апартамент,,234.23 м,7,9,Luximmo,16,35648,1111,Просторен тристаен апартамент за продажба в луксозна сграда1 - LUXIMMO
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-08 18:03:53.405271,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-31551-tristaen-apartament-za-prodajba-v-sofiya.html,,500000 €,гр. София / кв. Витоша Софийска област /  България,Тристаен апартамент,,143 м,8,8,Luximmo,22,31551,1111,"Панорамен, дизайнерски апартамент в сграда на годината1 - LUXIMMO"
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-08 18:03:53.405271,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-penthausi/luksozen-imot-35030-penthaus-za-prodajba-v-sofiya.html,,1290000 €,гр. София / кв. Кръстова вада Софийска област /  България,Пентхаус,ЕКСКЛУЗИВНИ ПРАВА,335.87 м,7,7,Luximmo,18,35030,1111,Пентхаус с четири спални в луксозен затворен комплекс 1 - LUXIMMO
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-08 18:03:53.405271,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-42467-tristaen-apartament-za-prodajba-v-sofiya.html,,241971 €,гр. София / кв. Манастирски ливади - Изток Софийска област /  България,Тристаен апартамент,,90.29 м,3,5,Luximmo,7,42467,1111,Нов тристаен апартамент в затворен комплекс в кв. Манастирски ливади - Изток 1 - LUXIMMO
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-08 18:03:53.405271,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-42334-dvustaen-apartament-za-prodajba-v-sofiya.html,,221676 €,гр. София / кв. Манастирски ливади - Изток Софийска област /  България,Двустаен апартамент,,65.97 м,,5,Luximmo,13,42334,1111,Двустаен апартамент с веранда в нов комплекс в кв. Манастирски ливади - Изток1 - LUXIMMO
