site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-06 06:17:26.376176,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-31583-dvustaen-apartament-pod-naem-v-sofiya.html,,900 €,гр. София / кв. Кръстова вада Софийска област /  България,наем Двустаен апартамент,,80 м,3,5,Luximmo,9,31583,279,Двустаен апартамент под наем в затворен комлекс 1 - LUXIMMO
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-06 06:17:26.376176,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-44916-tristaen-apartament-pod-naem-v-sofiya.html,,1600 €,гр. София / кв. Манастирски ливади - Запад Софийска област /  България,наем Тристаен апартамент,,122 м,4,10,Luximmo,7,44916,279,"Изискан и модерен, тристаен апартамент в луксозна сграда Pulse Tower1 - LUXIMMO"
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-06 06:17:26.376176,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-34181-dvustaen-apartament-pod-naem-v-sofiya.html,,2000 €,гр. София / кв. Манастирски ливади - Запад Софийска област /  България,наем Двустаен апартамент,,182.13 м,1,6,Luximmo,21,34181,279,"Дизайнерски апартамент под наем на 2 нива, с гараж в затворен комплекс до бул.България1 - LUXIMMO"
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-06 06:17:26.376176,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-36646-tristaen-apartament-pod-naem-v-sofiya.html,,10000 €,гр. София / кв. Център Софийска област /  България,наем Тристаен апартамент,,260 м,21,22,Luximmo,31,36646,279,Панорамен тристаен апартамент в престижната сграда Милениум Център1 - LUXIMMO
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-06 06:17:26.376176,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-25035-tristaen-apartament-pod-naem-v-sofiya.html,,1140 €,гр. София / кв. Център Софийска област /  България,наем Тристаен апартамент,,97 м,4,6,Luximmo,13,25035,279,Дизайнерски обзаведен апартамент до метростанция Опълченска1 - LUXIMMO
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-06 06:17:26.376176,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-45637-tristaen-apartament-pod-naem-v-sofiya.html,,1650 €,гр. София / кв. Център Софийска област /  България,наем Тристаен апартамент,,156 м,5,6,Luximmo,21,45637,279,Тристаен апартамент с паркомясто до метростанция Св. Патриарх Евтимий 1 - LUXIMMO
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-06 06:17:26.376176,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-24396-tristaen-apartament-pod-naem-v-sofiya.html,,1290 €,гр. София / кв. Иван Вазов Софийска област /  България,наем Тристаен апартамент,ЕКСКЛУЗИВНИ ПРАВА,150 м,10,13,Luximmo,30,24396,279,"Модерен, бохемски апартамент в сграда Red Аpple с опция за подземно паркомясто1 - LUXIMMO"
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-06 06:17:26.376176,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-24286-tristaen-apartament-pod-naem-v-sofiya.html,,1700 €,гр. София / кв. Лозенец Софийска област /  България,наем Тристаен апартамент,,120 м,2,4,Luximmo,27,24286,279,Дизайнерски апартамент до пл. Журналист в кв. Лозенец 1 - LUXIMMO
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-06 06:17:26.376176,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-21703-tristaen-apartament-pod-naem-v-sofiya.html,,1300 €,гр. София / кв. Младост 1 Софийска област /  България,наем Тристаен апартамент,,122 м,6,7,Luximmo,18,21703,279,"Тристаен, луксозен апартамент под наем в кв. Младоcт 1, до метростанция с включен гараж в цената1 - LUXIMMO"
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-02-06 06:17:26.376176,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-22388-dvustaen-apartament-pod-naem-v-sofiya.html,,825 €,гр. София / кв. Лозенец Софийска област /  България,наем Двустаен апартамент,,70 м,4,6,Luximmo,17,22388,279,"Ново, елегантно жилище в кв. Лозенец 1 - LUXIMMO"
