price_text,title,location,details_text,description,details_url,ref_no,offer_type,agency_name,num_photos,total_offers,price_per_m2,search_url,scraped_at
153 461 €,Тристаен апартамент,"гр. Пловдив / кв. Кършияка / Пловдивска област, България",Площ:96.57 м²Спални:2Етаж:4Етажност на сградата:4,,https://www.suprimmo.bg/imot-125423-tristaen-apartament-v-elegantniya-kompleks-magnoliya-forest-v-plovdiv/,PLV-125423,продава,Suprimmo,3,259,1589.12,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.511298
Цена по запитване,Тристаен апартамент,"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:116.63 м²Спални:2Етаж:1Етажност на сградата:5,,https://www.suprimmo.bg/imot-137523-tristaen-apartament-v-nov-zatvoren-kompleks-na-50-m-ot-grebnata-baza/,PLV-137523,продава,Suprimmo,3,259,,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.512190
152 900 €,Двустаен апартамент,"гр. Пловдив / кв. Тракия / Пловдивска област, България",Площ:65 м²Спални:1Етаж:4Етажност на сградата:11,,https://www.suprimmo.bg/imot-137539-nov-dvustaen-apartament-v-moderen-zatvoren-kompleks-v-kv-trakiya/,PLV-137539,продава,Suprimmo,3,259,2352.31,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.513096
87 210 €,Двустаен апартамент(В процес на строителство),"гр. Пловдив / кв. Кършияка / Пловдивска област, България",Площ:69.77 м²Спални:1Етаж:6Етажност на сградата:6,,https://www.suprimmo.bg/imot-137505-dvustaen-apartament-v-luksozna-sgrada-s-dve-sektsii-v-kv-karshiyaka/,PLV-137505,продава,Suprimmo,3,259,1249.96,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.513981
144 340 €,Тристаен апартамент(В процес на строителство),"гр. Пловдив / кв. Каменица 2 / Пловдивска област, България",Площ:106.92 м²Спални:2Етаж:2Етажност на сградата:7,,https://www.suprimmo.bg/imot-137489-tristaen-apartament-v-nov-kompleks-v-kv-kamenitsa-2/,PLV-137489,продава,Suprimmo,3,259,1349.98,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.514906
110 720 €,Двустаен апартамент(В процес на строителство),"гр. Пловдив / кв. Каменица 2 / Пловдивска област, България",Площ:76.36 м²Спални:1Етаж:4Етажност на сградата:7,,https://www.suprimmo.bg/imot-137385-dvustaen-apartament-v-nov-kompleks-v-kv-kamenitsa-2/,PLV-137387,продава,Suprimmo,3,259,1449.97,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.515828
149 000 €,Двустаен апартамент,"гр. Пловдив / кв. Кършияка / Пловдивска област, България",Площ:73.43 м²Спални:1Етаж:2Етажност на сградата:4,,https://www.suprimmo.bg/imot-137375-svetal-dvustaen-apartament-do-klyuch-v-nov-kompleks-v-kv-karshiyaka/,PLV-137375,продава,Suprimmo,3,259,2029.14,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.516756
180 000 €,Двустаен апартамент,"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:72 м²Спални:1Етаж:4Етажност на сградата:9,,https://www.suprimmo.bg/imot-137379-dvustaen-apartament-v-nov-moderen-kompleks-v-kv-hristo-smirnenski/,PLV-137379,продава,Suprimmo,3,259,2500.0,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.517649
148 770 €,Тристаен апартамент,"гр. Пловдив / кв. Тракия / Пловдивска област, България",Площ:129 м²Спални:2Етаж:2Етажност на сградата:7,,https://www.suprimmo.bg/imot-137384-tristaen-apartament-v-nov-kompleks-v-kv-trakiya/,PLV-137384,продава,Suprimmo,3,259,1153.26,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.518521
145 580 €,Тристаен апартамент(В процес на строителство),"гр. Пловдив / кв. Каменица 2 / Пловдивска област, България",Площ:116 м²Спални:2Етаж:2Етажност на сградата:7,,https://www.suprimmo.bg/imot-137353-tristaen-apartament-v-nov-kompleks-v-kv-kamenitsa-2/,PLV-137353,продава,Suprimmo,3,259,1255.0,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.519441
156 000 €,Тристаен апартамент,"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:91.34 м²Спални:1Етаж:4Етажност на сградата:5,,https://www.suprimmo.bg/imot-98448-tristaen-apartament-v-kompleks-s-akt-16-v-park-otdih-i-kultura/,PLV-98448,продава,Suprimmo,3,259,1707.9,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.520351
119 000 €,Двустаен апартамент,"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:74 м²Спални:1Етаж:8Етажност на сградата:10,,https://www.suprimmo.bg/imot-137246-dvustaen-apartament-s-panorama-kam-rodopite-v-nov-kompleks-do-mall-plovdiv/,PLV-137246,продава,Suprimmo,3,259,1608.11,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.521203
88 900 €,Двустаен апартамент,"гр. Пловдив / кв. Беломорски / Пловдивска област, България",Площ:113.33 м²Спални:1Етаж:4Етажност на сградата:4,,https://www.suprimmo.bg/imot-137266-dvustaen-apartament-v-nov-kompleks-v-yujnata-chast-na-plovdiv/,PLV-137266,продава,Suprimmo,3,259,784.43,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.522040
134 665 €,Тристаен апартамент(В процес на строителство),"гр. Пловдив / кв. Остромила / Пловдивска област, България",Площ:95.28 м²Спални:2Етаж:1Етажност на сградата:3,,https://www.suprimmo.bg/imot-137197-gradinski-tristaen-apartament-s-golyam-dvor-v-kv-ostromila/,PLV-137197,продава,Suprimmo,3,259,1413.36,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.522920
82 872 €,Едностаен апартамент(Предварителни продажби ),"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:59.62 м²Етаж:3Етажност на сградата:7,,https://www.suprimmo.bg/imot-137073-ednostaen-apartament-v-nov-inovativen-kompleks-v-kv-hristo-smirnenski/,PLV-137073,продава,Suprimmo,3,259,1390.0,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.523804
103 833 €,Двустаен апартамент(Предварителни продажби ),"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:74.70 м²Спални:1Етаж:2Етажност на сградата:10,,https://www.suprimmo.bg/imot-137078-dvustaen-apartament-v-nov-inovativen-kompleks-v-kv-hristo-smirnenski/,PLV-137078,продава,Suprimmo,3,259,1390.0,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.524710
164 852 €,Тристаен апартамент(Предварителни продажби ),"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:120.33 м²Спални:2Етаж:2Етажност на сградата:10,,https://www.suprimmo.bg/imot-137082-tristaen-apartament-v-nov-inovativen-kompleks-v-kv-hristo-smirnenski/,PLV-137082,продава,Suprimmo,3,259,1370.0,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.525608
391 179 €,Четиристаен апартамент(Предварителни продажби ),"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:264.31 м²Спални:3Етаж:7Етажност на сградата:7,,https://www.suprimmo.bg/imot-137083-mnogostaen-apartament-v-nov-inovativen-kompleks-v-kv-hristo-smirnenski/,PLV-137083,продава,Suprimmo,3,259,1480.0,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.526508
360 000 €,Четиристаен апартамент,"гр. Пловдив / кв. Център / Пловдивска област, България",Площ:121 м²Спални:3Етаж:4Етажност на сградата:6,,https://www.suprimmo.bg/imot-137019-dizaynerski-mnogostaen-apartament-v-idealniya-tsentar-na-plovdiv/,PLV-137019,продава,Suprimmo,3,259,2975.21,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.527442
259 800 €,Тристаен апартамент,"гр. Пловдив / кв. Център / Пловдивска област, България",Площ:78 м²Спални:2Етаж:1Етажност на сградата:4,,https://www.suprimmo.bg/imot-137039-tristaen-apartament-v-sanirana-tuhlena-sgrada-v-idealniya-tsentar-na-plovdiv/,PLV-137039,продава,Suprimmo,3,259,3330.77,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.528286
119 900 €,Тристаен апартамент(В процес на строителство),"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:132.50 м²Спални:2Етаж:5Етажност на сградата:5,,https://www.suprimmo.bg/imot-137053-tristaen-apartament-v-nov-kompleks-ot-dve-malki-sgradi-v-kv-hristo-smirnenski/,PLV-137053,продава,Suprimmo,3,259,904.91,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.529151
Цена по запитване,Едностаен апартамент(В процес на строителство),"гр. Пловдив / кв. Кършияка / Пловдивска област, България",Площ:53.31 м²Етаж:8Етажност на сградата:11,,https://www.suprimmo.bg/imot-114796-promo-tsena-komfortno-studio-v-luksozen-kompleks-v-kv-karshiyaka/,PLV-114796,продава,Suprimmo,3,259,,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.529990
Цена по запитване,Тристаен апартамент(В процес на строителство),"гр. Пловдив / кв. Кършияка / Пловдивска област, България",Площ:121.13 м²Спални:2Етаж:3Етажност на сградата:18,,https://www.suprimmo.bg/imot-121835-promo-tsena-tristaen-apartament-v-elegantna-nova-sgrada-v-kv-karshiyaka-/,PLV-121835,продава,Suprimmo,3,259,,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.530917
Цена по запитване,Едностаен апартамент(В процес на строителство),"гр. Пловдив / кв. Остромила / Пловдивска област, България",Площ:39 м²Етаж:2Етажност на сградата:3,,https://www.suprimmo.bg/imot-136977-studio-v-inovativen-kompleks-v-kv-ostromila/,PLV-136977,продава,Suprimmo,3,259,,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:24.531976
156 650 €,Тристаен апартамент(В процес на строителство),"гр. Пловдив / кв. Кършияка / Пловдивска област, България",Площ:104.43 м²Спални:2Етаж:3Етажност на сградата:6,,https://www.suprimmo.bg/imot-125014-tristaen-apartament-v-butikov-kompleks-kv-karshiyaka-v-plovdiv/,PLV-125014,продава,Suprimmo,3,259,1500.05,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:27.478926
98 000 €,Двустаен апартамент(В процес на строителство),"гр. Пловдив / кв. Беломорски / Пловдивска област, България",Площ:77.26 м²Спални:1Етаж:4Етажност на сградата:4,,https://www.suprimmo.bg/imot-122427-nov-dvustaen-apartament-v-moderen-kompleks-s-akt-14/,PLV-122427,продава,Suprimmo,3,259,1268.44,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:27.479849
Цена по запитване,Тристаен апартамент(В процес на строителство),"гр. Пловдив / кв. Остромила / Пловдивска област, България",Площ:105.05 м²Спални:2Етаж:3Етажност на сградата:4,,https://www.suprimmo.bg/imot-124157-tristaen-apartament-v-nov-kompleks-v-kv-ostromila-na-grad-plovdiv/,PLV-124157,продава,Suprimmo,3,259,,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:27.480739
165 440 €,Тристаен апартамент(В процес на строителство),"гр. Пловдив / кв. Кършияка / Пловдивска област, България",Площ:110.35 м²Спални:2Етаж:3Етажност на сградата:6,,https://www.suprimmo.bg/imot-125017-tristaen-apartament-novo-stroitelstvo-v-kv-karshiyaka-v-plovdiv/,PLV-125017,продава,Suprimmo,3,259,1499.23,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:27.481729
340 000 €,Четиристаен апартамент,"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:205.98 м²Спални:3Етаж:4Етажност на сградата:5,,https://www.suprimmo.bg/imot-127844-nov-prostoren-apartament-v-savremennen-kompleks-s-akt-16-do-park/,PLV-127844,продава,Suprimmo,3,259,1650.65,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:27.482673
Цена по запитване,Двустаен апартамент(В процес на строителство),"гр. Пловдив / кв. Остромила / Пловдивска област, България",Площ:73.17 м²Спални:1Етаж:2Етажност на сградата:4,,https://www.suprimmo.bg/imot-121961-dvustaen-apartament-v-inovativen-kompleks-v-kv-ostromila-na-grad-plovdiv/,PLV-121961,продава,Suprimmo,3,259,,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:27.483557
107 090 €,Двустаен апартамент(В процес на строителство),"гр. Пловдив / кв. Кършияка / Пловдивска област, България",Площ:71.39 м²Спални:1Етаж:5Етажност на сградата:6,,https://www.suprimmo.bg/imot-117005-dvustaen-apartament-v-nov-kompleks-v-kv-karshiyaka-v-plovdiv/,PLV-117005,продава,Suprimmo,3,259,1500.07,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:27.484519
165 000 €,Тристаен апартамент(В процес на строителство),"гр. Пловдив / кв. Кършияка / Пловдивска област, България",Площ:110.29 м²Спални:2Етаж:4Етажност на сградата:6,,https://www.suprimmo.bg/imot-117006-tristaen-apartament-v-nov-kompleks-v-kv-karshiyaka-v-plovdiv/,PLV-117006,продава,Suprimmo,3,259,1496.06,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:27.485475
105 700 €,Тристаен апартамент(В процес на строителство),"гр. Пловдив / кв. Беломорски / Пловдивска област, България",Площ:85 м²Спални:2Етаж:3Етажност на сградата:4,,https://www.suprimmo.bg/imot-136838-tristaen-apartament-v-nov-kompleks-v-yujnata-chast-na-plovdiv/,PLV-136838,продава,Suprimmo,3,259,1243.53,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:27.486367
157 000 €,Двустаен апартамент,"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:73 м²Спални:1Етаж:7Етажност на сградата:7,,https://www.suprimmo.bg/imot-136812-moderen-nov-dvustaen-apartament-v-zatvoren-kompleks-do-mall-plovdiv/,PLV-136812,продава,Suprimmo,3,259,2150.68,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:27.487242
95 511 €,Двустаен апартамент(В процес на строителство),"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:68.22 м²Спални:1Етаж:7Етажност на сградата:7,,https://www.suprimmo.bg/imot-133141-dvustaen-apartament-v-nov-kompleks-ot-tri-sgradi-do-grebnata-baza-v-plovdiv/,PLV-133141,продава,Suprimmo,3,259,1400.04,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:27.488151
151 331 €,Тристаен апартамент(В процес на строителство),"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:112.10 м²Спални:2Етаж:3Етажност на сградата:7,,https://www.suprimmo.bg/imot-133142-tristaen-apartament-v-nov-kompleks-ot-tri-sgradi-do-grebnata-baza-v-plovdiv/,PLV-133142,продава,Suprimmo,3,259,1349.96,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:27.489061
193 414 €,Четиристаен апартамент(В процес на строителство),"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:206.86 м²Спални:3Етаж:7Етажност на сградата:7,,https://www.suprimmo.bg/imot-133144-apartament-s-tri-spalni-i-panoramna-terasa-v-nov-kompleks-do-grebnata-baza-v-plovdiv/,PLV-133144,продава,Suprimmo,3,259,935.0,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:27.489980
98 500 €,Двустаен апартамент(В процес на строителство),"гр. Пловдив / кв. Остромила / Пловдивска област, България",Площ:70.28 м²Спални:1Етаж:1Етажност на сградата:5,,https://www.suprimmo.bg/imot-134234-dvustaen-apartament-s-veranda-v-etap-2-na-nov-kompleks-v-kv-ostromila/,PLV-134234,продава,Suprimmo,3,259,1401.54,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-02T06:23:27.490896
