site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-06 06:18:36.034401,https://www.suprimmo.bg/imot-125423-tristaen-apartament-v-elegantniya-kompleks-magnoliya-forest-v-plovdiv/,,153 461 €,"гр. Пловдив / кв. Кършияка / Пловдивска област, България",продава Тристаен апартамент,"-7% Намалена цена, акт 16",96.57 м,4,4,Suprimmo,3,125423,264,Тристаен апартамент в елегантния комплекс Магнолия Форест в Пловдив - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-06 06:18:36.034401,https://www.suprimmo.bg/imot-137661-tristaen-apartament-s-panoramna-terasa-i-gledka-kam-rodopite-v-kv-ostromila/,,181 656 €,"гр. Пловдив / кв. Остромила / Пловдивска област, България",продава Тристаен апартамент,"НОВА ОФЕРТА, акт 16",205.65 м,4,4,Suprimmo,3,137661,264,Тристаен апартамент с панорамна тераса и гледка към Родопите в кв. Остромила - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-06 06:18:36.034401,https://www.suprimmo.bg/imot-137599-dvustaen-apartament-v-nov-zatvoren-kompleks-v-kv-trakiya/,,145 500 €,"гр. Пловдив / кв. Тракия / Пловдивска област, България",продава Двустаен апартамент,акт 16,73 м,2,11,Suprimmo,3,137599,264,Двустаен апартамент в нов затворен комплекс в кв. Тракия - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-06 06:18:36.034401,https://www.suprimmo.bg/imot-137563-tristaen-apartament-v-nova-sgrada-s-akt-14-v-kv-kamenitsa-1/,,246 000 €,"гр. Пловдив / кв. Каменица 1 / Пловдивска област, България",продава Тристаен апартамент,акт 14,107 м,6,8,Suprimmo,3,137563,264,Тристаен апартамент в нова сграда с Акт 14 в кв. Каменица 1 - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-06 06:18:36.034401,https://www.suprimmo.bg/imot-137567-dvustaen-apartament-v-nov-kompleks-v-kv-otdih-i-kultura/,,109 950 €,"гр. Пловдив / кв. Отдих и Култура / Пловдивска област, България",продава Двустаен апартамент(Предварителни продажби ),,68.68 м,3,4,Suprimmo,3,137567,264,Двустаен апартамент в нов комплекс в кв. Отдих и Култура - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-06 06:18:36.034401,https://www.suprimmo.bg/imot-137569-tristaen-apartament-v-nov-kompleks-v-kv-otdih-i-kultura/,,152 500 €,"гр. Пловдив / кв. Отдих и Култура / Пловдивска област, България",продава Тристаен апартамент(Предварителни продажби ),,94.57 м,2,4,Suprimmo,3,137569,264,Тристаен апартамент в нов комплекс в кв. Отдих и Култура - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-06 06:18:36.034401,https://www.suprimmo.bg/imot-137523-tristaen-apartament-v-nov-zatvoren-kompleks-na-50-m-ot-grebnata-baza/,,Цена по запитване,"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",продава Тристаен апартамент,акт 16,116.63 м,1,5,Suprimmo,3,137523,264,Тристаен апартамент в нов затворен комплекс на 50 м от Гребната база - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-06 06:18:36.034401,https://www.suprimmo.bg/imot-137539-nov-dvustaen-apartament-v-moderen-zatvoren-kompleks-v-kv-trakiya/,,152 900 €,"гр. Пловдив / кв. Тракия / Пловдивска област, България",продава Двустаен апартамент,"Само за частни лица!, акт 16",65 м,4,11,Suprimmo,3,137539,264,Нов двустаен апартамент в модерен затворен комплекс в кв. Тракия - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-06 06:18:36.034401,https://www.suprimmo.bg/imot-137505-dvustaen-apartament-v-luksozna-sgrada-s-dve-sektsii-v-kv-karshiyaka/,,87 210 €,"гр. Пловдив / кв. Кършияка / Пловдивска област, България",продава Двустаен апартамент(В процес на строителство),,69.77 м,6,6,Suprimmo,3,137505,264,Двустаен апартамент в луксозна сграда с две секции в кв. Кършияка - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-06 06:18:36.034401,https://www.suprimmo.bg/imot-137489-tristaen-apartament-v-nov-kompleks-v-kv-kamenitsa-2/,,144 340 €,"гр. Пловдив / кв. Каменица 2 / Пловдивска област, България",продава Тристаен апартамент(В процес на строителство),"Само за частни лица!, акт 14",106.92 м,2,7,Suprimmo,3,137489,264,Тристаен апартамент в нов комплекс в кв. Каменица 2 - SUPRIMMO
