price_text,title,location,details_text,description,details_url,ref_no,offer_type,agency_name,num_photos,total_offers,price_per_m2,search_url,scraped_at
1 000 €,Тристаен апартамент,"гр. Пловдив / кв. Мараша / Пловдивска област, България",Площ:102 м²Спални:2Етаж:4Етажност на сградата:5,,https://www.suprimmo.bg/imot-137509-eleganten-tristaen-apartament-v-podnojieto-na-park-bunardjik/,PLV-137509,продава,Suprimmo,3,27,9.8,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-29T13:28:10.075281
1 900 €,Тристаен апартамент,"гр. Пловдив / кв. Център / Пловдивска област, България",Площ:126 м²Спални:2Етаж:6Етажност на сградата:6,,https://www.suprimmo.bg/imot-137388-nov-stilen-tristaen-apartament-v-tsentara-na-plovdiv/,PLV-137388,продава,Suprimmo,3,27,15.08,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-29T13:28:10.076251
550 €,Двустаен апартамент,"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:69 м²Спални:1Етаж:2Етажност на сградата:4,,https://www.suprimmo.bg/imot-137409-komforten-dvustaen-apartament-do-mladejki-halm-v-plovdiv/,PLV-137409,продава,Suprimmo,3,27,7.97,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-29T13:28:10.077227
1 200 €,Тристаен апартамент,"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:105 м²Спални:2Етаж:5Етажност на сградата:7,,https://www.suprimmo.bg/imot-137362-eleganten-tristaen-apartament-pod-naem-v-prestijniya-kompleks-royal-garden/,PLV-137362,наем,Suprimmo,3,27,11.43,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-29T13:28:10.078261
650 €,Двустаен апартамент,"гр. Пловдив / кв. Център / Пловдивска област, България",Площ:65 м²Спални:1Етаж:3Етажност на сградата:5,,https://www.suprimmo.bg/imot-137300-uyuten-i-stilen-dvustaen-apartament-v-tsentralnata-chast-na-plovdiv/,PLV-137300,продава,Suprimmo,3,27,10.0,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-29T13:28:10.079199
850 €,Тристаен апартамент,"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:115 м²Спални:2Етаж:4Етажност на сградата:6,,https://www.suprimmo.bg/imot-137101-stilen-tristaen-apartament-s-dvoen-garaj-v-nova-sgrada-v-plovdiv/,PLV-137101,продава,Suprimmo,3,27,7.39,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-29T13:28:10.080154
650 €,Двустаен апартамент,"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:75 м²Спални:1Етаж:3Етажност на сградата:6,,https://www.suprimmo.bg/imot-127692-moderen-dvustaen-apartament-s-parkomyasto-v-nova-sgrada-v-kv-hristo-smirnenski/,PLV-127692,продава,Suprimmo,3,27,8.67,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-29T13:28:10.081194
770 €,Тристаен апартамент,"гр. Пловдив / кв. Кършияка / Пловдивска област, България",Площ:120 м²Спални:2Етаж:4Етажност на сградата:7,,https://www.suprimmo.bg/imot-136831-moderen-tristaen-apartament-do-novotel-plovdiv/,PLV-136831,продава,Suprimmo,3,27,6.42,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-29T13:28:10.082259
700 €,Двустаен апартамент,"гр. Пловдив / кв. Отдих и Култура / Пловдивска област, България",Площ:72 м²Спални:1Етаж:2Етажност на сградата:7,,https://www.suprimmo.bg/imot-136801-dvustaen-apartament-v-prestijen-jilishten-kompleks-royal-garden-2/,PLV-136801,продава,Suprimmo,3,27,9.72,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-29T13:28:10.083242
650 €,Двустаен апартамент,"гр. Пловдив / кв. Център / Пловдивска област, България",Площ:67 м²Спални:1Етаж:2Етажност на сградата:7,,https://www.suprimmo.bg/imot-136724-luksozen-dvustaen-apartament-pod-naem-v-sartseto-na-gr-plovdiv/,PLV-136724,наем,Suprimmo,3,27,9.7,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-29T13:28:10.084236
715 €,Тристаен апартамент,"гр. Пловдив / кв. Каменица 2 / Пловдивска област, България",Площ:95 м²Спални:2Етаж:8Етажност на сградата:15,,https://www.suprimmo.bg/imot-122126-nov-stilen-tristaen-apartament-v-zatvoren-kompleks-do-mall-plaza-v-plovdiv/,PLV-122126,продава,Suprimmo,3,27,7.53,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-29T13:28:10.085330
570 €,Тристаен апартамент,"гр. Пловдив / кв. Кършияка / Пловдивска област, България",Площ:127 м²Спални:2Етаж:3Етажност на сградата:9,,https://www.suprimmo.bg/imot-125270-otlichen-tristaen-apartament-v-nova-sgrada-do-tsentara-na-grad-plovdiv/,PLV-125270,продава,Suprimmo,3,27,4.49,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-29T13:28:10.086384
780 €,Двустаен апартамент,"гр. Пловдив / кв. Каменица 1 / Пловдивска област, България",Площ:83.68 м²Спални:1Етаж:5Етажност на сградата:7,,https://www.suprimmo.bg/imot-118814-nov-dizaynerski-apartament-v-moderen-kompleks-v-tsentara-na-plovdiv/,PLV-118814,продава,Suprimmo,3,27,9.32,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-29T13:28:10.087445
600 €,Двустаен апартамент,"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:76.55 м²Спални:1Етаж:2Етажност на сградата:6,,https://www.suprimmo.bg/imot-135644-stilen-dvustaen-apartament-v-nova-elegantna-sgrada-na-peshtersko-shose/,PLV-135644,продава,Suprimmo,3,27,7.84,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-29T13:28:10.088533
1 000 €,Тристаен апартамент,"гр. Пловдив / кв. Център / Пловдивска област, България",Площ:120 м²Спални:2Етаж:3Етажност на сградата:4,,https://www.suprimmo.bg/imot-135623-tristaen-apartament-s-avtentichen-duh-v-sartseto-na-plovdiv/,PLV-135623,продава,Suprimmo,3,27,8.33,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-29T13:28:10.089543
550 €,Двустаен апартамент,"гр. Пловдив / кв. Център / Пловдивска област, България",Площ:70 м²Спални:1Етаж:5Етажност на сградата:7,,https://www.suprimmo.bg/imot-116866-dvustaen-apartament-v-nova-sgrada-v-tsentara-na-plovdiv/,PLV-116866,продава,Suprimmo,3,27,7.86,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-29T13:28:10.090469
735 €,Двустаен апартамент,"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:70 м²Спални:1Етаж:4Етажност на сградата:4,,https://www.suprimmo.bg/imot-122656-artistichen-dvustaen-apartament-v-zatvoren-kompleks-v-kv-hristo-smirnenski-na-grad-plovdiv/,PLV-122656,продава,Suprimmo,3,27,10.5,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-29T13:28:10.091448
750 €,Тристаен апартамент,"гр. Пловдив / кв. Сточна гара / Пловдивска област, България",Площ:98 м²Спални:2Етаж:2Етажност на сградата:5,,https://www.suprimmo.bg/imot-135024-stilen-tristaen-apartament-v-nova-sgrada-blizo-do-tsentara-na-plovdiv/,PLV-135024,продава,Suprimmo,3,27,7.65,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-29T13:28:10.092613
500 €,Двустаен апартамент,"гр. Пловдив / кв. Център / Пловдивска област, България",Площ:72 м²Спални:1Етаж:2Етажност на сградата:6,,https://www.suprimmo.bg/imot-110638-artistichen-dvustaen-apartament-pod-naem-v-nova-sgrada-v-tsentara-na-plovdiv/,PLV-110638,наем,Suprimmo,3,27,6.94,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-29T13:28:10.093582
550 €,Четиристаен апартамент,"гр. Пловдив / кв. Кършияка / Пловдивска област, България",Площ:120 м²Спални:2Етаж:1Етажност на сградата:5,,https://www.suprimmo.bg/imot-131939-prostoren-chetiristaen-apartament-pod-naem-do-novotela/,PLV-131939,наем,Suprimmo,3,27,4.58,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-29T13:28:10.094623
900 €,Двустаен апартамент,"гр. Пловдив / кв. Център / Пловдивска област, България",Площ:77 м²Спални:1Етаж:5Етажност на сградата:5,,https://www.suprimmo.bg/imot-124685-nov-stilen-dvustaen-apartament-s-garaj-v-tsentara-na-plovdiv/,PLV-124685,продава,Suprimmo,3,27,11.69,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-29T13:28:10.095662
