site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-04 13:59:24.513633,https://www.suprimmo.bg/imot-137509-eleganten-tristaen-apartament-v-podnojieto-na-park-bunardjik/,,1 000 €,"гр. Пловдив / кв. Мараша / Пловдивска област, България",продава Тристаен апартамент,"под наем дългосрочно, акт 16",102 м,4,5,Suprimmo,3,137509,25,Елегантен тристаен апартамент в подножието на парк Бунарджик - SUPRIMMO
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-04 13:59:24.513633,https://www.suprimmo.bg/imot-137388-nov-stilen-tristaen-apartament-v-tsentara-na-plovdiv/,,1 900 €,"гр. Пловдив / кв. Център / Пловдивска област, България",продава Тристаен апартамент,"под наем дългосрочно, акт 16",126 м,6,6,Suprimmo,3,137388,25,Нов стилен тристаен апартамент в центъра на Пловдив - SUPRIMMO
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-04 13:59:24.513633,https://www.suprimmo.bg/imot-137409-komforten-dvustaen-apartament-do-mladejki-halm-v-plovdiv/,,550 €,"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",продава Двустаен апартамент,под наем дългосрочно,69 м,2,4,Suprimmo,3,137409,25,Комфортен двустаен апартамент до Младежки хълм в Пловдив - SUPRIMMO
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-04 13:59:24.513633,https://www.suprimmo.bg/imot-137362-eleganten-tristaen-apartament-pod-naem-v-prestijniya-kompleks-royal-garden/,,1 200 €,"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",продава Тристаен апартамент,"под наем дългосрочно, Ексклузивна агенция, акт 16",105 м,5,7,Suprimmo,3,137362,25,Елегантен тристаен апартамент под наем в престижния комплекс Royal Garden - SUPRIMMO
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-04 13:59:24.513633,https://www.suprimmo.bg/imot-137300-uyuten-i-stilen-dvustaen-apartament-v-tsentralnata-chast-na-plovdiv/,,650 €,"гр. Пловдив / кв. Център / Пловдивска област, България",продава Двустаен апартамент,"под наем дългосрочно, акт 16",65 м,3,5,Suprimmo,3,137300,25,Уютен и стилен двустаен апартамент в централната част на Пловдив - SUPRIMMO
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-04 13:59:24.513633,https://www.suprimmo.bg/imot-137101-stilen-tristaen-apartament-s-dvoen-garaj-v-nova-sgrada-v-plovdiv/,,850 €,"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",продава Тристаен апартамент,под наем дългосрочно,115 м,4,6,Suprimmo,3,137101,25,Стилен тристаен апартамент с двоен гараж в нова сграда в Пловдив - SUPRIMMO
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-04 13:59:24.513633,https://www.suprimmo.bg/imot-127692-moderen-dvustaen-apartament-s-parkomyasto-v-nova-sgrada-v-kv-hristo-smirnenski/,,650 €,"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",продава Двустаен апартамент,"под наем дългосрочно, акт 16",75 м,3,6,Suprimmo,3,127692,25,Модерен двустаен апартамент с паркомясто в нова сграда в кв. Христо Смирненски - SUPRIMMO
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-04 13:59:24.513633,https://www.suprimmo.bg/imot-136831-moderen-tristaen-apartament-do-novotel-plovdiv/,,770 €,"гр. Пловдив / кв. Кършияка / Пловдивска област, България",продава Тристаен апартамент,"под наем дългосрочно, Ексклузивна агенция, акт 16",120 м,4,7,Suprimmo,3,136831,25,Модерен тристаен апартамент до Новотел Пловдив  - SUPRIMMO
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-04 13:59:24.513633,https://www.suprimmo.bg/imot-136801-dvustaen-apartament-v-prestijen-jilishten-kompleks-royal-garden-2/,,700 €,"гр. Пловдив / кв. Отдих и Култура / Пловдивска област, България",продава Двустаен апартамент,"под наем дългосрочно, акт 16",72 м,2,7,Suprimmo,3,136801,25,Двустаен апартамент в престижен жилищен комплекс Royal Garden 2  - SUPRIMMO
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-04 13:59:24.513633,https://www.suprimmo.bg/imot-136724-luksozen-dvustaen-apartament-pod-naem-v-sartseto-na-gr-plovdiv/,,650 €,"гр. Пловдив / кв. Център / Пловдивска област, България",продава Двустаен апартамент,"под наем дългосрочно, акт 16",67 м,2,7,Suprimmo,3,136724,25,Луксозен двустаен апартамент под наем в сърцето на гр. Пловдив  - SUPRIMMO
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-02-04 13:59:24.513633,https://www.suprimmo.bg/imot-125270-otlichen-tristaen-apartament-v-nova-sgrada-do-tsentara-na-grad-plovdiv/,,570 €,"гр. Пловдив / кв. Кършияка / Пловдивска област, България",продава Тристаен апартамент,"под наем дългосрочно, Ексклузивна агенция, акт 16",127 м,3,9,Suprimmo,3,125270,25,Отличен тристаен апартамент в нова сграда до центъра на град Пловдив - SUPRIMMO
