site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-11 06:20:34.643967,https://www.suprimmo.bg/imot-109946-mnogostaen-apartament-za-prodajba-v-rezidentsiya-berlin-park-boyana/,,502 020 €,"гр. София / кв. Бояна / Софийска област, България",продава Многостаен апартамент,акт 16,251.01 м,3,6,Suprimmo,3,109946,1496,Многостаен апартамент за продажба в резиденция Berlin Park Boyana - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-11 06:20:34.643967,https://www.suprimmo.bg/imot-130883-dizaynerski-apartament-s-tri-spalni-na-ezero-pancharevo/,,1 950 000 €,"с. Панчарево / Софийска област, България",продава Четиристаен апартамент,"ПЪРВА ЛИНИЯ, Ексклузивна агенция, акт 16",443 м,,4,Suprimmo,3,130883,1496,Дизайнерски апартамент с три спални на езеро Панчарево  - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-11 06:20:34.643967,https://www.suprimmo.bg/imot-132154-yujen-dvustaen-apartament-s-otdelna-kuhnya-v-spokoen-i-zelen-rayon/,,185 000 €,"гр. София / кв. Сухата река / Софийска област, България",продава Двустаен апартамент,"-6% Намалена цена, Ексклузивна агенция",74 м,4,6,Suprimmo,3,132154,1496,"Южен двустаен апартамент с отделна кухня, в спокоен и зелен район  - SUPRIMMO"
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-11 06:20:34.643967,https://www.suprimmo.bg/imot-132801-poluobzaveden-tristaen-apartament-na-metri-ot-yujen-park/,,480 000 €,"гр. София / кв. Лозенец / Софийска област, България",продава Тристаен апартамент,акт 16,110.88 м,2,6,Suprimmo,3,132801,1496,Полуобзаведен тристаен апартамент на метри от Южен парк - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-11 06:20:34.643967,https://www.suprimmo.bg/imot-129729-nov-zapaden-tristaen-apartament-v-gloria-palace-residence/,,367 260 €,"гр. София / кв. Горна баня / Софийска област, България",продава Тристаен апартамент,акт 16,122.42 м,2,4,Suprimmo,3,129729,1496,Нов западен тристаен апартамент в Gloria Palace Residence - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-11 06:20:34.643967,https://www.suprimmo.bg/imot-128088-tristaen-apartament-s-frontalna-gledka-kam-pancharevskoto-ezero/,,1 200 000 €,"с. Панчарево / Софийска област, България",продава Тристаен апартамент,"ПЪРВА ЛИНИЯ, акт 16",300 м,2,4,Suprimmo,3,128088,1496,Тристаен апартамент с фронтална гледка към Панчаревското езеро  - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-11 06:20:34.643967,https://www.suprimmo.bg/imot-126389-dvustaen-apartament-v-nova-sgrada-sas-spa-i-fitnes/,,253 000 €,"гр. София / кв. Драгалевци / Софийска област, България",продава Двустаен апартамент,акт 15,100.76 м,2,4,Suprimmo,3,126389,1496,Двустаен апартамент в нова сграда със СПА и фитнес  - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-11 06:20:34.643967,https://www.suprimmo.bg/imot-133172-tristaen-apartament-v-luksozna-sgrada-do-borova-gora-v-pancharevo/,,247 468 €,"с. Панчарево / Софийска област, България",продава Тристаен апартамент(В процес на строителство),Ексклузивна агенция,95.18 м,3,4,Suprimmo,3,133172,1496,Тристаен апартамент в луксозна сграда до борова гора в Панчарево  - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-11 06:20:34.643967,https://www.suprimmo.bg/imot-132787-dvustaen-apartament-novo-stroitelstvo-blizo-do-gloria-palace/,,160 240 €,"гр. София / кв. Горна баня / Софийска област, България",продава Двустаен апартамент(В процес на строителство),акт 14,74.53 м,2,4,Suprimmo,3,132787,1496,Двустаен апартамент ново строителство близо до Gloria Palace  - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-11 06:20:34.643967,https://www.suprimmo.bg/imot-100962-prostoren-tristaen-apartament-za-prodajba-v-luksozna-sgrada/,,702 702 €,"гр. София / кв. Манастирски ливади - Запад / Софийска област, България",продава Тристаен апартамент,"-6% Намалена цена, акт 16",234.23 м,7,9,Suprimmo,3,100962,1496,Просторен тристаен апартамент за продажба в луксозна сграда - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-11 06:20:34.643967,https://www.suprimmo.bg/imot-101958-kashta-v-zatvoren-kompleks-na-ul-leshnikova-gora/,,835 120 €,"гр. София / кв. Драгалевци / Софийска област, България",продава Къща,,,,3,Suprimmo,3,101958,1496,Къща в затворен комплекс на ул. Лешникова гора  - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-11 06:20:34.643967,https://www.suprimmo.bg/imot-126380-tristaen-apartament-v-nova-sgrada-sas-spa-i-fitnes-v-kv-dragalevtsi/,,385 000 €,"гр. София / кв. Драгалевци / Софийска област, България",продава Тристаен апартамент,акт 15,154.43 м,2,4,Suprimmo,3,126380,1496,Тристаен апартамент в нова сграда със СПА и фитнес в кв. Драгалевци  - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-11 06:20:34.643967,https://www.suprimmo.bg/imot-125697-dvustaen-apartament-v-moderen-zatvoren-kompleks/,,181 666 €,"гр. София / кв. Манастирски ливади - Изток / Софийска област, България",продава Двустаен апартамент(В процес на строителство),,63.24 м,1,5,Suprimmo,3,125697,1496,Двустаен апартамент в модерен затворен комплекс - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-11 06:20:34.643967,https://www.suprimmo.bg/imot-125701-nov-tristaen-apartament-v-zatvoren-kompleks-v-kv-manastirski-livadi--iztok/,,241 971 €,"гр. София / кв. Манастирски ливади - Изток / Софийска област, България",продава Тристаен апартамент(В процес на строителство),,90.29 м,3,5,Suprimmo,3,125701,1496,Нов тристаен апартамент в затворен комплекс в кв. Манастирски ливади - Изток  - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-11 06:20:34.643967,https://www.suprimmo.bg/imot-104767-tristaen-apartament-v-sgrada-novo-stroitelstvo-do-bul-balgariya/,,379 100 €,"гр. София / кв. Манастирски ливади - Изток / Софийска област, България",продава Тристаен апартамент,акт 16,111.50 м,2,5,Suprimmo,3,104767,1496,Тристаен апартамент в сграда ново строителство до бул. България - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-11 06:20:34.643967,https://www.suprimmo.bg/imot-125429-dvustaen-apartament-s-veranda-v-nov-kompleks-v-kv-manastirski-livadi--iztok/,,221 676 €,"гр. София / кв. Манастирски ливади - Изток / Софийска област, България",продава Двустаен апартамент(В процес на строителство),акт 15,65.97 м,,5,Suprimmo,3,125429,1496,Двустаен апартамент с веранда в нов комплекс в кв. Манастирски ливади - Изток - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-11 06:20:34.643967,https://www.suprimmo.bg/imot-133173-yujen-apartament-v-luksozna-sgrada-do-ezeroto-v-pancharevo/,,251 875 €,"с. Панчарево / Софийска област, България",продава Тристаен апартамент(В процес на строителство),Ексклузивна агенция,100.75 м,3,4,Suprimmo,3,133173,1496,Южен апартамент в луксозна сграда до езерото в Панчарево  - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-11 06:20:34.643967,https://www.suprimmo.bg/imot-129198-dvustaen-apartament-56-v-okinawa-boutique-residence/,,183 333 €,"гр. София / кв. Малинова долина / Софийска област, България",продава Двустаен апартамент,"Ексклузивна агенция, акт 16",77.47 м,5,9,Suprimmo,3,129198,1496,Двустаен апартамент №56 в OKINAWA Boutique Residence  - SUPRIMMO
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-11 06:20:34.643967,https://www.suprimmo.bg/imot-127867-tristaen-apartament-v-okinawa-boutique-residence-v-kv-malinova-dolina/,,343 000 €,"гр. София / кв. Малинова долина / Софийска област, България",продава Тристаен апартамент,акт 16,136 м,4,9,Suprimmo,3,127867,1496,Tристаен апартамент в OKINAWA Boutique Residence в кв. Малинова долина  - SUPRIMMO
