site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-13 06:21:15.294690,https://www.suprimmo.bg/imot-82813-dvustaen-apartament-pod-naem-v-zatvoren-komleks/,,900 €,"гр. София / кв. Кръстова вада / Софийска област, България",продава Двустаен апартамент,"под наем дългосрочно, акт 16",80 м,3,5,Suprimmo,3,82813,375,Двустаен апартамент под наем в затворен комлекс  - SUPRIMMO
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-13 06:21:15.294690,https://www.suprimmo.bg/imot-104721-panoramen-tristaen-apartament-v-prestijnata-sgrada-milenium-tsentar/,,10 000 €,"гр. София / кв. Център / Софийска област, България",продава Тристаен апартамент,"под наем дългосрочно, акт 16",260 м,21,22,Suprimmo,3,104721,375,Панорамен тристаен апартамент в престижната сграда Милениум Център - SUPRIMMO
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-13 06:21:15.294690,https://www.suprimmo.bg/imot-36493-napalno-obzaveden-dvustaen-apartament-v-kv-hipodruma/,,450 €,"гр. София / кв. Хиподрума / Софийска област, България",продава Двустаен апартамент,под наем дългосрочно,54.31 м,3,8,Suprimmo,3,36493,375,Напълно обзаведен двустаен апартамент в кв. Хиподрума - SUPRIMMO
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-13 06:21:15.294690,https://www.suprimmo.bg/imot-63398-svetal-apartament-s-podzemno-parkomyasto-v-polite-na-vitosha/,,1 800 €,"гр. София / кв. Малинова долина / Софийска област, България",продава Четиристаен апартамент,под наем дългосрочно,160 м,4,7,Suprimmo,3,63398,375,Светъл апартамент с подземно паркомясто в полите на Витоша  - SUPRIMMO
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-13 06:21:15.294690,https://www.suprimmo.bg/imot-127733-stilen-obzaveden-apartament-pod-naem-v-s-parkomyasto-v-kv-lozenets/,,980 €,"гр. София / кв. Лозенец / Софийска област, България",продава Двустаен апартамент,"под наем дългосрочно, Ексклузивна агенция, акт 16",74 м,2,5,Suprimmo,3,127733,375,"Стилен, обзаведен апартамент под наем в с паркомясто в кв. Лозенец - SUPRIMMO"
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-13 06:21:15.294690,https://www.suprimmo.bg/imot-133548-tristaen-apartament-s-parkomyasto-do-metrostantsiya-sv-patriarh-evtimiy/,,1 650 €,"гр. София / кв. Център / Софийска област, България",продава Тристаен апартамент,"под наем дългосрочно, акт 16",156 м,5,6,Suprimmo,3,133548,375,Тристаен апартамент с паркомясто до метростанция Св. Патриарх Евтимий  - SUPRIMMO
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-13 06:21:15.294690,https://www.suprimmo.bg/imot-95307-dizaynerski-apartament-pod-naem-na-2-niva-s-garaj-v-zatvoren-kompleks-do-bulbalgariya/,,2 000 €,"гр. София / кв. Манастирски ливади - Запад / Софийска област, България",продава Двустаен апартамент,"под наем дългосрочно, акт 16",182.13 м,1,6,Suprimmo,3,95307,375,Дизайнерски апартамент под наем на 2 нива с гараж в затворен комплекс до бул.България - SUPRIMMO
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-13 06:21:15.294690,https://www.suprimmo.bg/imot-63091-eleganten-mezonet-v-sartseto-na-stolitsata-do-metrostantsiya-ndk/,,900 €,"гр. София / кв. Център / Софийска област, България",продава Тристаен апартамент,"под наем дългосрочно, Ексклузивна агенция",80 м,4,5,Suprimmo,3,63091,375,"Елегантен мезонет в сърцето на столицата, до метростанция НДК - SUPRIMMO"
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-13 06:21:15.294690,https://www.suprimmo.bg/imot-125367-stilen-tristaen-apartament-pod-naem-v-predpochitan-kompleks-v-kv-manastirski-livadi/,,1 400 €,"гр. София / кв. Манастирски ливади - Изток / Софийска област, България",продава Тристаен апартамент,"под наем дългосрочно, акт 16",114.13 м,3,6,Suprimmo,3,125367,375,Стилен тристаен апартамент под наем в предпочитан комплекс в кв. Манастирски ливади - SUPRIMMO
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-13 06:21:15.294690,https://www.suprimmo.bg/imot-130536-chetiristaen-apartament-etaj-ot-kashta-v-kviztok-s-hubava-terasa-i-garaj/,,1 500 €,"гр. София / кв. Изток / Софийска област, България",продава Четиристаен апартамент,"под наем дългосрочно, акт 16",130 м,1,3,Suprimmo,3,130536,375,Четиристаен апартамент / етаж от къща в кв.Изток с хубава тераса и гараж - SUPRIMMO
