raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor,fingerprint_hash
Многостаен апартамент,,502020.0,EUR,False,продава,многостаен,София,Бояна,,Suprimmo,,https://www.suprimmo.bg/imot-109946-mnogostaen-apartament-za-prodajba-v-rezidentsiya-berlin-park-boyana/,3,2026-01-31 06:06:53.104291,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,1457,SOF 109946,,2000.0,251.01,3,0029f3f9817f947802a68d9a6002b541
Четиристаен апартамент,,1950000.0,EUR,False,продава,четиристаен,Панчарево,"Софийска Област, България",,Suprimmo,,https://www.suprimmo.bg/imot-130883-dizaynerski-apartament-s-tri-spalni-na-ezero-pancharevo/,3,2026-01-31 06:06:53.105453,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,1457,STO-130883,,4401.81,443,партер,a95eb1a7b894cb01e15e68ff31c55407
Двустаен апартамент,,185000.0,EUR,False,продава,двустаен,София,Сухата река,,Suprimmo,,https://www.suprimmo.bg/imot-132154-yujen-dvustaen-apartament-s-otdelna-kuhnya-v-spokoen-i-zelen-rayon/,3,2026-01-31 06:06:53.106545,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,1457,STO-132154,,2500.0,74,4,c43c857a05ee8636468de8ba573b79c7
Тристаен апартамент,,480000.0,EUR,False,продава,тристаен,София,Лозенец,,Suprimmo,,https://www.suprimmo.bg/imot-132801-poluobzaveden-tristaen-apartament-na-metri-ot-yujen-park/,3,2026-01-31 06:06:53.107491,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,1457,SOF-132801,,4329.0,110.88,2,2dacaeaae0b20e021397c5b140b2905c
Тристаен апартамент,,367260.0,EUR,False,продава,тристаен,София,Горна баня,,Suprimmo,,https://www.suprimmo.bg/imot-129729-nov-zapaden-tristaen-apartament-v-gloria-palace-residence/,3,2026-01-31 06:06:53.108412,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,1457,SOF-129729,,3000.0,122.42,2,1db11d4f5a8ce17eb83707cb7fb0b29a
Тристаен апартамент,,1200000.0,EUR,False,продава,тристаен,Панчарево,"Софийска Област, България",,Suprimmo,,https://www.suprimmo.bg/imot-128088-tristaen-apartament-s-frontalna-gledka-kam-pancharevskoto-ezero/,3,2026-01-31 06:06:53.109421,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,1457,STO-128088,,4000.0,300,2,d8e3c088d215158007110387872a73c0
Двустаен апартамент,,253000.0,EUR,False,продава,двустаен,София,Драгалевци,,Suprimmo,,https://www.suprimmo.bg/imot-126389-dvustaen-apartament-v-nova-sgrada-sas-spa-i-fitnes/,3,2026-01-31 06:06:53.110409,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,1457,SOF-126389,,2510.92,100.76,2,b945e38217cd1a2ad4a2e660b2692d19
Тристаен апартамент(В процес на строителство),,247468.0,EUR,False,продава,тристаен,Панчарево,"Софийска Област, България",,Suprimmo,,https://www.suprimmo.bg/imot-133172-tristaen-apartament-v-luksozna-sgrada-do-borova-gora-v-pancharevo/,3,2026-01-31 06:06:53.111431,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,1457,STO-133172,,2600.0,95.18,3,628924ada515117d6b768f9100142d72
Двустаен апартамент(В процес на строителство),,160240.0,EUR,False,продава,двустаен,София,Горна баня,,Suprimmo,,https://www.suprimmo.bg/imot-132787-dvustaen-apartament-novo-stroitelstvo-blizo-do-gloria-palace/,3,2026-01-31 06:06:53.112382,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,1457,SOF-132787,,2150.01,74.53,2,b685cb44f564c1378f2f40e55deead75
Тристаен апартамент,,702702.0,EUR,False,продава,тристаен,София,Манастирски ливади,,Suprimmo,,https://www.suprimmo.bg/imot-100962-prostoren-tristaen-apartament-za-prodajba-v-luksozna-sgrada/,3,2026-01-31 06:06:53.113474,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,1457,AP 100962,,3000.05,234.23,7,91cdd527a32d5165b422f09177b7ea15
